owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
jonschlinkert,gray-matter,30.2,16.8,0.3,58.4,45.5,10.1,26.6,0.6,3.0,48.7,66.4,45.5,56.3,26.6,22.3,39.2,1.5,26.4,40.7
timoxley,keycode,36.3,5.9,,48.7,90.6,5.1,15.4,,,36.4,31.8,30.2,48.2,35.5,27.8,40.8,,42.6,22.4
node-config,node-config,34.7,27.8,25.1,36.2,49.6,23.5,34.6,17.2,18.8,54.3,73.0,70.3,20.7,53.1,39.9,35.0,9.4,75.2,55.6
cujojs,when,29.6,15.1,,41.4,61.8,5.7,17.0,,,65.9,65.3,67.9,65.3,65.1,24.6,43.5,,30.3,46.3
hammerjs,hammer.js,33.4,24.6,,60.2,48.7,8.3,24.9,,,58.0,92.6,92.7,6.8,40.0,26.4,38.0,,41.1,64.5
oclif,cli-ux,20.1,3.6,,46.1,30.8,5.0,15.0,,,31.2,34.9,25.2,34.9,29.6,35.8,58.7,,48.6,21.7
webpack,json-loader,25.8,17.3,,27.3,58.5,5.0,15.0,,,44.8,31.0,36.3,69.4,42.4,37.8,68.8,,44.8,24.1
necolas,normalize.css,46.6,45.4,21.0,56.7,63.2,9.4,22.2,6.0,,73.8,97.6,97.9,55.2,44.4,32.4,37.2,,60.1,68.3
mrdoob,three.js,42.6,36.5,29.7,58.2,45.8,46.1,47.7,47.2,43.4,80.6,99.2,99.7,47.4,76.2,48.6,51.2,45.6,49.0,81.7
standard,eslint-plugin-standard,31.0,32.4,5.0,52.6,33.9,12.5,19.7,4.0,13.7,26.6,16.5,15.9,59.0,15.1,35.2,47.9,7.1,50.5,15.0
mobxjs,mobx,44.1,43.8,24.1,78.0,30.4,39.5,44.6,35.5,38.3,66.4,94.2,88.2,40.0,43.2,60.9,76.6,37.6,68.5,74.0
amqp-node,amqplib,35.8,37.7,13.3,43.8,48.2,21.4,33.5,16.9,13.8,54.1,66.1,70.2,43.4,36.7,47.3,54.9,14.9,72.1,52.6
imagemin,imagemin,23.4,11.8,,25.1,56.9,5.6,16.8,,,57.4,71.2,61.2,61.8,35.5,29.9,42.9,,46.8,46.0
redux-saga,redux-saga,42.6,45.5,23.5,83.6,17.9,24.8,34.0,21.5,18.9,66.8,91.9,89.8,49.1,36.2,50.6,62.3,24.9,64.5,68.8
adamwdraper,Numeral-js,35.3,20.7,,66.1,54.2,9.7,23.2,6.0,,53.0,79.1,80.5,6.9,45.5,24.8,27.4,,46.9,56.4
intlify,vue-i18n-next,36.8,31.2,32.4,67.8,15.8,43.2,46.7,44.2,38.5,43.5,55.6,61.1,29.3,28.1,47.8,61.1,40.0,42.2,53.3
node-schedule,node-schedule,33.0,24.7,,64.2,43.2,8.7,26.1,,,61.9,78.4,70.8,40.4,58.0,37.1,36.9,5.4,68.8,52.6
mysqljs,mysql,36.6,22.7,16.0,57.8,49.9,9.6,20.8,7.9,,71.8,88.4,92.2,59.2,47.5,29.3,41.2,5.5,41.1,63.4
babel,babel-preset-env,38.7,31.1,,80.5,43.2,4.8,14.3,,,53.8,65.6,53.8,69.2,26.7,45.1,85.0,,50.2,41.4
rollup,rollup-plugin-babel,29.2,31.1,,49.2,36.6,4.8,14.3,,,39.0,38.6,37.9,65.9,13.7,44.9,76.1,,58.6,27.1
babel,babelify,31.4,26.3,,56.2,43.0,5.8,17.3,,,43.3,54.3,44.7,47.6,26.6,44.3,72.8,,60.1,34.9
lodash,babel-plugin-lodash,26.5,19.5,,46.4,40.1,4.8,14.4,,,39.1,57.4,42.1,42.1,14.9,36.9,71.3,,39.4,34.8
akiran,react-slick,43.1,41.6,33.1,69.1,28.8,28.1,36.6,29.6,18.2,65.7,81.6,90.5,50.6,39.9,41.0,49.2,9.1,64.7,66.7
FortAwesome,react-fontawesome,26.9,20.4,,69.0,18.1,7.4,22.3,,,37.8,66.3,60.1,5.4,19.4,38.8,58.0,2.4,56.1,44.6
gulpjs,gulp-util,36.3,31.0,,65.4,48.5,4.8,14.5,,,44.0,42.5,41.2,61.3,31.1,35.9,46.0,,61.8,29.5
chancejs,chancejs,32.6,21.6,22.4,50.6,35.9,21.6,27.0,19.6,18.3,45.0,73.5,69.3,5.5,31.6,46.2,59.7,24.1,54.6,54.8
ardatan,graphql-tools,42.0,38.8,26.0,66.0,37.4,43.2,42.6,47.1,39.8,59.9,70.7,77.1,50.1,41.7,53.5,58.1,43.5,58.8,63.7
rstacruz,nprogress,30.8,14.0,,34.6,74.5,5.9,17.6,,,67.5,93.5,88.9,50.7,36.9,26.1,41.8,,36.6,62.8
theturtle32,WebSocket-Node,29.5,39.6,,31.6,46.6,6.8,20.3,,,47.5,66.5,73.0,5.6,44.8,25.7,25.8,0.1,51.0,48.8
acdlite,recompose,34.1,16.1,,62.4,57.8,4.7,14.1,,,62.5,86.0,84.0,46.5,33.5,46.7,81.0,,59.1,58.2
cryptocoinjs,secp256k1-node,29.5,26.9,3.6,30.1,57.5,7.7,21.2,1.8,,34.0,26.4,47.0,26.3,36.1,28.3,29.5,0.2,55.1,27.0
facebook,draft-js,32.4,5.6,,77.0,46.9,4.7,14.2,,,62.9,92.0,92.8,39.7,26.9,52.8,77.6,1.1,79.6,63.2
jrburke,r.js,41.6,16.1,,73.8,76.7,4.7,14.2,,,46.4,60.7,74.8,5.7,44.3,18.0,17.4,,36.5,46.7
broofa,node-uuid,13.8,,,22.1,33.0,4.8,14.3,,,14.7,23.6,21.3,5.8,8.1,20.8,17.4,,44.9,16.6
rafeca,prettyjson,31.6,5.0,,60.2,61.4,5.3,15.9,,,39.4,32.7,28.7,37.0,59.3,25.7,52.6,,24.6,22.2
Leaflet,Leaflet,43.8,34.7,33.4,57.9,49.3,41.8,45.5,40.9,39.0,75.6,96.6,96.5,45.2,64.1,51.2,53.2,40.3,60.1,78.3
webpack-contrib,uglifyjs-webpack-plugin,40.8,28.7,,72.3,62.4,5.3,16.0,,,50.4,51.8,54.6,70.5,24.7,44.4,84.9,,48.5,37.2
abbr,deasync,25.5,23.5,3.9,30.6,44.2,11.8,22.6,9.6,3.1,42.3,44.9,33.9,48.0,42.3,24.8,32.7,5.3,36.5,30.2
dreamerslab,node.extend,35.8,31.3,2.5,46.8,62.5,7.7,15.0,5.0,3.2,28.3,17.0,15.2,40.1,41.0,21.4,34.7,5.5,23.9,13.3
theaqua,redux-logger,12.6,,,50.5,,4.6,13.9,,,55.9,72.0,65.2,52.1,34.2,43.2,74.9,,54.7,47.3
expressjs,method-override,38.7,31.3,10.2,56.2,57.0,5.7,14.0,3.2,,41.1,36.8,28.2,59.3,40.2,23.7,47.4,,23.8,23.6
mokkabonna,inquirer-autocomplete-prompt,39.3,37.4,17.0,39.3,63.6,20.8,24.8,23.7,13.9,30.4,27.1,36.5,38.9,18.9,41.0,61.0,16.9,45.0,28.1
browserify,watchify,36.5,17.7,,64.1,64.3,5.2,15.6,,,45.3,55.3,54.8,38.8,32.3,32.9,39.9,,58.8,38.4
Reactive-Extensions,RxJS,38.7,11.1,,82.1,61.6,5.2,15.7,,,66.5,89.3,90.8,27.1,58.8,25.3,25.5,,50.3,61.8
TryGhost,node-sqlite3,47.9,49.5,28.7,73.9,39.3,26.8,35.1,31.2,14.0,66.0,72.6,77.0,52.5,62.0,43.2,37.4,21.8,70.3,58.8
jashkenas,coffeescript,45.0,44.9,14.9,63.1,57.2,18.9,30.6,11.8,14.1,66.5,86.7,90.4,39.6,49.4,44.6,61.9,14.9,57.0,65.3
jaredhanson,passport-local,37.0,7.6,,55.7,84.5,6.2,15.8,2.7,,57.6,61.1,70.7,56.4,42.2,27.9,44.0,,39.6,46.0
domenic,sinon-chai,34.2,30.5,,43.9,62.5,8.0,18.7,5.3,,46.6,47.5,43.0,41.7,54.3,38.3,60.2,,54.6,32.8
gotwarlost,istanbul,24.5,4.4,,57.2,36.3,6.5,19.4,,,61.9,77.8,78.7,54.9,36.3,26.9,39.9,,40.8,54.3
gruntjs,grunt-cli,31.2,20.8,1.5,31.7,71.0,7.4,19.5,2.6,,46.2,38.7,58.9,47.3,40.0,31.3,34.1,0.9,58.8,35.0
gruntjs,grunt,44.2,25.9,15.6,64.0,71.2,17.1,25.1,13.4,12.8,71.1,82.5,87.2,61.7,53.1,36.5,40.5,14.2,54.8,62.3
yeoman,generator,45.7,50.3,32.5,34.6,65.3,29.7,31.6,33.2,24.4,45.7,48.9,63.5,6.4,64.2,42.4,47.4,32.3,47.6,47.4
BrowserSync,browser-sync,36.3,25.6,28.5,59.0,32.1,23.1,28.4,22.7,18.1,67.7,82.4,75.9,64.7,47.9,46.1,79.2,23.1,36.0,60.5
facebook,flux,35.1,27.8,,65.7,46.7,4.6,13.7,,,62.2,87.9,94.5,39.0,27.5,50.8,68.7,6.0,77.7,62.3
inversify,InversifyJS,42.4,34.1,21.7,81.8,32.1,34.3,37.9,28.8,36.1,50.8,80.6,75.0,6.5,41.2,51.0,43.0,29.4,80.7,63.3
mqttjs,MQTT.js,44.4,37.4,26.7,80.5,33.1,41.4,43.8,40.2,40.1,60.5,76.8,85.6,6.6,73.0,53.2,52.3,42.6,64.8,67.9
babel,eslint-plugin-babel,29.7,30.8,,44.9,43.0,4.6,13.8,,,32.5,29.0,35.1,39.9,25.9,40.9,58.2,,64.4,22.9
electron,electron,48.7,42.7,31.6,79.9,40.5,44.9,42.6,48.2,43.9,77.8,99.5,98.5,49.0,64.1,55.5,60.6,46.6,59.3,81.0
mikeal,watch,30.2,4.1,,47.1,69.5,3.6,10.9,,,52.5,50.4,47.7,65.2,46.6,30.8,36.9,,55.4,33.9
TooTallNate,keypress,27.0,3.4,,26.1,78.5,3.1,9.3,,,33.6,27.9,30.7,38.1,37.9,18.2,27.1,,27.4,20.6
hparra,gulp-rename,28.4,17.4,,35.7,60.5,3.7,11.0,,,41.2,38.2,34.9,62.3,29.3,34.9,42.5,,62.1,25.6
gulp-sourcemaps,gulp-sourcemaps,20.9,22.5,,33.9,27.3,3.1,9.4,,,45.5,47.8,43.9,58.2,32.0,30.6,45.4,,46.5,31.6
apollographql,apollo-client,44.1,38.9,31.2,67.8,38.5,44.9,45.5,46.5,42.7,64.9,89.0,92.6,42.0,35.9,65.4,70.7,45.4,79.9,75.5
broccolijs,broccoli-funnel,23.6,17.0,,31.7,45.9,5.3,13.5,2.5,,23.6,13.3,22.2,31.5,27.2,39.3,58.5,,59.5,13.6
patorjk,figlet.js,27.7,10.3,20.2,59.0,21.2,25.5,21.9,35.0,19.7,49.7,59.9,50.2,45.8,42.8,31.1,58.7,9.8,24.9,45.2
andyearnshaw,Intl.js,25.2,9.3,,65.6,26.0,4.5,13.6,,,40.6,54.4,57.0,6.7,44.2,36.1,29.7,,78.8,38.6
koajs,static,40.6,24.0,2.2,64.7,71.5,7.8,14.8,8.4,,33.8,48.2,43.3,13.6,29.9,24.1,20.5,,51.7,33.1
apache,echarts,51.7,29.9,28.1,85.6,63.2,43.4,47.3,41.4,41.5,75.4,97.9,98.7,46.3,58.8,64.4,66.2,42.8,84.3,80.0
pksunkara,inflect,30.5,30.7,,63.8,27.4,5.0,14.9,,,35.4,22.0,33.3,46.0,40.5,13.4,24.1,,16.1,20.1
ericelliott,cuid,44.6,25.9,10.1,71.7,70.6,6.9,15.2,5.5,,48.0,64.3,46.1,42.6,39.0,44.4,69.4,,63.7,39.1
yeoman,environment,46.5,56.2,33.8,30.9,65.2,29.8,29.4,35.6,24.3,25.8,16.7,34.5,5.3,46.7,34.4,51.6,32.5,19.1,27.0
flatiron,nconf,28.7,7.2,13.2,33.8,60.7,11.6,16.5,14.6,3.7,54.6,67.2,59.5,38.6,53.1,35.7,31.7,8.8,66.6,46.1
kolodny,immutability-helper,36.6,24.2,,58.2,63.9,5.1,15.3,,,47.0,70.3,54.3,35.8,27.7,41.9,64.4,,61.2,43.2
josdejong,mathjs,48.2,37.6,33.3,86.5,35.4,38.6,41.1,38.6,36.0,59.4,85.0,83.3,35.5,34.0,53.9,58.2,38.9,64.7,69.0
broccolijs,broccoli-merge-trees,25.7,22.0,,35.2,45.8,4.9,14.6,,,22.1,10.8,21.2,31.9,24.4,38.6,57.3,,58.5,12.3
flatiron,prompt,30.0,7.1,,51.6,61.1,4.9,14.6,,,48.8,56.1,52.5,42.4,44.1,32.4,29.7,,67.3,37.8
jaredhanson,passport-oauth2,37.2,12.6,8.6,43.4,84.2,10.8,24.1,8.3,,43.7,36.2,64.8,43.6,30.1,28.6,51.2,,34.6,37.3
ForbesLindesay,sync-request,36.8,33.1,,48.7,65.2,6.9,20.7,,,28.8,26.2,25.5,41.9,21.6,17.7,34.0,,19.1,19.5
ljharb,tape,46.3,41.4,14.7,80.6,48.6,19.3,26.4,18.7,12.9,55.5,72.2,65.0,49.9,35.0,36.5,33.1,23.9,52.5,52.2
koajs,bodyparser,42.8,29.8,4.7,65.0,71.5,11.2,22.0,7.7,3.8,36.6,50.6,43.4,26.7,25.8,27.6,24.4,11.7,46.8,35.1
jashkenas,backbone,46.0,37.2,29.3,59.9,57.4,23.9,25.2,33.6,13.0,68.3,94.9,96.3,35.0,46.9,47.6,54.2,16.7,72.0,71.7
typicode,lowdb,46.7,45.4,29.6,69.2,42.5,19.7,29.4,21.2,8.6,66.3,90.4,79.9,53.4,41.7,29.5,44.6,13.6,30.2,63.3
ember-cli,ember-cli-htmlbars,41.6,39.8,25.6,39.6,61.5,27.7,29.3,27.6,26.4,30.3,14.3,31.6,34.0,41.4,47.3,62.7,26.5,52.6,24.5
mozilla,nunjucks,48.7,37.8,15.5,68.3,73.1,11.7,22.6,12.4,,62.9,77.4,73.2,45.4,55.4,35.7,39.5,4.0,63.5,54.1
jshint,jshint,40.9,42.7,,67.6,53.5,7.6,19.6,3.1,,70.5,78.3,87.8,49.4,66.7,45.8,69.4,,68.0,57.9
benjamn,install,30.8,13.9,,36.6,72.7,4.4,13.2,,,26.1,12.8,16.5,40.9,34.0,19.6,51.5,,7.2,11.2
chenglou,react-motion,31.0,7.3,2.3,54.3,60.2,5.5,13.2,3.2,,57.5,91.2,82.6,34.7,21.3,50.1,75.5,,74.7,59.8
ChainSafe,web3.js,48.3,47.0,29.4,73.4,43.4,42.5,44.1,43.0,40.3,64.8,88.6,96.0,25.0,49.4,59.3,61.9,43.8,72.2,75.7
adaltas,node-http-status,35.8,35.5,11.3,58.8,37.4,19.3,22.1,15.8,20.1,27.1,30.6,27.6,4.8,45.2,31.5,20.7,18.7,55.1,25.8
Medium,phantomjs,22.7,10.9,,27.1,52.9,4.4,13.3,,,52.5,52.3,69.5,37.8,50.2,32.4,36.2,,61.1,42.1
webpack-contrib,extract-text-webpack-plugin,35.8,29.8,,51.0,62.4,4.3,12.8,,,61.9,67.4,71.4,69.6,39.0,48.4,85.3,,60.0,47.7
jxson,front-matter,35.7,3.9,,57.5,81.5,7.0,17.0,4.0,,37.2,37.7,35.4,37.4,38.2,28.2,25.8,,59.0,26.7
reactstrap,reactstrap,40.5,33.9,30.4,81.2,16.6,31.9,35.2,28.6,31.8,62.1,80.3,84.4,51.0,32.7,60.1,78.1,35.6,66.5,65.5
babel,ember-cli-babel,34.5,28.3,23.6,42.8,43.2,29.4,29.6,31.6,26.8,34.3,18.2,44.1,34.1,40.7,53.4,60.0,27.6,72.5,30.6
twitter,hogan.js,38.1,20.5,,70.5,61.6,4.3,12.9,,,54.8,70.1,69.8,36.0,43.5,28.6,27.7,3.4,54.7,48.1
klughammer,node-randomstring,27.3,18.5,,40.6,50.2,4.3,13.0,,,36.1,34.2,35.5,33.8,40.9,21.6,23.5,,41.2,24.7
jquery,jquery-ui,38.9,19.1,17.0,57.9,61.5,24.8,33.8,19.0,21.6,66.5,81.4,96.2,35.3,53.1,37.7,25.8,20.3,67.0,67.5
imagemin,imagemin-pngquant,26.3,11.0,1.6,35.5,56.9,5.8,13.0,4.2,,35.2,25.6,36.2,48.7,30.2,29.4,37.3,1.1,49.8,22.5
getsentry,raven-js,47.9,38.8,28.8,75.8,48.3,42.2,41.3,46.2,38.9,66.9,75.5,86.3,34.6,71.2,63.2,74.9,44.1,70.5,68.0
showdownjs,showdown,39.9,29.4,5.9,81.7,42.6,8.5,21.2,4.3,,69.6,84.8,87.1,35.1,71.4,36.5,55.6,11.3,42.7,60.1
angular,angular.js,37.8,24.8,,61.8,64.7,3.3,9.9,,,62.6,98.1,99.4,3.6,49.2,35.6,58.6,,48.2,66.9
apocas,dockerode,47.0,46.8,20.8,63.5,56.8,20.4,28.7,13.2,19.3,55.0,67.7,69.0,32.1,51.0,40.0,24.7,21.9,73.3,52.4
dcodeIO,bytebuffer.js,20.1,6.4,,28.8,45.0,3.3,9.9,,,33.1,38.8,50.3,3.7,39.6,11.4,5.1,,29.2,30.8
vuejs,vue-class-component,34.2,32.1,8.7,48.8,47.0,11.7,19.9,6.5,8.7,52.7,72.3,68.6,38.7,31.4,41.2,73.8,4.3,45.5,50.9
nickmerwin,node-coveralls,36.3,6.7,,63.4,75.2,3.3,10.0,,,41.7,46.8,60.5,13.4,46.1,41.2,53.3,,70.2,36.9
hughsk,envify,33.2,7.4,,37.2,88.3,3.9,11.7,,,36.0,44.4,28.3,39.5,31.7,19.1,16.5,,40.9,25.5
olado,doT,33.3,19.9,5.0,56.2,52.3,6.0,13.5,4.5,,58.6,69.7,81.1,31.8,52.0,14.3,21.9,,20.9,52.3
tediousjs,node-mssql,42.4,40.0,31.6,72.1,26.0,34.9,34.4,40.4,29.8,47.7,58.9,69.4,8.2,54.1,45.8,41.9,31.9,63.7,54.4
tj,connect-redis,49.9,52.1,22.0,41.9,83.4,17.5,24.9,13.1,14.4,56.1,61.7,66.5,34.5,61.8,28.5,18.6,26.0,40.8,48.6
kaorun343,vue-property-decorator,26.3,20.6,,61.4,23.1,4.3,12.8,,,42.3,71.4,67.1,6.2,24.4,23.7,30.2,,40.9,47.6
contra,gulp-concat,14.3,17.9,,33.6,5.6,3.2,9.7,,,43.5,41.0,44.6,57.2,31.1,30.1,31.5,,59.0,29.6
standard,standard,45.9,33.4,29.9,86.5,33.9,32.3,32.9,32.6,31.4,64.7,95.3,91.5,47.2,24.7,42.3,25.8,35.2,65.8,73.0
koajs,router,49.4,29.3,24.1,73.1,71.3,18.8,23.4,18.5,14.5,29.1,42.6,51.9,6.3,15.5,33.2,15.0,15.3,69.2,37.8
yuanchuan,node-watch,39.1,37.8,21.4,55.7,41.6,16.0,18.9,9.6,19.4,33.9,26.9,24.7,35.6,48.5,22.3,17.8,15.7,33.5,22.5
prettier,tslint-config-prettier,28.2,24.5,,66.1,22.4,3.0,8.9,,,32.8,49.7,23.7,38.3,19.6,44.7,70.1,,64.0,25.5
rollup,rollup-plugin-node-resolve,31.3,30.3,,58.6,36.3,2.8,8.4,,,34.0,32.5,39.1,46.9,17.6,39.4,69.6,,48.5,24.8
ethereumjs,ethereumjs-tx,32.0,30.3,,58.7,39.0,2.8,8.5,,,42.7,40.7,60.2,44.2,25.5,33.8,32.7,,68.7,34.6
oblador,react-native-vector-icons,49.7,38.5,32.1,81.9,46.3,36.6,37.4,33.4,39.2,68.3,87.3,90.7,55.1,40.0,55.4,74.6,35.2,56.3,71.5
pvorb,node-sha1,36.6,30.4,,37.2,78.8,2.8,8.5,,,28.3,15.1,14.5,40.6,43.0,11.3,24.0,,9.8,10.8
ianschmitz,jest-environment-jsdom-fourteen,14.9,0.0,,37.3,22.4,2.9,8.6,,,22.6,10.7,10.9,63.5,5.4,14.4,43.2,,0.1,8.2
ant-design,babel-plugin-import,28.2,23.6,10.1,41.4,37.9,18.0,20.1,14.7,19.1,49.5,63.4,67.6,41.2,25.6,39.4,37.7,16.6,63.9,49.7
geowarin,friendly-errors-webpack-plugin,28.4,3.8,,59.3,50.6,2.9,8.6,,,40.2,39.7,37.5,62.5,21.1,41.3,78.8,,45.2,26.7
vuejs,babel-helper-vue-jsx-merge-props,21.2,13.7,,24.0,47.1,2.9,8.7,,,22.3,11.2,13.8,54.8,9.3,12.2,24.7,,11.9,9.3
jadejs,jade,22.4,33.3,,56.2,,6.3,18.8,,,74.7,91.0,89.5,55.9,62.5,45.4,71.7,2.6,61.8,62.3
terinjokes,gulp-uglify,30.9,24.3,,45.1,54.0,2.7,8.2,,,50.1,49.4,51.0,60.2,39.9,20.1,40.1,,20.2,34.4
gruntjs,grunt-contrib-copy,33.5,11.9,,50.7,71.3,2.7,8.2,,,45.6,39.2,53.9,52.9,36.5,27.8,29.0,,54.3,31.9
fluent-ffmpeg,node-fluent-ffmpeg,42.3,36.9,12.5,70.9,49.1,14.4,23.5,17.8,2.1,50.8,75.0,79.0,4.4,44.7,41.1,38.5,11.5,73.2,56.1
vpulim,node-soap,32.3,,9.6,83.4,36.1,7.3,8.3,13.6,,55.2,62.5,86.4,4.5,67.4,40.3,46.1,5.2,69.5,52.1
systemjs,systemjs,41.5,39.0,15.9,70.5,40.5,20.6,26.1,16.6,19.2,66.7,83.4,81.9,40.7,60.9,30.3,32.0,18.0,40.9,62.0
gruntjs,grunt-contrib-clean,35.1,17.0,,52.3,71.2,2.8,8.4,0.1,,39.3,34.0,32.1,53.5,37.5,42.0,60.1,7.5,58.2,23.0
gruntjs,grunt-contrib-watch,34.2,11.5,,54.4,70.8,3.0,9.1,,,54.2,57.7,66.1,56.8,36.1,31.7,32.2,2.1,60.6,42.3
redux-utilities,redux-actions,26.8,29.5,,39.7,38.1,7.5,12.7,9.7,,51.2,73.7,62.4,35.4,33.2,44.0,56.4,5.7,69.9,47.9
tschaub,gh-pages,45.6,29.9,32.5,56.6,63.4,29.0,23.7,36.1,27.1,54.8,63.5,52.7,66.5,36.5,41.5,44.5,27.1,52.9,48.4
redux-form,redux-form,28.1,17.3,4.5,77.9,12.8,4.1,8.7,3.5,,63.2,83.2,87.6,38.4,43.8,50.0,74.3,,75.7,58.3
patrick-steele-idem,child-process-promise,28.9,5.4,,40.5,69.8,2.7,8.0,,,26.4,23.0,20.3,32.2,30.3,18.6,34.6,,21.2,15.3
node-modules,urllib,43.6,45.4,16.0,55.3,58.0,27.0,25.4,30.9,24.7,43.5,39.0,42.3,31.3,61.5,34.1,27.6,31.0,43.9,36.1
bitcoinjs,bip39,28.2,20.7,2.0,51.7,38.5,11.4,13.7,5.8,14.6,45.3,46.2,68.5,41.6,25.1,41.3,52.0,10.8,61.1,42.0
discordjs,discord.js,38.2,42.1,27.7,64.7,18.1,44.4,44.5,45.8,42.8,70.7,93.1,94.9,51.2,43.6,57.1,68.7,45.5,57.1,77.5
ElemeFE,element,39.1,32.8,16.8,62.1,44.5,34.7,41.2,30.5,32.3,59.2,97.8,98.4,4.6,35.9,53.0,64.0,27.2,67.8,77.0
Level,level,45.3,38.2,21.2,77.5,44.2,16.8,22.4,13.2,14.7,47.4,53.1,43.1,41.1,52.1,35.2,32.7,14.0,59.0,37.7
gruntjs,grunt-contrib-uglify,36.6,23.4,,51.9,71.2,6.4,12.7,6.4,,56.5,53.0,66.8,57.1,49.0,49.3,63.9,6.5,77.5,42.1
rollup,rollup-plugin-commonjs,27.4,29.8,,42.9,37.0,4.2,12.7,,,34.2,33.8,44.4,45.0,13.6,40.1,70.6,,49.8,27.5
robrich,gulp-if,29.0,19.1,,42.4,54.6,4.2,12.7,,,32.0,37.5,19.1,44.4,27.2,18.7,35.9,,20.2,20.3
grpc,grpc-node,38.4,28.1,28.2,73.0,24.4,38.7,36.5,42.9,36.8,45.1,67.9,72.7,4.7,35.1,38.9,32.2,34.5,50.0,59.8
aheckmann,gm,32.4,4.9,,53.9,70.7,4.8,13.0,1.4,,57.1,74.2,73.5,32.6,48.0,29.6,31.1,,57.7,50.8
DiegoRBaquero,node-os,17.2,,,28.6,40.0,3.3,9.8,,,16.4,9.4,9.9,36.1,10.2,10.6,31.6,,0.2,7.5
helloIAmPau,node-spinner,17.4,14.3,,41.5,13.6,2.5,7.5,,,24.9,23.5,16.6,31.1,28.6,23.0,19.7,,49.2,14.2
Level,leveldown,31.1,27.5,7.4,45.5,44.0,3.0,7.5,1.4,,46.7,40.2,53.4,36.6,56.5,30.8,33.0,5.3,54.0,32.2
lazd,gulp-replace,33.9,20.9,,55.4,59.1,2.5,7.6,,,38.5,33.4,37.8,43.9,38.9,30.4,52.7,,38.4,24.6
karma-runner,karma-mocha,30.5,12.8,,44.6,64.4,2.8,8.4,,,37.0,28.7,39.5,43.1,36.9,46.6,72.3,7.4,60.1,23.7
sindresorhus,deep-assign,41.0,29.9,,58.3,75.8,2.4,7.1,,,27.6,22.6,21.9,51.7,14.1,17.4,30.3,,22.0,15.6
Semantic-Org,Semantic-UI-React,46.8,41.8,16.0,65.5,63.8,29.3,34.4,26.4,27.2,63.3,83.8,95.2,42.8,31.2,54.0,79.7,27.4,54.8,69.4
reactjs,react-router-redux,25.6,30.0,,39.3,33.1,4.2,12.5,,,48.4,76.3,73.7,17.6,26.1,45.9,69.0,,68.8,51.4
koajs,koa-body,44.6,9.5,20.0,77.4,71.2,9.0,18.2,6.6,2.2,39.1,45.0,44.9,37.5,29.0,39.5,53.5,3.4,61.6,33.0
bahamas10,node-clear,29.1,13.3,,24.5,78.4,4.1,12.4,,,24.9,15.6,11.8,34.8,37.6,7.6,22.6,,0.2,10.5
babel,gulp-babel,29.6,17.2,,58.0,43.0,4.2,12.5,,,42.4,51.1,46.3,46.6,25.4,40.8,66.2,,56.3,33.9
Trott,slug,42.2,27.7,24.6,54.6,62.0,23.6,21.1,30.7,19.0,20.2,25.3,20.2,33.2,2.3,41.0,48.9,27.9,46.2,23.0
elastic,elasticsearch-js-legacy,29.7,30.6,,38.3,49.9,2.4,7.2,,,9.5,12.7,21.4,2.5,1.4,27.9,29.3,,54.5,12.2
enricomarino,is,39.7,21.1,,60.3,77.3,2.4,7.2,,,32.1,19.9,19.5,47.1,42.0,15.9,29.2,,18.6,13.9
jgthms,bulma,45.8,42.4,31.9,66.5,42.6,31.0,32.1,31.2,29.7,65.6,97.5,95.0,45.5,24.2,45.0,66.3,27.9,40.8,74.5
koajs,mount,36.3,11.3,,62.9,71.1,2.4,7.3,,,24.1,35.1,28.6,2.6,29.9,19.9,17.1,,42.6,22.0
gruntjs,grunt-contrib-concat,34.1,10.7,9.8,44.8,71.1,10.0,12.2,3.0,14.8,46.4,41.8,52.1,53.0,38.6,42.5,61.3,9.9,56.1,34.6
aseemk,requireDir,30.3,14.4,,43.8,63.0,2.4,7.3,,,27.7,33.2,29.2,2.7,45.6,16.1,19.7,,28.6,21.6
yeoman,yosay,35.1,32.3,1.8,41.1,65.2,4.5,7.6,3.5,2.3,26.4,20.8,24.3,30.5,29.9,22.4,21.6,4.7,41.0,16.5
felixge,node-require-all,35.7,20.4,,43.5,78.9,2.3,6.9,,,31.4,24.9,26.4,33.0,41.4,19.1,19.3,,38.1,17.9
sindresorhus,gulp-autoprefixer,41.3,27.1,1.5,60.2,76.7,8.4,14.2,3.0,8.1,37.2,38.3,26.3,56.5,27.8,23.5,31.4,4.8,34.4,24.3
hokaccha,node-jwt-simple,29.6,5.3,,42.1,71.0,2.3,6.9,,,43.8,51.6,48.8,33.9,40.8,32.6,53.6,,44.1,34.2
scniro,gulp-clean-css,23.3,18.6,0.8,40.2,33.6,4.1,11.6,0.6,,36.5,37.3,29.1,52.3,27.5,16.1,26.9,,21.4,23.5
floatdrop,gulp-plumber,31.3,8.0,,40.2,77.0,2.3,7.0,,,35.2,41.7,19.9,51.8,27.2,17.3,30.6,,21.1,21.3
restify,node-restify,44.5,45.4,13.5,74.1,44.9,16.7,20.6,13.6,15.8,54.9,80.5,80.9,2.8,55.4,34.5,20.3,16.5,66.7,59.4
