owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
brix,crypto-js,37.4,20.4,13.5,70.3,45.3,17.2,40.6,6.7,4.2,67.1,86.2,91.8,57.5,32.9,28.5,34.5,2.1,48.8,65.0
arcanis,ts-pnp,16.8,0.3,,18.7,48.0,8.6,25.7,,,25.7,13.4,11.1,76.1,2.2,16.3,42.9,,6.0,11.0
gregberge,svgr,45.2,33.6,20.2,70.2,56.8,37.6,52.7,25.9,34.3,64.4,79.9,68.1,80.8,28.6,51.7,68.9,29.2,57.0,61.9
kentcdodds,cross-env,39.7,28.9,,72.7,57.2,8.6,25.8,,,59.8,73.3,60.4,71.2,34.1,34.6,41.7,,62.0,47.4
postcss,postcss-safe-parser,25.6,22.2,8.1,21.1,51.2,18.2,30.0,11.8,12.6,29.6,16.1,12.1,75.2,14.8,24.7,52.4,11.0,10.6,15.5
octokit,rest.js,37.3,21.4,29.6,69.5,28.6,40.8,49.8,38.4,34.1,26.9,33.5,29.7,14.0,30.2,52.3,59.3,38.8,58.9,34.7
jergason,recursive-readdir,30.1,17.1,,28.8,74.3,9.0,26.9,,,47.3,27.3,38.6,82.1,41.0,36.9,65.7,,44.9,25.0
blakeembrey,change-case,44.5,49.4,23.3,37.3,68.0,36.2,50.6,28.9,29.2,50.8,58.3,38.3,53.9,52.6,42.6,53.8,26.3,47.6,44.3
webpack-contrib,webpack-bundle-analyzer,45.9,30.2,22.7,67.8,63.0,32.3,43.6,24.0,29.4,57.8,83.0,69.9,69.7,8.7,55.0,78.7,26.8,59.5,61.7
isaacs,node-touch,31.5,5.6,,33.4,86.9,8.8,26.5,,,37.3,16.3,13.5,77.1,42.5,25.0,69.2,,5.9,12.9
remy,nodemon,55.2,51.8,22.0,83.2,63.8,32.0,45.8,30.1,20.2,82.8,93.7,87.9,77.7,71.7,57.3,77.6,33.8,60.5,71.2
matthew-andrews,isomorphic-fetch,34.2,25.6,,36.2,74.8,8.8,26.5,,,59.1,74.4,61.6,71.6,28.9,24.7,46.9,,27.3,48.3
que-etc,resize-observer-polyfill,13.6,4.5,,31.2,18.6,8.2,24.5,,,46.8,54.9,47.3,63.3,21.9,28.6,74.0,,11.7,36.8
node-modules,detect-port,38.1,30.1,1.9,62.3,58.0,8.5,24.7,0.8,,32.1,28.1,18.3,57.3,24.6,32.0,40.0,11.1,45.0,18.3
babel,babylon,33.4,30.1,,60.1,43.4,8.2,24.6,,,40.5,54.8,59.9,14.1,33.2,39.6,63.6,,55.3,41.0
emotion-js,emotion,40.3,41.7,19.7,82.6,17.3,32.5,50.9,22.6,23.9,63.6,87.2,81.8,48.3,37.0,57.4,78.7,27.4,66.2,67.2
slevithan,xregexp,24.3,28.1,,41.8,27.0,11.9,32.5,3.1,,62.9,63.8,64.2,72.3,51.4,39.0,61.7,,55.4,46.6
auth0,jwt-decode,47.5,36.9,27.8,55.7,69.7,40.8,47.7,42.6,32.2,54.0,62.9,65.7,55.5,32.0,50.9,60.2,36.1,56.5,56.5
twbs,bootstrap,50.1,41.8,33.5,88.2,36.7,48.0,57.4,44.9,41.8,86.4,99.8,100.0,77.8,68.1,51.2,49.5,45.2,58.8,82.6
markdown-it,markdown-it,50.4,51.5,30.1,75.4,44.6,40.3,52.9,32.1,35.8,62.6,87.0,87.7,56.1,19.6,38.9,41.2,33.1,42.4,71.7
facebook,create-react-app,46.2,30.9,14.1,93.1,46.6,21.6,43.6,21.1,,79.5,99.3,99.3,85.7,33.6,59.9,89.3,12.6,77.8,73.4
d3,d3-shape,24.6,21.9,3.4,19.4,53.6,13.2,30.1,5.2,4.3,52.3,60.1,62.7,51.9,34.6,32.2,52.1,3.5,41.1,45.3
pinojs,pino,43.1,37.9,30.5,75.7,28.4,44.6,55.4,38.3,40.0,63.3,83.7,78.0,50.4,41.0,53.9,41.5,40.5,79.7,68.8
socketio,socket.io,42.2,43.6,30.2,63.7,31.2,38.0,52.9,28.4,32.6,86.0,98.2,97.7,76.7,71.4,51.3,79.3,32.2,42.2,78.0
gajus,eslint-plugin-flowtype,39.5,19.0,,80.0,59.1,8.4,25.2,,,54.2,47.3,49.5,82.4,37.8,46.0,56.5,,81.3,35.1
npm,read,40.3,6.8,26.4,66.6,61.4,31.3,36.6,31.7,25.6,37.1,20.0,22.7,59.6,46.3,36.4,37.5,33.0,38.6,24.7
webpack-contrib,raw-loader,34.4,24.9,,50.6,62.1,8.4,25.2,,,49.5,43.0,39.2,68.0,47.6,38.3,81.8,,33.0,30.2
npm,cli,49.6,32.9,31.2,73.4,61.0,48.3,57.5,45.3,42.2,55.8,76.5,93.2,19.6,33.8,52.2,59.1,45.0,52.5,72.7
d3,d3-scale,26.5,19.9,12.8,19.8,53.6,15.2,31.8,9.5,4.4,51.3,53.7,62.1,51.6,37.8,33.8,56.4,4.2,40.8,43.7
less,less.js,49.6,45.0,24.2,73.6,55.4,29.3,46.9,23.0,18.0,62.5,87.1,94.4,1.7,66.8,43.1,55.0,22.9,51.6,70.3
sindresorhus,multimatch,38.8,22.7,1.3,55.1,76.2,11.7,28.1,2.5,4.5,33.0,24.8,17.9,56.2,33.2,29.9,34.3,3.6,51.9,18.1
dankogai,js-base64,44.1,37.0,13.6,50.0,76.0,19.6,32.4,13.7,12.7,69.6,67.6,84.8,76.2,49.9,36.3,40.6,18.5,49.7,57.3
mikehall314,es6-promisify,19.5,30.5,,35.5,11.9,8.9,26.7,,,40.6,34.1,21.7,68.3,38.5,29.4,73.6,0.5,14.1,21.6
oliviertassinari,babel-plugin-transform-react-remove-prop-types,25.7,14.7,,50.2,38.0,8.9,26.7,,,46.8,44.3,29.4,81.1,32.2,42.9,84.2,,44.5,27.5
npm,osenv,28.4,4.3,,47.7,61.5,8.2,24.7,,,37.6,17.6,16.0,78.5,38.3,33.7,75.9,,25.2,13.9
bevacqua,hash-sum,28.6,1.0,,33.7,79.5,8.2,24.7,,,32.3,24.5,17.8,71.8,15.3,21.0,60.3,,2.7,16.8
mongodb,js-bson,32.9,,29.9,54.0,47.9,36.1,37.2,36.0,35.2,42.1,47.2,60.3,1.8,59.2,46.8,40.6,32.0,67.6,47.9
bjyoungblood,es6-error,25.0,9.9,,30.4,59.7,8.5,25.5,,,30.4,21.4,20.9,54.3,24.9,41.0,72.1,,50.8,16.9
jest-community,jest-watch-typeahead,22.4,9.2,34.4,27.4,18.7,26.0,30.0,34.8,13.3,35.9,29.4,14.4,80.6,19.1,44.9,62.8,24.4,47.4,23.3
babel,babel-eslint,36.2,30.5,,71.2,43.2,8.6,25.9,,,59.0,62.6,58.0,78.4,37.0,51.7,81.6,,73.6,43.1
niksy,throttle-debounce,33.0,26.4,,46.7,58.9,9.3,28.0,,,42.0,45.7,41.6,55.7,25.1,25.8,48.2,,29.3,32.2
gulpjs,vinyl,33.8,20.9,,58.1,56.3,8.5,25.6,,,50.1,50.1,41.0,64.8,44.5,35.4,41.1,1.9,63.1,33.2
webpack-contrib,webpack-hot-middleware,41.7,21.2,22.3,61.4,61.9,29.1,38.8,21.1,27.3,51.3,59.4,63.3,60.7,22.0,46.4,58.3,13.7,67.2,50.6
puppeteer,puppeteer,33.2,37.2,29.6,58.2,7.8,48.0,55.2,47.5,41.3,71.1,98.8,97.4,51.5,36.8,50.8,61.4,45.0,46.1,81.4
sockjs,sockjs-client,46.9,31.5,26.0,76.2,53.8,22.4,37.2,16.5,13.4,74.4,77.2,84.3,79.7,56.3,43.4,66.7,24.8,38.8,61.3
philbooth,bfj,29.1,,,73.4,43.2,7.7,23.2,,,32.0,18.8,9.5,80.5,19.1,20.6,50.3,,11.6,12.0
reduxjs,redux-thunk,34.8,38.3,13.4,65.0,22.4,31.2,40.8,24.8,28.0,67.6,88.3,81.5,71.5,29.1,53.4,66.0,26.2,68.0,67.0
mongodb,node-mongodb-native,42.2,,32.5,88.5,47.9,39.0,36.3,43.6,37.1,79.4,79.4,88.4,75.3,74.5,53.9,70.9,41.7,49.1,68.9
omnidan,node-emoji,48.0,36.1,24.2,71.5,60.4,33.1,39.2,34.9,25.3,52.7,50.2,59.0,64.4,37.1,54.7,71.7,35.0,57.5,47.4
expressjs,serve-favicon,34.6,34.1,,46.9,57.2,8.9,26.6,,,42.4,37.0,34.4,57.4,41.0,22.0,45.4,,20.6,26.8
request,request-promise-native,23.0,11.5,,29.9,50.5,8.0,24.1,,,41.9,47.7,34.2,75.8,9.8,19.2,48.1,,9.5,30.0
brianc,node-postgres,46.4,28.4,29.2,46.1,81.9,40.5,52.3,32.5,36.6,53.5,81.7,82.7,3.0,46.6,49.6,55.6,35.2,58.1,68.3
jasmine,jasmine,44.9,38.6,19.9,68.3,52.8,25.9,40.0,20.5,17.1,68.6,86.3,91.2,23.9,72.8,35.0,31.6,8.6,64.8,67.8
expressjs,multer,39.0,38.7,8.8,51.2,57.2,21.7,40.7,10.9,13.5,63.8,81.5,81.4,66.0,26.4,40.4,44.5,6.8,70.1,61.5
paulmillr,es6-shim,26.3,24.4,0.4,44.1,36.3,10.4,27.2,0.8,3.3,59.7,63.2,67.7,44.0,63.7,24.3,40.8,8.4,23.9,47.1
shellscape,webpack-manifest-plugin,34.7,28.3,,71.2,39.5,8.8,26.3,,,54.2,52.4,53.1,81.4,29.9,46.7,76.8,9.0,54.3,38.1
i18next,i18next,39.7,47.0,26.9,52.5,32.4,42.3,52.7,37.9,36.2,65.5,74.7,72.9,45.3,69.2,48.2,62.0,30.1,52.5,63.3
socketio,socket.io-client,34.5,49.8,11.7,45.4,31.0,21.7,40.4,14.6,10.2,79.6,80.2,93.7,73.4,71.0,52.3,76.3,19.4,61.2,65.2
stylelint,stylelint,41.1,40.2,27.9,77.9,18.6,47.2,54.7,46.0,40.8,66.8,80.7,80.6,57.0,48.9,50.4,55.5,43.6,52.1,69.5
stephenhandley,requireindex,20.5,15.3,,23.2,43.4,7.9,23.8,,,30.0,14.5,12.2,54.4,39.1,12.6,32.7,,5.0,11.5
eslint-community,eslint-plugin-promise,25.4,17.3,4.2,71.8,8.6,10.9,31.4,1.4,,40.5,44.0,38.9,64.3,15.0,46.9,58.0,6.5,76.0,31.3
expressjs,morgan,32.5,21.8,,50.9,57.3,9.8,27.8,1.6,,65.7,76.0,71.2,73.5,42.0,31.6,50.7,,44.1,52.3
googlechrome,workbox,35.3,43.6,11.0,55.0,31.5,19.0,39.1,18.0,,68.8,82.3,77.2,80.9,34.8,48.9,71.6,14.3,60.7,59.5
vuejs,core,40.6,28.7,35.1,51.5,47.1,49.3,56.2,47.7,44.0,57.2,97.0,97.0,3.1,31.8,51.2,39.8,46.2,67.7,81.1
npm,fstream,24.0,3.1,,31.5,61.5,7.8,23.3,,,41.0,20.6,26.7,74.6,42.0,42.0,72.0,,54.0,18.4
sindresorhus,debounce,54.2,61.9,27.2,50.2,77.5,20.9,31.7,11.1,19.9,41.2,38.5,34.8,59.7,31.8,33.2,38.7,11.8,49.0,31.4
luin,ioredis,47.1,34.4,17.0,83.1,54.0,18.4,40.0,14.8,0.3,64.6,84.1,82.3,47.0,45.0,47.2,64.0,9.3,68.4,61.6
ladjs,supertest,40.5,39.1,15.0,65.8,42.0,18.4,35.9,8.9,10.3,70.3,84.4,76.4,63.8,56.5,43.7,52.8,10.1,68.2,59.7
dominictarr,map-stream,27.9,3.5,,17.2,90.9,7.9,23.6,,,32.6,16.2,15.7,61.4,37.0,18.9,36.8,,19.9,13.3
cthackers,adm-zip,26.3,17.2,7.7,37.0,43.2,17.8,38.2,4.1,11.0,58.8,57.1,66.2,66.4,45.6,43.4,53.7,5.5,71.2,47.0
bgrins,TinyColor,38.2,35.7,2.1,58.1,57.0,10.5,29.6,2.0,,48.9,69.6,68.7,12.2,45.2,20.4,19.7,4.8,36.6,49.6
dominictarr,event-stream,41.1,19.3,,54.1,91.0,7.8,23.4,,,53.5,58.8,49.8,60.3,45.0,27.7,46.4,,36.6,38.8
adaltas,node-csv,40.5,39.4,20.3,64.7,37.5,30.9,44.1,24.8,23.8,52.7,66.9,60.7,36.3,47.0,34.8,37.5,24.4,42.5,52.8
airbnb,javascript,44.7,27.9,20.6,68.4,62.1,37.1,47.9,32.5,31.0,74.9,99.7,99.2,65.6,35.3,52.7,49.1,35.4,73.8,78.7
janl,mustache.js,38.8,26.1,,54.4,74.8,10.0,30.1,,,60.8,86.4,91.9,3.2,61.7,39.4,52.6,,65.7,62.8
log4js-node,log4js-node,31.6,35.7,17.4,47.6,25.6,23.6,40.3,19.4,11.1,50.3,72.1,76.7,3.3,49.1,43.3,43.6,22.4,63.9,57.5
beautifier,js-beautify,45.8,33.9,35.1,87.9,26.2,40.1,48.1,38.3,33.9,71.5,77.3,85.3,57.9,65.5,53.5,55.2,35.3,69.8,67.6
AvianFlu,ncp,24.3,2.6,,29.5,65.2,7.6,22.9,,,45.4,38.1,40.6,60.1,43.0,29.7,41.8,,47.2,28.8
sindresorhus,clipboardy,36.6,14.0,1.7,54.7,76.0,13.8,31.2,3.5,6.6,43.4,54.7,35.9,68.4,14.8,29.1,40.9,5.0,41.4,34.8
eligrey,FileSaver.js,32.0,27.3,,46.8,54.0,10.9,32.6,,,63.4,90.6,95.8,12.3,54.8,39.0,52.4,,64.5,65.8
mysticatea,eslint-plugin-node,29.7,17.6,3.8,48.4,49.2,8.8,24.4,2.1,,47.9,45.2,50.1,61.6,34.6,32.9,46.5,11.2,40.9,34.7
shama,gaze,35.7,7.6,,47.1,88.1,7.6,22.7,,,52.8,48.5,52.3,74.5,35.7,27.5,43.7,,38.9,36.1
csstools,postcss-normalize,31.5,12.4,0.3,64.2,49.2,11.6,25.0,3.2,6.7,40.7,42.1,23.0,80.2,17.5,22.4,55.4,3.4,8.5,25.6
helmetjs,helmet,42.9,47.3,18.0,63.3,43.1,29.6,42.9,26.0,19.8,60.4,79.5,66.4,55.0,40.5,38.2,53.8,23.0,37.9,58.5
