owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
expressjs,body-parser,34.9,26.0,2.7,53.0,57.9,1.6,4.5,0.5,,73.2,70.8,75.3,95.8,50.8,33.3,38.8,10.1,51.2,49.2,35.8
raszi,node-tmp,33.0,26.7,7.5,40.5,57.4,4.5,1.8,10.3,1.4,31.3,39.5,39.3,3.5,42.8,36.4,40.4,9.2,59.5,27.8,26.3
motdotla,dotenv,59.2,51.9,31.6,78.7,74.7,30.7,25.9,32.0,34.2,71.9,88.4,77.8,90.4,31.1,60.4,79.0,32.5,69.7,65.6,55.6
sindresorhus,open,39.2,22.8,12.5,45.0,76.5,19.6,19.4,17.7,21.8,62.6,63.1,55.0,88.0,44.4,38.3,34.2,21.1,59.6,45.9,39.9
sindresorhus,read-pkg-up,40.3,35.6,3.9,45.1,76.7,3.7,2.0,7.7,1.5,22.9,23.2,16.6,28.3,23.6,20.3,16.8,5.8,38.2,14.5,21.8
ljharb,object.assign,30.1,34.2,3.8,34.2,48.2,6.8,4.3,7.7,8.4,37.4,15.5,15.7,92.7,25.8,21.6,41.9,13.1,9.8,12.7,24.0
browserify,node-util,27.1,9.8,,34.3,64.2,1.6,4.7,,,24.3,22.5,36.8,2.5,35.5,16.0,13.9,,34.2,20.3,17.2
pillarjs,finalhandler,28.0,13.9,5.6,39.5,52.9,2.4,0.4,7.0,,46.0,21.1,26.7,96.5,39.9,19.3,46.3,0.7,10.8,16.7,23.9
Gozala,events,30.7,16.6,,29.9,76.5,0.2,0.4,0.1,,61.7,51.5,52.1,92.1,51.0,31.7,38.4,,56.7,34.6,31.1
sindresorhus,figures,42.1,32.0,9.0,51.3,76.2,12.3,5.5,16.3,15.1,41.7,36.1,16.1,82.9,31.7,34.8,35.7,17.4,51.4,21.5,32.7
sindresorhus,decamelize,34.2,19.7,,41.0,76.2,0.2,0.5,,,39.0,22.2,18.1,88.8,27.1,29.7,39.0,,50.1,13.5,25.8
TehShrike,deepmerge,26.1,10.7,,35.4,58.2,2.5,7.5,,,61.2,61.3,56.1,86.7,40.7,39.3,67.3,,50.7,40.0,32.3
ai,nanoid,34.6,32.7,18.4,38.5,48.9,28.7,24.2,29.7,32.1,66.6,92.0,75.9,90.5,7.8,50.2,54.3,28.6,67.8,65.5,45.0
isaacs,sax-js,43.4,5.7,18.8,63.1,86.2,18.8,13.4,21.4,21.5,43.6,47.1,64.5,13.8,48.9,37.7,50.1,14.9,48.1,43.5,35.9
doowb,ansi-colors,33.5,8.8,,44.0,81.4,0.2,0.6,,,36.9,29.8,20.2,85.1,12.6,28.4,40.4,,44.9,16.7,24.8
prettier,prettier,38.3,31.7,31.3,67.5,22.5,42.0,35.3,47.7,43.1,76.4,97.3,95.2,79.4,33.8,65.3,80.1,46.2,69.7,78.2,55.5
grncdr,merge-stream,33.9,31.9,,26.3,77.4,0.9,2.8,,,39.6,21.2,13.9,91.7,31.8,27.0,35.3,,45.8,12.0,25.4
estools,escodegen,21.8,20.3,,12.8,53.9,3.0,9.1,,,62.9,61.0,64.3,86.5,39.8,27.8,38.7,,44.8,42.8,28.9
webpack,webpack-sources,32.2,31.9,7.2,31.1,58.5,9.4,7.9,5.0,15.2,44.6,23.3,33.0,91.0,31.0,41.2,75.3,11.3,37.2,21.9,31.8
pillarjs,send,29.0,19.5,,44.0,52.5,1.1,2.9,0.2,,57.7,40.9,55.2,96.8,38.0,30.8,45.8,1.2,45.3,32.4,29.6
webpack-contrib,terser-webpack-plugin,46.8,48.9,24.5,51.2,62.5,21.8,18.4,25.1,21.9,55.8,57.0,50.5,89.0,26.8,49.8,61.9,25.8,61.9,43.1,43.6
rvagg,through2,26.9,24.6,,26.8,56.2,1.0,3.0,,,54.1,56.4,44.9,84.5,30.6,25.9,40.6,,37.2,34.1,27.0
jshttp,accepts,21.7,9.8,,19.6,57.5,1.5,4.5,,,47.3,23.1,25.2,97.3,43.8,25.8,44.7,,32.6,16.6,24.1
sindresorhus,log-symbols,38.7,31.8,4.4,42.9,75.5,10.0,9.5,5.1,15.3,42.3,39.3,21.1,80.0,29.0,25.0,34.3,10.4,30.2,23.5,29.0
rvagg,bl,33.9,13.0,23.8,42.4,56.2,19.7,11.6,26.0,21.6,47.8,30.2,34.2,78.9,47.9,38.7,33.6,20.8,61.7,28.0,35.0
expressjs,serve-static,27.8,17.3,,36.7,57.3,4.0,10.5,1.4,,63.2,51.8,56.8,96.7,47.6,21.0,44.8,,18.1,37.5,29.0
component,escape-html,35.3,31.8,,20.7,88.6,1.5,4.5,,,51.5,31.3,40.2,97.7,37.0,25.5,48.4,,28.0,24.3,28.5
indutny,node-ip,25.3,10.6,,17.2,73.3,5.5,10.6,6.0,,37.0,52.6,54.5,3.8,37.0,28.9,34.1,3.1,49.6,37.5,24.2
jshttp,content-type,27.7,31.8,,21.6,57.3,1.5,4.5,,,38.6,16.9,17.5,95.1,25.1,17.6,41.0,,11.9,12.0,21.4
npm,nopt,44.9,11.1,24.3,82.7,61.5,17.7,9.7,28.1,15.4,49.2,34.4,26.0,85.9,50.3,36.5,36.8,26.6,46.0,26.0,37.1
expressjs,express,45.8,40.8,29.8,55.4,57.0,26.4,28.4,26.4,24.3,92.7,98.4,98.2,97.2,77.0,49.7,46.9,28.8,73.2,74.3,53.6
jshttp,methods,22.8,19.5,,14.6,57.1,1.4,4.1,,,42.3,19.6,21.0,94.8,33.9,26.1,47.3,,31.1,14.0,23.2
