owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
webpack,webpack-cli,53.5,52.5,27.7,75.2,58.8,38.3,46.3,42.6,26.0,59.2,60.5,72.2,73.5,30.8,47.6,71.7,36.0,35.3,57.0,49.7
dominictarr,JSONStream,34.9,6.0,,42.6,91.0,9.1,27.2,,,54.7,56.6,52.3,67.3,42.5,26.0,33.7,,44.4,39.3,31.2
d3,d3-array,24.0,20.2,4.0,18.3,53.4,14.0,28.3,10.2,3.3,44.6,31.9,54.3,52.5,39.6,36.3,53.4,9.1,46.4,33.4,29.7
highlightjs,highlight.js,47.6,45.4,31.8,89.0,24.2,46.7,57.9,39.9,42.4,80.1,92.1,94.5,69.4,64.5,51.7,61.6,42.6,50.9,77.8,56.5
reduxjs,react-redux,39.8,39.7,22.3,75.0,22.4,42.6,53.4,38.5,35.8,75.8,92.2,94.2,74.8,42.1,63.4,80.7,37.1,72.5,76.3,55.4
facebook,fbjs,32.7,25.0,1.5,57.7,46.8,16.2,34.6,14.1,,52.4,57.3,63.1,72.6,16.6,51.7,80.9,7.8,66.5,45.5,38.3
yeoman,update-notifier,41.5,44.4,2.4,57.8,61.5,13.6,32.5,4.8,3.4,57.5,55.3,48.9,76.5,49.1,35.0,39.2,4.3,61.5,39.3,36.9
postcss,postcss-nested,28.3,26.8,6.5,28.6,51.1,18.8,35.9,7.2,13.4,45.1,48.2,31.5,80.6,20.0,38.3,51.9,12.5,50.4,32.8,32.6
csstools,postcss-plugins,47.8,41.4,31.8,69.1,49.1,38.9,48.8,45.8,22.3,39.0,41.6,31.2,82.4,0.7,42.9,62.4,34.3,32.0,37.2,42.2
angular,angular-cli,57.5,41.0,34.6,89.6,64.7,48.3,58.0,47.6,39.1,67.9,93.9,98.0,32.6,47.2,48.8,59.7,44.0,42.6,80.1,55.6
reduxjs,reselect,30.4,33.3,28.6,37.2,22.4,41.7,50.3,42.4,32.4,67.4,88.8,73.9,70.6,36.1,54.3,69.9,34.5,58.5,68.1,48.4
fshost,node-dir,25.5,6.1,,30.3,65.5,8.4,25.3,,,36.4,21.6,24.2,63.9,35.9,23.5,40.8,,29.8,18.1,23.5
bruce,node-temp,32.5,23.7,,31.4,74.8,8.8,26.3,,,30.3,31.5,30.1,7.2,52.2,31.4,39.0,,55.3,23.5,25.7
Stuk,jszip,30.2,26.0,,21.0,73.8,14.2,37.5,5.0,,69.9,78.6,84.1,67.1,49.6,45.4,68.2,,67.9,59.0,39.9
sinonjs,sinon,45.1,44.5,29.6,72.2,34.0,40.5,49.7,36.2,35.5,68.3,78.7,76.5,55.7,62.2,51.3,63.7,35.0,55.1,65.2,51.3
webpack-contrib,source-map-loader,42.7,43.5,18.2,47.0,62.2,27.5,34.5,24.0,24.0,45.9,28.1,37.3,79.9,38.1,46.7,64.9,24.8,50.5,31.0,40.7
arcanis,pnp-webpack-plugin,17.8,5.0,,18.1,48.0,8.3,24.9,,,29.4,23.5,14.7,76.8,2.4,30.7,80.3,,11.7,15.5,21.5
pngjs,pngjs,27.2,9.7,19.2,44.9,35.0,15.9,30.6,17.1,,38.6,37.5,39.5,62.6,14.9,40.3,70.2,13.2,37.6,31.0,30.5
jshttp,basic-auth,27.1,22.3,,28.9,57.4,8.3,24.8,,,46.2,38.5,37.0,72.4,36.7,26.9,47.5,,33.0,27.9,27.1
Raynos,global,30.2,3.3,,28.7,88.8,8.3,25.0,,,32.9,22.8,17.6,66.7,24.6,16.3,35.8,,13.2,16.2,21.9
JedWatson,react-select,47.9,44.9,18.5,66.0,62.1,38.0,52.9,28.4,32.7,71.2,94.2,95.3,52.1,43.1,52.4,60.5,23.7,72.9,75.8,52.4
FezVrasta,popper.js,45.0,43.8,24.4,58.8,53.3,45.6,55.1,43.8,38.0,73.5,94.9,86.6,71.9,40.6,53.4,75.1,40.5,44.6,75.7,54.4
styled-components,polished,46.6,45.1,26.4,86.6,28.2,13.9,26.9,12.5,2.2,53.5,75.5,55.9,49.7,32.8,46.8,69.2,16.9,54.3,48.4,40.2
pvorb,node-md5,34.5,20.3,,38.8,78.8,8.4,25.2,,,40.0,44.2,53.6,20.1,42.1,27.0,49.7,,31.4,35.4,27.5
senchalabs,connect,35.3,29.9,,51.7,59.5,9.2,27.7,,,71.8,79.1,82.0,77.8,48.2,20.4,46.0,,15.1,56.8,34.2
styled-components,styled-components,45.2,46.0,30.4,76.2,28.2,44.8,57.0,38.0,39.3,73.8,96.6,92.0,69.8,36.9,54.1,74.2,39.8,48.4,77.8,54.5
jfromaniello,url-join,37.9,24.0,18.8,35.1,73.7,26.3,32.5,25.4,21.1,37.5,27.5,23.6,64.0,34.8,35.2,44.3,19.5,42.0,25.8,34.2
apollographql,graphql-tag,35.6,13.4,23.0,67.4,38.6,27.5,38.0,21.6,22.9,46.9,59.3,52.7,60.9,14.8,42.9,61.8,24.4,42.5,46.5,38.2
brix,crypto-js,37.3,20.4,13.6,69.9,45.4,17.5,39.2,9.2,4.1,67.0,86.1,91.7,57.4,32.9,28.6,35.1,2.0,48.7,65.1,37.6
arcanis,ts-pnp,16.4,1.4,,16.4,47.8,8.1,24.4,,,25.7,13.4,11.3,76.0,2.1,16.4,43.5,,5.6,10.9,16.7
gregberge,svgr,45.4,33.6,19.3,71.9,56.7,36.9,51.4,25.9,33.3,64.3,79.8,68.0,80.7,28.6,52.0,69.4,28.8,57.8,61.6,49.6
kentcdodds,cross-env,39.8,28.9,,73.0,57.1,8.3,24.9,,,59.7,73.2,60.3,71.1,34.1,34.8,42.3,,62.0,47.3,35.6
postcss,postcss-safe-parser,25.0,22.0,7.5,19.2,51.1,17.3,28.9,10.6,12.5,29.6,16.2,12.3,75.1,14.8,23.9,50.4,10.9,10.5,15.3,24.0
octokit,rest.js,37.0,21.5,29.4,68.6,28.6,40.2,49.4,38.1,33.0,26.1,33.6,29.8,10.5,30.3,51.3,58.0,38.2,57.7,34.5,38.6
jergason,recursive-readdir,29.3,17.0,,26.1,74.1,8.4,25.3,,,47.2,27.3,38.6,82.0,41.0,36.9,65.5,,45.3,24.8,30.5
blakeembrey,change-case,44.3,49.4,23.2,36.9,67.8,35.4,48.8,28.6,28.7,50.8,58.4,38.4,53.8,52.6,42.4,54.0,26.0,47.0,44.1,43.2
webpack-contrib,webpack-bundle-analyzer,45.6,30.0,22.7,67.9,61.9,31.5,41.5,24.2,28.8,57.7,82.9,69.8,69.6,8.7,54.7,78.6,26.5,59.0,61.4,47.4
isaacs,node-touch,31.2,5.5,,32.2,86.9,8.2,24.5,,,37.3,16.4,13.5,77.0,42.5,24.8,69.0,,5.4,12.7,25.4
remy,nodemon,55.2,52.1,21.2,83.9,63.7,32.8,47.9,30.1,20.2,82.7,93.6,87.8,77.6,71.7,57.4,77.5,33.8,60.9,71.4,57.0
matthew-andrews,isomorphic-fetch,34.6,25.3,,38.4,74.8,9.3,27.9,,,59.0,74.3,61.5,71.5,28.8,24.7,45.3,,28.8,48.4,31.9
que-etc,resize-observer-polyfill,13.7,4.3,,31.5,19.0,8.2,24.5,,,46.9,55.0,47.4,63.2,21.8,29.1,73.9,,13.3,36.9,24.4
node-modules,detect-port,37.8,30.8,1.3,61.4,57.8,9.1,24.3,2.9,,32.1,28.2,18.5,57.2,24.5,31.2,39.6,11.1,43.0,18.6,27.6
babel,babylon,33.5,30.9,,60.3,43.0,8.6,25.7,,,39.6,54.9,59.8,10.6,33.1,39.0,62.3,,54.6,41.1,30.2
emotion-js,emotion,39.8,41.8,19.0,81.4,17.2,32.6,50.5,22.8,24.6,63.5,87.1,81.7,48.2,37.0,57.2,78.6,27.8,65.4,67.1,48.3
slevithan,xregexp,24.5,28.2,,43.4,26.6,12.0,32.9,3.0,,62.9,63.9,64.0,72.2,51.4,38.8,61.7,,54.6,46.6,34.5
auth0,jwt-decode,47.8,37.7,27.7,56.5,69.5,40.8,48.0,42.4,31.9,54.0,63.0,65.6,55.4,31.9,50.5,60.0,36.0,55.6,56.5,48.3
twbs,bootstrap,49.4,41.8,33.4,86.3,36.4,48.0,57.8,44.6,41.6,86.3,99.7,99.9,77.7,68.0,51.0,49.4,45.2,58.4,82.5,58.7
markdown-it,markdown-it,50.3,51.0,29.9,75.6,44.5,40.3,53.2,32.4,35.3,62.5,86.9,87.6,56.0,19.5,38.9,41.3,32.8,42.5,71.6,48.0
facebook,create-react-app,45.6,31.0,14.1,90.8,46.6,21.5,43.4,21.0,,79.4,99.2,99.2,85.6,33.6,59.8,89.1,12.6,77.8,73.3,51.6
d3,d3-shape,24.6,22.0,3.0,19.9,53.6,13.6,31.9,4.5,4.2,52.3,60.2,62.6,51.8,34.5,32.1,52.5,3.5,40.3,45.4,30.6
pinojs,pino,42.8,37.5,30.3,75.3,28.3,44.8,56.7,38.0,39.8,63.2,83.6,77.9,50.3,41.0,53.6,41.3,40.3,79.3,68.8,51.1
socketio,socket.io,41.7,43.7,30.1,61.7,31.1,37.6,53.0,28.1,31.8,85.9,98.1,97.6,76.6,71.3,50.7,79.2,31.8,41.0,77.8,54.0
gajus,eslint-plugin-flowtype,39.6,18.6,,80.7,59.0,8.7,26.0,,,54.2,47.4,49.6,82.3,37.7,45.7,56.3,,80.9,35.2,37.1
npm,read,39.8,6.8,26.2,64.9,61.3,29.5,34.4,31.7,22.4,37.2,20.1,22.8,59.5,46.2,35.5,37.3,31.4,37.7,24.1,35.5
webpack-contrib,raw-loader,34.2,24.7,,50.2,62.0,8.5,25.6,,,49.4,43.1,39.1,67.9,47.6,38.5,81.7,,33.9,30.2,32.7
npm,cli,50.1,33.1,31.1,75.6,60.7,48.3,57.8,45.1,42.0,55.6,76.4,93.1,19.1,33.7,52.1,58.9,44.9,52.4,72.6,51.5
d3,d3-scale,26.6,20.1,12.6,20.3,53.4,15.0,31.7,9.1,4.3,51.3,53.8,62.0,51.5,37.8,33.2,56.3,4.1,39.2,43.6,31.5
less,less.js,49.6,45.7,24.1,73.3,55.2,28.7,45.8,22.8,17.5,63.6,87.0,94.3,6.3,66.8,43.3,56.4,22.6,51.0,70.0,46.3
sindresorhus,multimatch,39.1,22.5,1.3,56.9,75.8,11.5,27.6,2.6,4.4,33.0,24.9,17.8,56.1,33.2,30.1,34.3,3.6,52.4,18.1,28.4
dankogai,js-base64,44.4,37.0,13.6,51.2,75.8,18.9,31.4,12.8,12.6,69.5,67.5,84.7,76.1,49.8,36.5,40.6,18.4,50.5,57.0,42.3
mikehall314,es6-promisify,19.9,31.2,,36.7,11.9,8.6,25.8,,,40.6,34.2,21.5,68.2,38.5,29.7,73.6,0.5,14.9,21.4,24.7
oliviertassinari,babel-plugin-transform-react-remove-prop-types,26.2,15.2,,51.4,38.0,8.5,25.5,,,46.8,44.4,29.5,81.0,32.1,42.6,84.1,,43.8,27.5,31.0
npm,osenv,27.8,4.4,,46.1,60.7,8.7,26.2,,,37.7,17.7,16.3,78.4,38.2,33.8,75.8,,25.5,14.2,27.0
bevacqua,hash-sum,28.1,0.1,,33.0,79.4,8.7,26.2,,,32.4,24.6,17.9,71.7,15.2,21.3,60.3,,3.6,17.1,22.6
mongodb,js-bson,32.6,,29.8,52.8,47.8,36.3,38.0,36.0,35.1,43.2,47.3,60.2,6.1,59.2,47.4,41.8,32.0,68.4,47.9,39.9
bjyoungblood,es6-error,25.7,10.1,,32.9,59.7,8.8,26.3,,,30.3,21.5,20.7,54.2,24.8,40.9,72.1,,50.5,17.0,26.4
jest-community,jest-watch-typeahead,22.0,9.1,34.4,25.8,18.7,25.6,29.2,34.8,12.7,35.9,29.6,14.6,80.5,19.0,44.7,62.3,24.1,47.5,23.3,32.0
babel,babel-eslint,36.2,31.2,,70.5,43.1,8.8,26.4,,,59.0,62.7,58.0,78.3,36.9,51.7,81.6,,73.5,43.2,38.9
niksy,throttle-debounce,32.9,25.9,,46.8,58.8,9.3,27.9,,,42.1,45.8,41.8,55.6,25.1,26.3,48.3,,30.5,32.3,27.6
gulpjs,vinyl,33.7,20.8,,57.7,56.2,8.8,26.4,,,50.2,50.2,41.3,64.7,44.5,35.3,41.2,1.9,63.0,33.4,32.0
webpack-contrib,webpack-hot-middleware,41.1,21.5,21.9,58.6,62.5,29.1,39.3,21.0,27.0,51.3,59.5,63.2,60.6,22.0,46.2,57.9,13.5,67.2,50.6,41.9
puppeteer,puppeteer,32.7,37.1,29.5,56.1,8.1,47.9,55.4,47.2,41.0,71.0,98.7,97.3,51.4,36.8,51.0,61.9,44.8,46.1,81.3,50.7
sockjs,sockjs-client,46.5,31.3,25.9,75.0,53.8,22.1,37.5,15.8,13.1,74.3,77.1,84.2,79.6,56.3,43.0,66.4,24.7,38.0,61.1,46.5
philbooth,bfj,29.3,,,74.3,43.1,7.6,22.7,,,32.0,18.9,9.6,80.4,19.0,21.3,52.4,,11.4,12.0,22.5
reduxjs,redux-thunk,35.1,39.0,14.2,65.1,22.2,31.1,41.3,24.4,27.7,67.5,88.2,81.4,71.4,29.1,53.2,65.6,26.1,67.8,66.9,46.7
mongodb,node-mongodb-native,41.8,,32.4,87.2,47.8,38.8,36.1,43.4,36.9,79.3,79.3,88.3,75.2,74.5,53.7,70.8,41.5,48.9,68.8,53.4
omnidan,node-emoji,48.0,36.7,24.0,71.1,60.4,33.1,39.3,34.8,25.2,52.6,50.3,58.9,64.3,37.0,54.2,71.6,34.9,56.1,47.4,47.0
expressjs,serve-favicon,34.4,34.9,,45.5,57.2,8.4,25.1,,,42.5,37.1,34.6,57.3,40.9,21.8,45.9,,19.6,26.7,26.8
request,request-promise-native,23.1,11.6,,30.1,50.5,8.0,23.9,,,41.9,47.8,34.3,75.7,9.8,19.6,48.6,,10.2,30.0,23.1
brianc,node-postgres,46.7,28.3,29.0,47.6,81.8,40.5,52.7,32.4,36.6,53.9,81.6,82.6,5.0,46.6,50.3,56.3,35.2,59.2,68.2,47.9
jasmine,jasmine,44.6,38.5,19.9,67.2,52.7,26.5,40.1,22.0,17.4,68.5,86.2,91.1,24.0,72.8,34.9,32.6,8.7,63.4,67.9,43.6
expressjs,multer,38.5,38.3,8.9,49.5,57.1,21.4,40.9,10.2,13.2,63.8,81.4,81.3,65.9,26.4,40.7,45.4,6.6,70.0,61.4,41.1
paulmillr,es6-shim,26.0,23.8,0.9,43.0,36.3,8.8,24.3,1.9,0.1,59.6,63.3,67.6,43.9,63.7,23.8,41.7,6.8,22.9,46.6,29.5
shellscape,webpack-manifest-plugin,34.6,28.3,,71.0,39.3,8.3,24.9,,,54.2,52.5,53.3,81.3,29.9,46.7,76.8,9.0,54.2,38.0,36.0
i18next,i18next,39.3,47.0,26.4,51.5,32.1,42.1,52.5,37.6,36.1,65.4,74.6,72.8,45.2,69.2,47.6,61.8,30.0,51.0,63.2,48.6
socketio,socket.io-client,33.7,49.3,11.5,42.7,31.1,21.3,40.1,14.0,9.9,79.5,80.1,93.6,73.3,71.0,52.1,76.2,19.2,61.0,65.0,46.7
stylelint,stylelint,41.1,39.9,27.6,78.3,18.6,46.9,54.4,45.9,40.5,66.7,80.6,80.5,56.9,48.8,50.8,56.4,43.5,52.6,69.3,51.4
stephenhandley,requireindex,19.8,14.7,,21.0,43.4,7.9,23.7,,,30.1,14.6,12.6,54.3,39.0,12.4,31.5,,5.6,11.7,17.6
eslint-community,eslint-plugin-promise,25.7,17.1,4.0,72.7,8.8,11.1,31.1,2.2,,40.6,44.1,39.0,64.2,15.0,47.1,58.9,6.5,75.8,31.4,31.1
expressjs,morgan,32.0,22.2,,48.6,57.2,10.2,28.4,2.2,,65.6,75.9,71.1,73.4,41.9,31.6,49.6,,45.2,52.4,34.8
googlechrome,workbox,35.5,43.6,10.8,55.8,31.6,18.8,38.4,17.9,,68.7,82.2,77.1,80.8,34.7,48.7,70.4,14.3,61.4,59.4,42.9
vuejs,core,40.3,28.6,35.0,50.6,47.0,49.3,56.5,47.5,43.8,57.6,96.9,96.9,4.9,31.8,51.1,40.3,46.1,66.9,81.0,49.6
npm,fstream,23.3,3.2,,28.8,61.1,7.8,23.4,,,41.0,20.7,27.0,74.5,42.0,41.9,71.9,,53.8,18.5,28.5
sindresorhus,debounce,54.9,63.3,27.1,52.8,76.2,21.1,32.0,11.8,19.5,41.2,38.6,34.7,59.6,31.7,32.7,37.5,11.7,48.8,31.5,37.4
luin,ioredis,47.2,33.9,17.4,83.5,53.9,18.5,39.3,15.9,0.2,64.5,84.0,82.2,46.9,45.0,46.8,63.8,9.2,67.3,61.6,44.2
ladjs,supertest,40.6,39.1,15.1,66.6,41.5,18.4,35.0,10.2,10.0,70.2,84.3,76.2,63.7,56.4,43.6,52.8,9.9,68.2,59.6,43.2
dominictarr,map-stream,28.0,3.5,,17.5,90.9,7.6,22.9,,,32.6,16.3,15.9,61.3,36.9,17.5,33.7,,18.8,13.3,21.4
cthackers,adm-zip,26.7,17.3,7.6,38.5,43.3,17.6,37.2,5.3,10.1,58.8,57.2,66.1,66.3,45.5,42.9,53.5,5.0,70.3,46.9,36.5
bgrins,TinyColor,38.6,35.7,1.9,59.9,56.9,10.4,28.6,2.8,,48.9,69.5,68.6,12.3,45.2,19.1,16.3,4.8,36.2,49.5,29.3
dominictarr,event-stream,41.6,19.2,,56.0,91.1,7.7,23.0,,,53.5,58.9,49.9,60.2,45.0,27.1,46.2,,35.2,38.8,32.5
adaltas,node-csv,40.6,39.7,20.1,65.0,37.4,30.7,43.8,25.1,23.1,52.6,66.8,60.5,36.2,47.0,34.0,35.7,24.1,42.1,52.7,39.5
airbnb,javascript,44.8,27.9,20.3,68.7,62.0,36.8,47.6,32.4,30.5,74.9,99.6,99.1,65.5,35.2,52.2,48.0,35.1,73.5,78.5,52.2
janl,mustache.js,39.0,25.7,,55.8,74.7,10.0,29.9,,,61.1,86.3,91.8,4.8,61.6,39.5,53.1,,65.5,62.7,37.4
log4js-node,log4js-node,31.2,36.3,17.6,45.5,25.4,23.2,39.8,19.7,10.2,50.6,72.0,76.6,4.7,49.1,42.9,44.0,22.0,62.7,57.3,37.0
beautifier,js-beautify,45.5,33.9,35.0,86.8,26.2,39.9,48.2,38.0,33.5,71.4,77.2,85.2,57.8,65.5,53.2,55.1,35.1,69.5,67.4,52.5
AvianFlu,ncp,24.7,2.6,,31.0,65.2,7.7,23.2,,,45.4,38.2,40.6,60.0,42.9,30.1,42.1,,48.2,28.8,27.0
sindresorhus,clipboardy,36.4,13.7,1.6,54.6,75.7,13.9,32.0,3.1,6.4,43.5,54.8,36.2,68.3,14.7,29.5,41.2,5.0,42.2,35.0,30.8
eligrey,FileSaver.js,32.2,27.3,,47.8,53.9,11.4,34.1,,,63.4,90.5,95.7,12.6,54.8,38.9,52.5,,64.2,65.9,36.5
mysticatea,eslint-plugin-node,30.1,17.5,3.5,50.1,49.1,9.6,25.7,3.1,,47.9,45.3,50.1,61.5,34.6,33.3,47.3,11.2,41.4,35.0,30.2
shama,gaze,36.1,7.5,,48.8,87.9,8.0,24.1,,,52.8,48.6,52.4,74.4,35.6,27.6,44.4,,38.5,36.3,31.1
csstools,postcss-normalize,32.0,12.1,0.7,66.2,49.1,12.5,26.3,4.6,6.5,40.7,42.2,23.1,80.1,17.4,22.4,56.1,3.2,7.7,25.9,26.9
helmetjs,helmet,41.9,45.9,17.8,60.7,43.2,29.5,42.7,26.2,19.4,60.3,79.4,66.3,54.9,40.5,38.1,54.5,22.8,37.0,58.4,42.4
jeremyfa,yaml.js,25.4,4.8,,45.0,51.9,8.1,24.2,,,45.6,43.9,48.4,43.6,46.5,19.6,29.5,,29.2,33.5,24.7
lovell,sharp,39.9,39.7,26.1,59.2,34.4,42.9,54.3,37.8,36.5,72.6,94.6,83.5,58.4,54.1,44.5,44.4,37.8,51.4,73.6,50.0
redis,node-redis,47.6,33.7,32.6,86.9,37.1,43.0,54.1,35.7,39.2,75.7,86.8,88.7,53.6,73.7,47.6,57.6,40.7,44.4,72.8,53.5
sindresorhus,pretty-ms,42.4,32.9,9.6,52.2,75.1,20.0,32.7,16.2,11.0,40.7,45.6,32.2,51.3,33.8,34.0,34.6,12.7,54.8,32.6,34.3
liady,webpack-node-externals,25.8,20.5,1.7,44.9,36.1,9.6,25.6,3.2,,39.4,50.8,32.4,57.6,16.8,30.1,64.3,,26.0,30.9,26.2
taylorhakes,promise-polyfill,35.6,29.5,8.4,47.4,57.0,18.8,29.4,15.9,11.1,56.6,58.6,64.1,60.3,43.5,44.2,65.6,11.6,55.2,47.2,38.8
angular,angular,57.9,40.5,35.4,90.9,64.7,48.2,53.8,46.6,44.1,80.8,99.0,99.0,73.8,51.6,59.4,80.5,47.4,50.4,82.1,61.6
steveukx,git-js,44.4,39.9,21.8,60.5,55.4,31.3,40.8,29.8,23.2,47.8,64.5,63.6,9.3,53.7,35.1,31.7,31.9,41.7,53.1,39.6
rollup,rollup-pluginutils,25.7,32.2,,33.7,36.8,6.8,20.4,,,26.9,12.1,14.2,68.1,13.3,44.1,75.0,,57.3,11.0,25.9
react-component,util,34.4,22.5,23.5,42.2,49.5,33.4,38.6,32.6,28.9,46.9,36.4,51.8,53.2,46.0,43.8,44.5,33.1,53.9,40.5,39.6
medikoo,cli-color,32.0,19.9,,42.5,65.5,7.1,21.2,,,41.0,37.9,23.9,51.9,50.4,23.7,38.3,2.2,30.7,23.0,25.9
d3,d3-selection,26.4,31.1,2.7,18.9,53.2,15.3,27.5,11.7,6.6,44.7,35.2,62.7,44.2,36.6,35.2,54.3,7.2,44.0,37.7,30.4
mysticatea,npm-run-all,25.9,5.8,,48.6,49.2,7.5,22.5,,,57.6,71.5,58.1,61.9,38.7,29.0,50.4,,36.5,45.7,30.0
kangax,html-minifier,38.4,28.2,,50.0,75.4,11.0,30.8,2.0,,71.7,69.1,71.8,75.9,70.0,45.0,67.2,10.8,57.1,50.6,41.5
istanbuljs,nyc,28.5,31.1,,58.2,24.6,14.1,34.0,8.2,,50.8,71.2,65.2,49.9,17.1,29.1,42.8,,44.5,50.2,30.6
alexgorbatchev,crc,34.7,24.9,,40.6,73.3,7.5,22.6,,,43.6,26.9,33.8,58.5,55.4,30.4,55.3,,36.1,22.7,29.1
segmentio,is-url,21.3,2.5,0.7,22.9,59.1,10.4,23.1,1.3,6.7,33.5,18.8,24.0,60.8,30.4,23.0,34.9,3.4,30.7,17.7,22.0
expressjs,cookie-parser,31.9,20.6,3.4,46.0,57.7,11.3,25.8,8.2,,54.9,56.7,57.0,67.7,38.2,30.0,45.5,3.9,40.8,41.7,32.0
kevva,decompress,31.8,20.1,,38.2,68.9,8.8,26.4,,,36.7,29.5,27.2,59.7,30.4,19.3,37.8,,20.0,21.8,24.1
nodemailer,nodemailer,42.7,49.4,24.4,56.6,40.4,35.8,47.5,28.4,31.5,71.7,86.5,84.9,61.0,54.3,47.9,62.0,34.8,46.8,69.1,49.5
stylus,stylus,35.3,39.1,21.4,60.9,20.1,31.0,40.3,29.4,23.4,72.6,81.2,82.3,69.9,56.9,42.5,37.6,25.6,64.3,64.8,45.4
codemirror,basic-setup,10.7,,,19.8,23.1,7.0,21.0,,,14.6,12.6,16.2,29.1,0.5,9.0,24.1,0.1,2.7,11.9,10.3
hapijs,hoek,39.4,32.1,24.8,43.3,57.5,20.8,27.5,15.6,19.3,49.2,33.1,52.0,71.8,39.9,40.3,43.6,15.9,61.3,35.3,37.4
gulpjs,fancy-log,38.7,32.1,9.9,56.2,56.4,11.4,23.4,4.1,6.8,30.4,16.1,15.5,67.5,22.5,28.5,47.5,5.4,32.5,14.3,27.2
vuejs,vue-loader,33.1,31.4,29.1,24.9,47.0,28.6,38.6,23.9,23.3,67.2,69.7,80.1,71.2,48.0,49.8,83.4,24.0,42.0,59.5,44.7
chartjs,Chart.js,32.8,42.6,27.2,33.0,28.3,41.6,51.3,36.4,37.2,78.8,98.3,97.9,60.4,58.8,55.3,67.3,38.5,60.1,79.3,52.1
react-dropzone,react-dropzone,32.6,32.2,9.2,73.1,15.9,14.0,31.7,10.2,,62.4,79.7,76.7,44.6,48.5,45.9,61.8,,75.8,56.8,38.7
Automattic,cli-table,30.4,16.4,,49.4,55.6,8.0,24.1,,,51.7,59.2,47.3,54.5,46.0,30.7,33.3,,58.9,38.2,30.2
dreamerslab,node.inflection,37.1,13.4,19.8,48.1,67.0,13.8,21.3,13.2,6.9,42.6,34.5,25.6,61.8,48.6,37.6,54.7,8.1,49.9,24.6,32.8
nock,nock,47.6,45.4,31.2,90.5,23.3,38.1,41.4,38.0,35.0,67.2,82.8,75.5,40.2,70.3,54.9,58.4,36.5,69.6,65.5,51.9
vuejs,vue,45.5,46.8,28.7,58.9,47.5,39.2,45.8,37.6,34.3,67.1,99.8,99.5,9.4,59.9,44.6,41.9,28.8,63.2,79.5,49.1
node-cache,node-cache,29.5,18.7,,49.3,49.9,11.0,27.4,5.5,,50.8,58.7,47.2,41.7,55.5,37.6,61.4,,51.5,39.0,32.2
NMFR,optimize-css-assets-webpack-plugin,17.5,13.7,,40.6,15.7,6.4,19.1,,,42.4,48.5,32.8,76.3,12.1,38.1,83.3,,30.9,29.2,26.1
jsdoc,jsdoc,46.6,35.4,31.3,69.2,50.7,31.8,39.8,35.6,19.9,67.8,85.7,85.8,41.3,58.5,36.1,48.8,31.3,28.1,67.8,45.6
standard,eslint-config-standard,39.6,45.7,28.4,50.4,33.8,35.1,36.6,42.3,26.3,53.1,60.6,72.0,62.9,16.9,48.4,57.9,33.0,54.4,55.9,44.0
geraintluff,tv4,28.8,4.0,,53.7,57.7,6.4,19.2,,,43.5,48.8,53.8,37.1,34.3,27.7,37.2,,45.8,36.3,26.6
inxilpro,node-app-root-path,29.3,12.5,,55.8,49.0,6.4,19.3,,,38.5,36.8,19.7,66.0,31.5,19.6,48.8,,9.9,21.0,23.5
localForage,localForage,34.8,34.4,1.5,69.7,33.5,13.7,30.7,10.3,,68.1,92.8,83.7,51.0,44.8,42.8,50.8,,77.5,63.4,39.8
indexzero,node-pkginfo,30.9,9.3,,36.6,77.8,6.4,19.3,,,22.4,18.5,17.7,9.5,44.0,11.0,20.0,,13.2,14.2,17.7
preactjs,preact,38.8,39.9,24.0,71.6,19.6,42.9,48.8,42.0,38.1,70.3,96.3,89.0,53.0,42.9,59.4,71.7,41.8,64.8,76.1,52.9
tdegrunt,jsonschema,37.2,15.2,8.9,56.3,68.2,15.7,30.5,10.3,6.2,50.2,55.5,59.7,47.8,37.9,36.8,43.0,3.1,64.2,43.6,35.0
vuejs,eslint-plugin-vue,38.9,37.0,30.2,41.4,46.9,42.8,49.7,39.2,39.6,61.1,68.0,73.2,66.8,36.5,51.1,44.0,39.1,70.1,61.3,48.5
vuejs,router,36.8,31.1,27.1,42.0,47.0,44.3,50.9,39.8,42.2,60.2,65.7,81.9,69.7,23.7,50.7,67.2,37.2,47.5,64.0,48.0
simov,slugify,33.5,31.7,10.4,37.1,55.0,11.2,27.1,6.6,,47.9,52.3,44.4,60.7,34.0,33.9,40.1,2.5,59.0,36.0,31.6
karma-runner,karma,49.3,28.4,23.4,81.1,64.2,20.4,32.3,17.6,11.3,78.7,81.9,87.9,74.7,70.3,54.7,66.3,19.2,78.7,63.4,50.8
Unitech,pm2,56.1,40.4,22.1,82.5,79.5,35.9,46.9,30.7,30.0,71.3,96.7,92.2,38.1,58.2,40.3,47.2,24.1,49.6,74.9,50.9
gulpjs,liftoff,31.5,16.3,,53.3,56.3,6.5,19.6,,,46.0,42.8,29.0,63.5,48.5,32.1,46.9,8.8,40.6,26.1,29.0
krisk,Fuse,44.3,54.9,30.3,60.6,31.2,23.6,37.2,22.3,11.4,62.2,87.5,77.5,28.7,55.1,36.2,34.2,24.2,50.1,62.9,41.6
