owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
then,promise,14.3,13.4,42.3,51.3,30.0,3.4,0.0,65.3,60.7,63.7,87.0,49.9,36.7,0.0,50.0,24.675,33.9,30.325,34.15,29.71666666666667,524.0,573.5,C,C
sindresorhus,del,22.9,9.6,51.7,77.0,35.2,7.3,10.4,50.5,51.1,33.6,83.6,33.7,40.3,9.9,54.8,25.85,35.9,40.3,34.675,33.608333333333334,619.0,611.5,B,B
sindresorhus,boxen,28.1,5.5,45.8,76.5,38.1,7.5,18.9,47.2,53.0,32.0,77.5,26.5,40.7,17.7,61.2,27.925000000000004,36.9,38.975,36.525000000000006,34.475,643.0,632.5,B,B
maxogden,extract-zip,5.4,0.0,32.0,0.0,28.2,0.0,0.0,41.6,28.9,45.9,66.5,25.1,44.2,0.0,41.3,17.45,22.2,9.35,27.65,18.15,129.0,195.5,F,F
dominictarr,rc,8.3,0.0,34.1,90.9,28.0,0.0,0.0,51.4,45.9,42.3,80.3,37.3,36.9,0.0,48.2,19.85,30.6,33.325,30.599999999999998,27.925,451.0,469.5,C,C
protobufjs,protobuf.js,30.2,22.4,33.4,49.0,51.4,24.9,23.6,57.6,78.8,85.4,13.2,52.9,47.5,26.5,51.5,39.375,41.6,33.75,44.6,39.24166666666667,756.0,744.5,B,B
kriskowal,q,18.0,9.3,54.5,80.5,32.8,11.7,0.0,76.1,86.0,83.1,88.2,47.2,43.9,0.0,65.9,30.15,42.0,40.575,39.25,36.65833333333333,689.0,750.0,B,B
chimurai,http-proxy-middleware,30.6,26.1,82.7,10.0,44.5,25.5,10.5,71.7,79.9,77.6,89.1,40.2,74.7,20.9,32.7,38.05,44.7,37.35,42.125,39.175000000000004,755.0,809.5,B,A
jantimon,html-webpack-plugin,54.2,27.5,44.4,47.5,50.8,18.6,28.0,69.3,80.3,84.4,86.3,26.3,61.7,26.3,67.5,41.675,49.3,43.4,45.45,43.508333333333326,842.5,877.5,A,A
reactjs,react-transition-group,21.9,0.0,28.9,33.1,40.8,0.0,0.0,62.8,79.5,73.7,73.9,24.2,89.2,1.4,73.3,25.9,38.0,20.975,47.025,31.3,568.0,657.0,C,B
