owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
ashtuchkin,iconv-lite,17.1,0.7,28.9,49.5,31.3,7.3,0.0,66.2,62.8,61.4,98.6,41.9,49.0,0.0,45.2,26.2,33.6,24.05,34.025,28.09166666666667,463.0,569.0,C,C
micromatch,micromatch,15.5,4.7,62.9,37.8,30.5,6.6,2.8,59.1,60.9,50.0,96.9,28.8,36.7,2.5,32.9,24.75,31.7,30.225,25.224999999999998,26.733333333333334,404.0,505.5,C,C
sindresorhus,make-dir,20.3,11.3,49.1,75.9,32.4,10.7,17.9,40.8,32.7,22.7,94.2,13.6,43.2,15.4,43.5,25.450000000000003,33.6,39.150000000000006,28.925,31.175,565.0,569.0,C,C
sindresorhus,globby,36.6,17.2,60.2,76.1,37.0,11.2,18.0,60.8,60.0,49.3,93.2,40.5,36.3,17.9,66.8,31.75,42.7,47.525000000000006,40.375,39.88333333333333,767.0,763.5,B,B
broofa,mime,40.7,29.0,49.2,33.1,35.5,29.2,8.7,67.8,58.0,66.2,98.2,48.8,53.3,14.9,38.8,35.3,41.5,38.0,38.95,37.416666666666664,710.0,742.5,B,B
minimistjs,minimist,21.3,9.6,42.5,2.7,37.3,18.2,14.7,37.4,31.2,19.4,98.7,0.2,40.3,25.4,51.5,26.9,29.7,19.025,29.349999999999998,25.091666666666665,335.0,437.0,D,C
feross,buffer,28.8,21.0,43.5,66.2,39.4,23.6,32.0,57.8,54.7,58.5,89.4,28.4,36.9,25.4,53.8,38.2,42.0,39.875,36.125,38.06666666666667,725.0,750.0,B,B
jprichardson,node-jsonfile,26.3,0.0,17.3,83.2,20.2,0.0,0.0,38.3,49.2,61.7,5.9,36.4,8.0,0.0,54.6,14.625,24.4,31.700000000000003,24.75,23.691666666666666,278.0,255.5,D,D
visionmedia,bytes.js,17.6,0.0,15.4,60.0,21.4,0.0,0.0,26.1,31.7,28.4,6.0,38.3,11.0,0.7,57.5,11.875,19.9,23.25,26.875,20.666666666666668,172.0,150.5,F,F
jshttp,http-errors,16.7,0.0,25.8,57.4,24.8,4.1,0.0,53.9,52.9,43.0,98.0,21.6,42.5,5.8,44.6,20.7,29.9,24.975,28.625,24.766666666666666,318.5,442.5,D,C
isaacs,node-graceful-fs,21.9,0.0,56.6,86.6,26.7,4.2,0.0,38.3,50.0,48.5,11.3,43.4,48.2,3.2,49.2,17.3,30.9,41.275,36.0,31.525000000000002,575.0,478.0,C,C
webpack,loader-utils,52.4,17.1,29.7,58.6,33.0,14.1,14.8,58.1,40.4,49.8,90.9,51.4,76.1,11.6,67.5,30.0,42.5,39.449999999999996,51.65,40.36666666666667,781.0,758.5,B,B
caolan,async,45.1,32.8,8.5,80.4,29.3,32.7,30.7,83.9,94.7,91.9,93.3,55.6,83.9,29.9,70.6,44.15,54.5,41.7,60.0,48.61666666666667,932.0,962.0,A,A
thlorenz,convert-source-map,22.1,10.6,62.3,77.6,13.9,4.4,8.8,44.3,19.1,30.2,94.4,33.4,39.8,5.4,51.1,17.849999999999998,32.1,43.15,32.425000000000004,31.14166666666667,564.0,523.0,C,C
cosmiconfig,cosmiconfig,39.8,24.1,79.5,32.4,39.5,31.1,24.7,56.5,66.6,46.2,92.0,21.4,61.3,26.5,69.0,37.949999999999996,46.1,43.95,44.550000000000004,42.150000000000006,818.0,829.5,A,A
dougwilson,nodejs-depd,16.3,0.0,36.3,63.1,18.3,0.0,0.0,49.4,26.1,37.8,98.1,35.8,46.6,0.0,1.5,16.925,25.1,28.924999999999997,20.975,22.274999999999995,222.0,274.0,D,D
facebook,regenerator,27.9,33.8,57.1,46.7,33.5,34.5,28.1,57.6,66.9,82.9,33.3,47.4,35.4,28.7,63.0,38.425,43.4,41.375,43.625,41.141666666666666,800.0,784.0,A,B
sindresorhus,strip-json-comments,28.7,4.8,56.4,74.2,16.1,4.3,14.9,48.7,36.3,27.9,93.8,36.8,37.5,10.2,49.0,21.0,33.4,41.025,33.375,31.8,580.0,563.0,C,C
jonschlinkert,isobject,10.3,0.0,37.1,81.3,10.8,0.0,0.0,36.1,15.3,14.4,90.1,24.5,44.9,0.0,41.5,11.725000000000001,25.2,32.175,27.725,23.875,281.0,277.0,D,D
jshttp,mime-types,30.7,3.7,39.4,56.9,17.4,9.7,0.0,59.6,50.1,43.6,99.2,45.4,39.5,8.8,45.1,21.674999999999997,33.1,32.675,34.699999999999996,29.683333333333326,520.0,554.5,C,C
node-fetch,node-fetch,26.6,17.2,92.7,9.6,24.8,17.3,1.7,70.9,77.6,81.6,82.1,42.2,38.5,9.3,77.6,28.675,41.0,36.525,41.9,35.699999999999996,667.0,732.5,B,B
pillarjs,path-to-regexp,31.4,2.9,40.0,52.5,11.9,5.8,1.8,71.7,76.3,66.5,95.5,48.5,73.2,4.7,60.4,22.8,39.0,31.700000000000003,46.699999999999996,33.73333333333333,624.0,677.5,B,B
jshttp,cookie,43.7,24.2,42.7,57.0,16.3,17.9,15.0,61.3,49.9,49.0,96.0,50.5,38.9,17.4,55.6,27.624999999999996,39.2,41.900000000000006,40.6,36.708333333333336,690.5,681.5,B,B
evanw,node-source-map-support,4.0,0.0,21.3,63.8,11.4,3.7,0.0,40.6,58.5,59.6,6.2,38.0,47.9,0.0,63.5,13.925,26.3,22.275,37.35,24.51666666666667,303.0,312.5,D,D
paulmillr,chokidar,31.7,8.7,40.7,36.2,28.9,11.2,15.6,75.0,80.0,71.7,97.8,50.3,54.2,18.1,71.3,32.675,42.7,29.325000000000003,48.474999999999994,36.824999999999996,698.0,763.5,B,B
tooTallNate,proxy-agents,37.7,18.5,2.7,78.5,48.6,31.7,35.6,38.5,41.2,56.2,3.2,53.6,26.4,35.2,45.6,38.6,36.8,34.35,40.2,37.71666666666667,717.0,629.5,B,B
isaacs,once,7.7,1.1,14.6,87.0,25.7,2.3,9.8,44.3,21.7,19.1,99.3,37.0,80.2,6.6,20.7,20.525,30.1,27.6,36.125,28.083333333333332,461.0,448.0,C,C
browserslist,browserslist,28.8,19.4,38.9,15.0,47.5,27.8,33.9,67.9,83.0,74.2,94.7,19.8,49.7,28.9,70.0,44.275,44.8,25.525,42.1,37.300000000000004,706.5,812.5,B,A
mrmlnc,fast-glob,47.2,19.1,82.4,43.5,41.0,34.4,21.0,54.7,59.4,40.9,91.9,26.5,40.1,29.9,20.9,37.775,41.3,48.050000000000004,29.35,38.39166666666667,735.0,739.0,B,B
sindresorhus,path-is-absolute,29.4,0.0,67.5,73.7,22.1,0.0,0.0,35.3,11.9,12.0,99.0,18.4,43.8,0.0,5.1,14.35,25.4,42.650000000000006,16.825,24.608333333333334,307.0,283.5,D,D
sindresorhus,ansi-escapes,6.3,1.4,84.2,73.8,21.7,4.0,0.6,44.2,32.2,27.6,91.6,25.4,41.4,7.0,41.0,17.625,31.0,41.425,28.700000000000003,29.25,508.0,482.0,C,C
jquery,esprima,13.6,0.0,42.3,61.3,21.5,0.0,0.0,71.7,74.2,77.4,93.6,41.6,81.6,18.2,51.6,23.3,39.7,29.299999999999997,48.24999999999999,33.61666666666667,620.5,699.0,B,B
npm,ini,15.7,25.1,67.8,61.4,29.1,30.4,25.1,59.9,39.7,57.8,92.8,49.4,38.7,32.2,55.3,36.125,43.2,42.5,43.9,40.84166666666667,792.0,777.0,B,B
salesforce,tough-cookie,31.6,30.3,76.0,45.4,39.2,38.0,26.7,58.4,43.8,50.7,91.5,47.6,51.7,29.8,75.8,40.575,47.8,45.825,51.225,45.875,882.0,850.5,A,A
jonschlinkert,is-plain-object,12.1,0.0,47.2,81.2,20.8,0.0,0.0,38.2,18.2,18.6,89.2,26.9,45.4,0.0,33.1,14.75,26.6,35.125,26.35,25.40833333333333,353.5,324.5,D,D
alexei,sprintf.js,7.1,6.7,59.2,34.9,26.2,17.1,16.0,39.2,58.1,62.4,3.3,33.0,46.6,8.0,53.9,24.625,30.5,26.975,35.375,28.991666666666664,497.0,465.5,C,C
mafintosh,pump,8.8,0.0,19.7,69.8,17.8,0.0,0.0,48.5,44.6,30.8,88.7,30.0,33.7,0.0,26.0,16.575,24.7,24.575,22.425,21.191666666666666,185.0,262.0,F,D
stream-utils,raw-body,26.2,10.4,44.1,54.4,17.9,3.8,0.0,46.4,28.4,32.1,95.9,29.2,41.0,10.5,40.0,17.025,29.5,33.775,30.175,26.991666666666664,409.0,427.0,C,C
sindresorhus,is-wsl,34.0,6.8,7.1,74.8,26.4,9.8,16.1,34.1,19.8,11.0,92.6,13.1,38.7,12.5,37.7,21.6,28.0,30.674999999999997,25.5,25.925,370.0,372.5,D,D
yahoo,serialize-javascript,5.7,29.0,35.3,54.0,23.1,20.4,26.1,61.8,61.7,58.4,90.7,36.3,69.2,20.1,58.0,32.849999999999994,41.3,31.0,45.900000000000006,36.583333333333336,687.0,739.0,B,B
sindresorhus,read-pkg,30.7,3.0,19.1,76.2,14.8,6.1,1.1,36.3,19.0,16.5,85.5,24.3,35.9,8.5,43.9,14.575000000000001,26.3,32.25,28.15,24.991666666666664,332.5,312.5,D,D
indutny,bn.js,12.0,10.3,37.7,73.4,18.6,0.8,1.2,54.5,48.7,55.3,82.8,31.1,32.9,2.1,62.3,18.775000000000002,31.8,33.35,32.099999999999994,28.075,458.5,509.5,C,C
inikulin,parse5,43.7,31.9,23.6,42.9,26.8,41.5,22.0,66.5,65.6,57.3,89.3,53.7,70.5,32.8,50.0,39.2,45.8,35.525000000000006,51.75,42.15833333333334,819.0,824.5,A,A
zloirock,core-js,34.9,29.6,78.4,22.4,35.4,38.9,31.0,82.7,92.4,87.2,91.3,60.0,79.0,38.1,43.2,47.0,53.1,41.325,55.075,47.800000000000004,917.0,939.0,A,A
follow-redirects,follow-redirects,33.7,14.5,39.9,48.2,26.9,20.8,16.2,57.0,34.0,47.8,92.5,53.9,74.8,17.2,40.7,30.224999999999998,39.2,34.075,46.65,36.98333333333333,700.0,681.5,B,B
sindresorhus,object-assign,0.0,0.1,44.8,76.4,11.1,0.3,1.3,52.3,44.9,36.4,98.8,29.1,46.2,2.2,28.9,16.25,28.2,30.325000000000003,26.6,24.39166666666667,299.0,381.0,D,D
eemeli,yaml,34.5,23.7,46.0,37.2,31.5,21.6,21.7,50.8,47.6,40.1,88.1,27.5,55.2,28.1,36.4,31.400000000000002,37.8,35.35,36.8,34.516666666666666,644.0,653.5,B,B
kpdecker,jsdiff,41.8,27.2,65.9,74.5,20.6,37.0,34.1,48.4,75.0,70.0,3.4,45.1,57.5,19.2,65.2,35.025,44.7,52.35,46.75,44.708333333333336,856.0,809.5,A,A
beatgammit,base64-js,11.4,0.0,13.9,74.3,1.2,0.0,0.0,60.7,42.9,67.7,90.8,41.5,35.5,0.0,50.4,15.475000000000001,28.7,24.9,31.85,24.075,287.0,402.5,D,C
expressjs,body-parser,26.0,2.7,53.0,57.9,4.5,0.5,0.0,73.2,70.8,75.3,95.8,50.8,38.8,10.1,51.2,19.55,35.8,34.9,37.724999999999994,30.724999999999998,554.0,608.5,C,B
raszi,node-tmp,26.7,7.5,40.5,57.4,1.8,10.3,1.4,31.3,39.5,39.3,3.5,42.8,40.4,9.2,59.5,11.2,26.3,33.025,37.975,27.399999999999995,429.0,312.5,C,D
motdotla,dotenv,51.9,31.6,78.7,74.7,25.9,32.0,34.2,71.9,88.4,77.8,90.4,31.1,79.0,32.5,69.7,41.0,55.6,59.224999999999994,53.074999999999996,51.099999999999994,971.0,976.0,A,A
sindresorhus,open,22.8,12.5,45.0,76.5,19.4,17.7,21.8,62.6,63.1,55.0,88.0,44.4,34.2,21.1,59.6,30.374999999999996,39.9,39.2,39.825,36.46666666666667,684.0,707.5,B,B
sindresorhus,read-pkg-up,35.6,3.9,45.1,76.7,2.0,7.7,1.5,22.9,23.2,16.6,28.3,23.6,16.8,5.8,38.2,8.524999999999999,21.8,40.325,21.1,23.316666666666666,264.0,186.0,D,F
ljharb,object.assign,34.2,3.8,34.2,48.2,4.3,7.7,8.4,37.4,15.5,15.7,92.7,25.8,41.9,13.1,9.8,14.45,24.0,30.1,22.65,22.399999999999995,226.0,244.5,D,D
browserify,node-util,9.8,0.0,34.3,64.2,4.7,0.0,0.0,24.3,22.5,36.8,2.5,35.5,13.9,0.0,34.2,7.25,17.2,27.075,20.9,18.408333333333335,134.0,122.0,F,F
pillarjs,finalhandler,13.9,5.6,39.5,52.9,0.4,7.0,0.0,46.0,21.1,26.7,96.5,39.9,46.3,0.7,10.8,13.35,23.9,27.975,24.424999999999997,21.916666666666668,215.0,241.5,D,D
Gozala,events,16.6,0.0,29.9,76.5,0.4,0.1,0.0,61.7,51.5,52.1,92.1,51.0,38.4,0.0,56.7,15.55,31.1,30.75,36.525,27.60833333333333,438.0,488.0,C,C
sindresorhus,figures,32.0,9.0,51.3,76.2,5.5,16.3,15.1,41.7,36.1,16.1,82.9,31.7,35.7,17.4,51.4,19.65,32.7,42.125,34.05,31.941666666666663,585.0,542.5,C,C
sindresorhus,decamelize,19.7,0.0,41.0,76.2,0.5,0.0,0.0,39.0,22.2,18.1,88.8,27.1,39.0,0.0,50.1,9.875,25.8,34.225,29.049999999999997,24.383333333333336,298.0,291.5,D,D
TehShrike,deepmerge,10.7,0.0,35.4,58.2,7.5,0.0,0.0,61.2,61.3,56.1,86.7,40.7,67.3,0.0,50.7,17.175,32.3,26.075,39.675,27.641666666666666,442.0,530.0,C,C
ai,nanoid,32.7,18.4,38.5,48.9,24.2,29.7,32.1,66.6,92.0,75.9,90.5,7.8,54.3,28.6,67.8,38.15,45.0,34.625,39.625,37.46666666666667,712.0,815.0,B,A
isaacs,sax-js,5.7,18.8,63.1,86.2,13.4,21.4,21.5,43.6,47.1,64.5,13.8,48.9,50.1,14.9,48.1,24.975,35.9,43.45,40.5,36.30833333333334,680.0,611.5,B,B
doowb,ansi-colors,8.8,0.0,44.0,81.4,0.6,0.0,0.0,36.9,29.8,20.2,85.1,12.6,40.4,0.0,44.9,9.375,24.8,33.55,24.474999999999998,22.466666666666665,228.0,266.5,D,D
prettier,prettier,31.7,31.3,67.5,22.5,35.3,47.7,43.1,76.4,97.3,95.2,79.4,33.8,80.1,46.2,69.7,50.625,55.5,38.25,57.45,48.775,934.0,973.5,A,A
grncdr,merge-stream,31.9,0.0,26.3,77.4,2.8,0.0,0.0,39.6,21.2,13.9,91.7,31.8,35.3,0.0,45.8,10.6,25.4,33.900000000000006,28.224999999999998,24.24166666666667,295.0,283.5,D,D
estools,escodegen,20.3,0.0,12.8,53.9,9.1,0.0,0.0,62.9,61.0,64.3,86.5,39.8,38.7,0.0,44.8,18.0,28.9,21.75,30.825,23.525000000000002,269.0,406.0,D,C
webpack,webpack-sources,31.9,7.2,31.1,58.5,7.9,5.0,15.2,44.6,23.3,33.0,91.0,31.0,75.3,11.3,37.2,18.175,31.8,32.175,38.7,29.683333333333334,521.0,509.5,C,C
pillarjs,send,19.5,0.0,44.0,52.5,2.9,0.2,0.0,57.7,40.9,55.2,96.8,38.0,45.8,1.2,45.3,15.200000000000001,29.6,29.0,32.575,25.59166666666667,361.0,432.0,D,C
webpack-contrib,terser-webpack-plugin,48.9,24.5,51.2,62.5,18.4,25.1,21.9,55.8,57.0,50.5,89.0,26.8,61.9,25.8,61.9,30.300000000000004,43.6,46.775,44.1,40.39166666666667,782.0,789.0,B,B
rvagg,through2,24.6,0.0,26.8,56.2,3.0,0.0,0.0,54.1,56.4,44.9,84.5,30.6,40.6,0.0,37.2,14.275,27.0,26.900000000000002,27.1,22.758333333333336,238.5,341.5,D,D
jshttp,accepts,9.8,0.0,19.6,57.5,4.5,0.0,0.0,47.3,23.1,25.2,97.3,43.8,44.7,0.0,32.6,12.95,24.1,21.725,30.275000000000002,21.650000000000002,209.5,248.0,D,D
sindresorhus,log-symbols,31.8,4.4,42.9,75.5,9.5,5.1,15.3,42.3,39.3,21.1,80.0,29.0,34.3,10.4,30.2,18.05,29.0,38.650000000000006,25.975,27.558333333333337,434.0,410.0,C,C
rvagg,bl,13.0,23.8,42.4,56.2,11.6,26.0,21.6,47.8,30.2,34.2,78.9,47.9,33.6,20.8,61.7,26.75,35.0,33.85,41.0,33.86666666666667,630.0,590.5,B,C
expressjs,serve-static,17.3,0.0,36.7,57.3,10.5,1.4,0.0,63.2,51.8,56.8,96.7,47.6,44.8,0.0,18.1,18.775000000000002,29.0,27.825,27.625,24.741666666666664,316.5,410.0,D,C
component,escape-html,31.8,0.0,20.7,88.6,4.5,0.0,0.0,51.5,31.3,40.2,97.7,37.0,48.4,0.0,28.0,14.0,28.5,35.275,28.35,25.875,369.0,395.5,D,D
indutny,node-ip,10.6,0.0,17.2,73.3,10.6,6.0,0.0,37.0,52.6,54.5,3.8,37.0,34.1,3.1,49.6,13.4,24.2,25.275,30.95,23.208333333333332,257.5,251.0,D,D
jshttp,content-type,31.8,0.0,21.6,57.3,4.5,0.0,0.0,38.6,16.9,17.5,95.1,25.1,41.0,0.0,11.9,10.775,21.4,27.675,19.5,19.316666666666666,151.0,177.0,F,F
npm,nopt,11.1,24.3,82.7,61.5,9.7,28.1,15.4,49.2,34.4,26.0,85.9,50.3,36.8,26.6,46.0,25.600000000000005,37.1,44.9,39.925,36.80833333333333,696.0,638.5,B,B
expressjs,express,40.8,29.8,55.4,57.0,28.4,26.4,24.3,92.7,98.4,98.2,97.2,77.0,46.9,28.8,73.2,42.95,53.6,45.75,56.475,48.39166666666667,927.0,951.5,A,A
jshttp,methods,19.5,0.0,14.6,57.1,4.1,0.0,0.0,42.3,19.6,21.0,94.8,33.9,47.3,0.0,31.1,11.6,23.2,22.8,28.075000000000003,20.825,175.5,222.0,F,D
jaredhanson,utils-merge,3.5,0.0,50.2,84.4,4.1,0.0,0.0,39.1,13.7,15.3,96.6,30.9,45.2,0.0,5.5,10.8,23.0,34.525000000000006,20.4,21.90833333333333,214.0,215.5,D,D
sindresorhus,normalize-url,34.1,4.1,42.5,75.5,14.6,9.8,12.9,52.9,42.3,44.6,90.6,34.0,39.5,11.1,58.1,22.55,35.1,39.05,35.675,32.425,597.0,593.5,C,C
jshttp,fresh,18.1,0.0,24.2,57.0,4.2,0.0,0.0,43.4,18.4,20.0,97.0,38.4,43.5,10.7,40.0,11.9,25.3,24.825,33.15,23.291666666666668,263.0,280.5,D,D
pvorb,node-clone,7.4,0.0,51.4,78.8,5.8,0.0,0.0,53.2,40.7,46.7,82.5,42.8,33.3,0.0,55.6,14.75,29.8,34.4,32.925,27.35833333333333,426.0,440.5,C,C
SBoudrias,Inquirer.js,23.0,28.2,82.1,52.2,39.0,39.2,37.3,78.2,89.0,83.4,81.1,59.2,51.1,39.7,46.9,48.425,52.2,46.375,49.224999999999994,48.008333333333326,920.0,923.5,A,A
jshttp,etag,31.7,0.0,18.8,56.7,11.2,0.0,0.0,43.9,22.7,21.9,97.4,33.5,49.6,0.0,8.5,13.774999999999999,23.4,26.8,22.9,21.158333333333335,182.0,229.5,F,D
dominictarr,through,6.4,0.0,21.2,91.2,11.2,0.0,0.0,48.2,38.0,31.0,85.7,38.0,32.9,0.0,31.9,14.850000000000001,25.8,29.700000000000003,25.7,23.416666666666668,266.0,291.5,D,D
pillarjs,parseurl,31.7,0.0,18.4,52.6,18.0,0.0,0.0,40.0,19.9,18.0,97.1,25.1,42.8,8.4,17.2,14.5,23.6,25.674999999999997,23.375,21.183333333333334,184.0,236.5,F,D
Raynos,xtend,31.7,0.0,25.3,88.8,11.0,0.0,0.0,44.9,25.3,23.4,92.4,38.6,35.7,0.0,45.8,13.975,28.1,36.45,30.025,26.816666666666666,405.0,376.5,C,D
petkaantonov,bluebird,41.2,0.0,52.4,61.6,15.5,0.0,0.0,82.1,90.0,91.6,91.1,55.7,86.3,0.0,56.2,24.4,43.4,38.8,49.55,37.583333333333336,714.0,784.0,B,B
jshttp,type-is,16.0,0.0,26.6,56.7,12.7,1.4,0.0,45.3,21.9,20.9,95.0,43.5,45.5,0.0,40.2,14.849999999999998,25.9,24.825000000000003,32.3,23.991666666666664,285.0,297.0,D,D
jestjs,jest,48.4,27.0,92.5,9.3,58.0,45.4,43.5,84.0,96.8,96.6,85.8,56.7,42.5,46.1,87.7,57.725,59.0,44.300000000000004,58.25,53.425000000000004,988.0,996.0,A,A
webpack,webpack,56.7,32.2,79.5,58.5,56.9,44.5,40.7,89.4,98.5,97.2,91.8,70.0,76.9,42.5,67.1,57.875,63.9,56.724999999999994,64.125,59.574999999999996,999.0,999.0,A,A
sindresorhus,arrify,15.0,0.0,34.4,75.5,25.3,0.0,0.0,34.6,17.2,18.2,80.9,21.9,39.8,0.0,36.0,14.975000000000001,24.9,31.225,24.424999999999997,23.541666666666668,270.0,271.0,D,D
fb55,htmlparser2,51.6,29.8,42.6,55.6,42.2,43.5,24.4,70.0,67.7,68.2,88.4,55.9,55.1,34.5,44.6,45.025,49.1,44.9,47.525,45.81666666666666,880.0,873.5,A,A
justmoon,node-extend,31.0,0.5,32.7,79.3,28.7,0.9,3.7,30.5,27.4,33.5,21.8,39.3,18.6,6.9,33.0,15.95,24.2,35.875,24.45,25.425,355.0,251.0,D,D
typescript-eslint,typescript-eslint,37.5,29.4,64.5,4.5,65.3,47.8,43.9,73.8,85.3,92.3,86.1,31.4,82.0,47.2,67.2,57.699999999999996,56.4,33.975,56.949999999999996,49.541666666666664,947.0,981.5,A,A
jonschlinkert,word-wrap,18.2,17.2,41.6,81.1,43.2,21.1,13.0,40.1,19.7,25.7,86.9,28.1,40.9,8.3,35.9,29.35,33.4,39.525,28.299999999999997,32.391666666666666,596.0,563.0,C,C
primus,eventemitter3,40.1,7.3,19.2,53.3,41.3,10.8,3.8,64.1,63.8,56.6,91.4,44.6,41.3,6.2,58.4,29.999999999999996,37.0,29.974999999999998,37.625,32.53333333333333,599.0,635.5,C,B
isaacs,node-tar,31.1,4.6,52.0,86.7,42.9,7.2,3.9,38.0,41.3,51.3,11.0,48.4,17.4,18.2,36.5,23.0,30.9,43.599999999999994,30.125,32.24166666666667,592.0,478.0,C,C
oozcitak,xmlbuilder-js,27.4,0.0,27.3,31.4,32.1,0.0,0.0,54.7,44.7,42.0,75.5,56.6,69.2,0.0,33.2,21.700000000000003,30.3,21.525,39.75,27.65833333333333,443.0,459.0,C,C
nodeca,pako,30.6,0.0,19.3,57.1,40.0,0.0,0.0,64.7,70.5,76.8,84.9,26.6,46.7,11.2,28.4,26.175,33.4,26.75,28.225,27.05,411.5,563.0,C,C
npm,npmlog,27.7,24.3,92.3,61.1,36.2,28.1,12.2,46.5,30.8,30.7,81.4,42.9,36.7,24.1,56.2,30.75,40.6,51.35,39.975,40.69166666666666,788.0,725.0,B,B
zertosh,loose-envify,7.8,0.0,22.7,45.5,32.7,0.0,0.0,37.4,24.1,18.3,92.9,14.2,40.9,0.0,6.9,17.525,20.8,19.0,15.5,17.341666666666665,118.0,163.5,F,F
isaacs,json-stringify-safe,16.7,0.0,21.3,86.6,32.3,0.0,0.0,45.2,34.7,27.5,84.7,33.8,41.5,0.0,16.9,19.375,26.6,31.15,23.049999999999997,24.524999999999995,304.0,324.5,D,D
facebook,prop-types,24.3,3.7,77.5,46.3,41.0,8.5,4.5,57.7,68.1,65.9,89.9,6.9,81.2,8.5,64.9,27.925,41.3,37.95,40.37500000000001,35.416666666666664,660.0,739.0,B,B
crypto-browserify,randombytes,13.5,0.5,19.1,0.0,35.3,0.9,4.6,38.1,14.8,26.2,92.3,18.9,38.1,2.3,36.9,19.724999999999998,21.4,8.275,24.049999999999997,17.349999999999998,119.0,177.0,F,F
maxogden,concat-stream,8.7,0.0,32.3,0.0,31.6,0.0,0.0,48.2,35.9,33.2,86.2,37.4,37.9,0.0,43.4,19.950000000000003,24.0,10.25,29.674999999999997,19.958333333333332,162.0,244.5,F,D
terkelg,prompts,26.6,8.2,53.3,29.3,47.7,15.4,20.1,60.7,77.5,61.8,84.8,18.7,60.2,15.2,64.8,35.975,41.1,29.35,39.724999999999994,35.016666666666666,652.0,735.0,B,B
sindresorhus,component-emitter,39.2,4.6,58.4,76.2,38.0,9.2,12.3,52.5,36.5,43.4,87.8,42.3,36.6,9.4,55.8,28.0,37.7,44.599999999999994,36.025000000000006,36.208333333333336,677.0,651.5,B,B
jsdom,jsdom,26.5,29.0,54.6,37.7,56.8,34.9,26.5,82.9,89.3,87.4,85.3,69.8,61.2,30.6,71.8,50.275000000000006,53.5,36.95,58.349999999999994,48.525,930.0,949.0,A,A
mcavage,node-assert-plus,6.2,0.0,45.7,66.2,34.9,0.0,0.0,39.0,16.5,17.0,84.3,38.1,33.4,0.0,44.1,18.475,26.5,29.525000000000002,28.9,25.633333333333336,364.0,320.5,D,D
Marak,colors.js,8.8,0.0,44.8,66.9,38.4,0.0,0.0,48.5,70.1,69.0,6.8,48.0,44.4,0.0,64.0,21.725,31.9,30.125,39.1,30.316666666666666,548.0,515.0,C,C
tj,co,14.8,0.0,44.5,83.3,35.0,0.0,0.0,70.3,81.8,79.2,88.5,31.8,42.4,0.0,65.3,26.325,38.4,35.65,34.875,32.28333333333333,593.0,670.0,C,B
facebook,react,39.5,32.1,77.9,46.8,64.9,46.8,42.1,87.5,99.9,99.8,93.1,57.2,97.3,45.2,89.9,60.325,66.3,49.075,72.39999999999999,60.6,1000.0,1000.0,A,A
moment,moment,52.9,30.6,31.1,47.5,52.0,32.5,12.4,79.1,97.2,96.8,77.1,45.4,64.7,12.5,89.4,44.0,51.9,40.525,53.00000000000001,45.84166666666667,881.0,920.5,A,A
dchest,tweetnacl-js,30.3,1.4,46.4,77.4,40.2,2.7,4.7,47.6,54.6,65.5,27.6,42.9,52.0,2.4,15.1,23.8,31.4,38.875,28.1,30.258333333333336,544.5,499.0,C,C
webpack-contrib,css-loader,58.0,27.6,55.6,61.8,55.8,31.2,34.7,73.6,67.9,73.5,89.5,63.6,76.7,33.8,48.9,48.825,54.5,50.75,55.74999999999999,51.775,974.0,962.0,A,A
inspect-js,node-deep-equal,26.3,7.2,40.0,31.8,40.9,15.6,4.8,54.0,40.1,48.0,87.5,40.4,41.6,17.3,37.8,28.825,33.2,26.325,34.275,29.808333333333334,526.0,557.0,C,C
sindresorhus,file-type,36.7,25.6,81.9,77.2,55.0,22.1,30.9,61.7,65.0,64.6,69.2,47.9,33.0,29.4,57.0,42.425000000000004,48.2,55.35000000000001,41.825,46.53333333333334,891.0,856.0,A,A
defunctzombie,node-url,19.0,2.8,27.9,82.6,40.4,5.5,4.9,25.9,28.5,40.5,8.8,25.9,18.6,12.9,24.2,19.175,23.6,33.074999999999996,20.4,24.21666666666667,291.0,236.5,D,D
joyent,node-verror,11.0,0.0,67.2,30.0,31.5,0.0,0.0,51.0,49.1,31.8,84.0,39.2,35.9,0.0,18.0,20.625,26.6,27.05,23.275,23.649999999999995,276.0,324.5,D,D
import-js,eslint-plugin-import,26.8,24.3,85.2,12.9,60.9,36.4,35.9,70.9,70.3,86.7,87.1,39.3,53.8,40.3,80.8,51.025000000000006,52.7,37.300000000000004,53.55,47.291666666666664,905.0,932.0,A,A
nodejs,-1,3.1,7.1,60.3,56.0,43.4,15.6,11.6,62.6,64.0,70.3,85.2,30.8,44.7,5.8,78.8,33.3,40.2,31.625,40.025000000000006,34.983333333333334,651.0,716.0,B,B
shtylman,node-process,11.7,0.0,23.5,0.0,38.4,0.0,0.0,23.4,16.0,30.9,8.7,38.2,16.6,0.0,46.3,15.45,16.5,8.8,25.275,16.508333333333333,109.0,111.0,F,F
