owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
segmentio,is-url,0.0,0.7,23.3,59.1,23.2,1.3,6.7,33.5,18.8,24.0,60.8,30.4,34.6,3.4,30.7,16.175,21.9,20.775,24.775,20.575,199.0,212.0,F,D
expressjs,cookie-parser,10.8,3.4,45.7,57.9,25.8,7.9,0.0,54.8,56.7,57.0,67.7,38.0,45.4,3.9,40.8,22.125,31.4,29.45,32.025,27.866666666666664,489.0,526.5,C,C
kevva,decompress,17.0,0.0,37.7,68.9,25.5,0.0,0.0,36.5,29.5,27.2,59.7,29.8,37.7,0.0,20.0,15.5,23.8,30.900000000000002,21.875,22.758333333333336,281.0,257.0,D,D
nodemailer,nodemailer,37.1,24.4,56.9,40.2,47.6,28.1,31.5,71.7,86.5,84.9,61.0,54.3,62.0,34.8,46.8,44.725,48.7,39.650000000000006,49.474999999999994,44.61666666666667,869.0,878.0,A,A
stylus,stylus,28.9,21.4,60.7,20.4,40.4,29.5,23.4,72.7,81.2,82.3,69.9,57.2,37.3,25.6,64.3,41.5,44.8,32.85,46.099999999999994,40.15,793.0,820.0,B,A
codemirror,basic-setup,0.0,0.0,19.6,23.0,21.1,0.0,0.0,14.6,12.6,16.2,29.1,0.4,23.8,0.1,2.7,8.925,10.3,10.65,6.75,8.775,28.0,44.5,F,F
hapijs,hoek,0.0,24.8,43.8,57.5,27.6,15.9,19.3,49.2,33.1,52.0,71.8,40.1,43.5,15.9,61.3,28.000000000000004,35.5,31.525,40.2,33.24166666666667,639.0,619.0,B,B
gulpjs,fancy-log,0.0,9.9,57.2,56.5,23.5,4.0,6.8,30.3,16.1,15.5,67.5,22.2,47.4,5.4,32.5,16.15,25.3,30.900000000000002,26.875000000000004,24.641666666666666,361.5,309.0,D,D
vuejs,vue-loader,28.5,29.1,25.4,47.0,38.7,23.6,23.3,67.3,69.7,80.1,71.2,48.0,83.4,24.0,42.0,38.22500000000001,44.5,32.5,49.35,40.025000000000006,790.0,815.0,B,A
chartjs,Chart.js,27.2,27.2,33.5,28.2,51.4,36.4,37.2,78.8,98.3,97.9,60.4,58.8,67.2,38.5,60.1,50.95,51.2,29.025000000000002,56.150000000000006,45.375,885.0,919.0,A,A
react-dropzone,react-dropzone,13.3,9.2,73.4,15.8,33.6,10.4,0.0,62.4,79.7,76.7,44.6,48.5,61.8,0.0,75.8,26.6,37.7,27.925,46.525,33.68333333333334,646.0,666.5,B,B
Automattic,cli-table,9.5,0.0,49.4,55.6,24.3,0.0,0.0,51.7,59.2,47.3,54.5,46.0,33.3,0.0,58.9,19.0,29.8,28.625,34.55,27.391666666666666,474.5,463.5,C,C
dreamerslab,node.inflection,0.0,19.8,48.1,67.0,21.5,13.4,6.9,42.6,34.5,25.6,61.8,48.6,54.7,8.1,49.9,21.1,32.0,33.725,40.324999999999996,31.71666666666667,598.5,543.0,C,C
nock,nock,29.3,31.2,90.5,23.4,41.6,38.0,35.0,67.2,82.8,75.5,40.2,70.3,58.4,36.5,69.6,45.45,51.0,43.6,58.7,49.25,952.0,915.5,A,A
vuejs,vue,37.2,28.7,59.7,47.5,46.0,37.6,34.3,67.2,99.8,99.5,9.4,59.9,41.9,28.8,63.2,46.275000000000006,48.6,43.275000000000006,48.45,46.0,898.0,876.0,A,A
node-cache,node-cache,12.6,0.0,49.4,49.5,27.7,5.4,0.0,50.8,58.7,47.2,41.7,55.7,61.4,0.0,51.5,20.974999999999998,31.8,27.875,42.150000000000006,30.333333333333332,575.0,538.5,C,C
NMFR,optimize-css-assets-webpack-plugin,0.0,0.0,41.7,15.9,19.4,0.0,0.0,42.4,48.5,32.8,76.3,12.1,83.3,0.0,30.9,15.45,25.3,14.4,31.574999999999996,20.474999999999998,196.0,309.0,F,D
jsdoc,jsdoc,29.6,31.3,68.7,50.5,40.0,35.5,19.9,67.8,85.7,85.8,41.3,58.3,48.8,31.3,28.1,40.800000000000004,45.2,45.025000000000006,41.625,42.48333333333334,839.0,826.5,A,A
standard,eslint-config-standard,34.9,28.4,49.4,33.6,36.3,42.4,26.3,53.1,60.6,72.0,62.9,16.9,57.9,33.0,54.4,39.525000000000006,43.3,36.574999999999996,40.550000000000004,38.88333333333333,762.0,794.0,B,B
geraintluff,tv4,0.0,0.0,54.0,57.8,19.5,0.0,0.0,43.5,48.8,53.8,37.1,34.3,37.2,0.0,45.8,15.75,26.4,27.95,29.325,24.34166666666667,348.0,353.0,D,D
inxilpro,node-app-root-path,0.0,0.0,55.9,49.0,19.5,0.0,0.0,38.5,36.8,19.7,66.0,31.5,48.7,0.0,9.9,14.5,22.7,26.225,22.525,21.083333333333332,215.0,233.0,D,D
localForage,localForage,29.6,1.5,69.4,33.3,31.0,10.5,0.0,68.1,92.8,83.7,51.0,44.8,50.8,0.0,77.5,27.4,39.5,33.45,43.275000000000006,34.708333333333336,659.0,709.0,B,B
indexzero,node-pkginfo,0.0,0.0,35.8,77.8,19.6,0.0,0.0,22.3,18.5,17.1,9.5,44.0,20.1,0.0,13.2,10.475000000000001,17.1,28.4,19.325,19.400000000000002,168.0,129.0,F,F
preactjs,preact,31.5,24.0,72.2,19.6,49.0,42.0,38.1,70.3,96.3,89.0,53.0,42.9,71.6,41.8,64.8,49.85,52.4,36.825,55.275,47.31666666666667,925.0,933.0,A,A
tdegrunt,jsonschema,4.6,8.9,56.4,68.2,30.7,10.0,6.2,50.2,55.5,59.7,47.8,37.9,43.0,3.1,64.2,24.275000000000002,34.3,34.525000000000006,37.05,31.950000000000003,605.0,596.0,B,C
vuejs,eslint-plugin-vue,31.0,30.2,43.2,46.9,50.0,39.2,39.6,61.1,68.0,73.2,66.8,36.5,44.0,39.1,70.1,47.475,48.2,37.825,47.425,44.241666666666674,863.0,867.0,A,A
vuejs,router,21.4,27.1,42.6,47.0,50.6,39.8,42.2,60.2,65.7,81.9,69.7,23.6,67.2,37.2,47.5,48.2,47.4,34.525,43.875,42.199999999999996,832.0,853.0,A,A
simov,slugify,29.8,10.4,36.2,55.0,27.3,6.6,0.0,47.9,52.3,44.4,60.7,34.0,40.1,2.5,59.0,20.45,31.5,32.85,33.9,29.066666666666663,530.0,531.0,C,C
karma-runner,karma,17.3,23.4,81.0,64.0,32.5,17.6,11.3,78.7,81.9,87.9,74.7,70.4,66.3,19.2,78.7,35.025000000000006,50.1,46.425,58.65,46.699999999999996,911.0,903.5,A,A
Unitech,pm2,30.6,22.1,82.6,79.5,47.1,30.8,30.0,71.3,96.7,92.2,38.1,58.2,47.2,24.1,49.6,44.8,50.3,53.699999999999996,44.775000000000006,47.75833333333333,929.0,905.5,A,A
gulpjs,liftoff,0.0,0.0,53.5,56.2,19.8,0.0,0.0,46.0,42.8,29.0,63.5,48.5,46.9,8.8,40.6,16.45,28.0,27.425,36.2,26.691666666666666,437.0,402.5,C,C
krisk,Fuse,35.6,30.3,59.0,31.4,37.4,23.2,11.4,62.2,87.5,77.5,28.7,55.2,34.2,24.2,50.1,33.550000000000004,40.4,39.074999999999996,40.925000000000004,37.85,737.0,731.0,B,B
timoxley,columnify,1.0,0.0,55.0,90.6,22.0,0.9,0.0,32.5,30.3,21.7,50.2,27.9,67.1,0.4,39.0,13.85,28.1,36.65,33.6,28.03333333333333,496.0,406.5,C,C
stylelint,stylelint-config-standard,13.3,19.8,56.9,18.5,32.5,26.9,22.7,44.7,51.6,43.9,50.8,32.5,54.4,27.1,59.1,31.7,36.5,27.125,43.275,34.03333333333333,653.0,644.0,B,B
coopernurse,node-pool,10.2,0.0,46.3,70.8,25.0,0.0,0.0,47.6,59.6,60.7,21.8,48.4,35.2,0.0,58.0,18.15,29.7,31.825,35.4,28.458333333333332,512.0,457.5,C,C
standard-things,esm,0.0,0.9,22.6,14.3,22.1,1.8,6.3,51.9,70.4,48.8,53.7,34.6,78.3,3.1,6.3,20.525,25.2,9.45,30.574999999999996,20.183333333333334,189.0,305.0,F,D
ogt,valid-url,0.0,0.0,34.8,66.2,20.0,0.0,0.0,32.0,21.4,17.2,58.8,30.6,41.7,0.0,30.4,13.0,22.0,25.25,25.674999999999997,21.308333333333334,226.0,215.5,D,D
tleunen,babel-plugin-module-resolver,0.0,0.0,40.6,39.5,20.1,0.0,0.0,49.6,64.9,56.3,62.7,14.5,73.5,0.0,55.6,17.425,29.8,20.025,35.9,24.45,354.0,463.5,D,C
mathisonian,command-exists,0.0,0.0,51.1,66.2,20.1,0.0,0.0,30.9,17.8,15.7,68.9,21.3,61.2,0.0,60.8,12.75,26.9,29.325000000000003,35.825,25.96666666666667,420.0,367.5,C,D
kevva,download,0.0,3.0,36.9,69.0,20.1,6.7,0.0,48.3,50.4,55.1,57.7,29.9,47.3,0.0,53.9,18.775,29.5,27.225,32.775,26.258333333333336,428.0,448.5,C,C
TooTallNate,node-plist,0.0,8.6,44.3,78.4,26.7,8.2,19.7,38.2,33.4,45.0,26.8,47.6,54.0,15.8,54.0,23.200000000000003,32.6,32.825,42.85,32.958333333333336,633.0,553.5,B,C
