owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
Reactive-Extensions,RxJS,0.0,0.0,82.5,61.6,15.7,0.0,0.0,66.4,89.2,90.7,27.0,58.8,25.9,0.0,50.2,20.525000000000002,33.3,36.025,33.724999999999994,30.091666666666665,566.0,569.5,C,C
TryGhost,node-sqlite3,35.8,28.6,74.6,39.4,35.0,31.1,13.8,66.0,72.5,76.9,52.4,62.0,36.9,21.7,70.0,36.475,45.0,44.6,47.65,42.90833333333333,844.0,822.0,A,A
jashkenas,coffeescript,27.9,15.0,62.5,57.2,30.3,12.9,13.9,66.4,86.6,90.3,39.5,49.3,62.0,14.8,55.9,30.875000000000004,42.6,40.650000000000006,45.5,39.00833333333333,767.0,774.0,B,B
jaredhanson,passport-local,0.0,0.0,56.0,83.9,15.8,1.1,0.0,57.6,61.2,70.6,56.3,42.1,43.5,0.0,38.4,18.625,31.4,34.975,31.0,28.2,501.0,526.5,C,C
domenic,sinon-chai,16.4,0.0,47.4,62.4,16.1,6.2,0.0,46.6,47.5,42.9,41.6,54.3,60.0,0.0,55.1,17.225,31.0,31.549999999999997,42.349999999999994,30.375,576.0,507.5,C,C
gotwarlost,istanbul,10.1,0.0,58.1,36.2,19.4,0.0,0.0,61.9,77.8,78.6,54.8,36.2,35.3,0.0,40.8,20.325,29.9,26.1,28.075,24.833333333333332,377.0,468.0,D,C
gruntjs,grunt-cli,16.3,1.8,31.5,70.8,19.4,1.2,0.0,46.3,38.8,58.8,47.2,40.5,29.6,0.9,59.0,16.725,28.3,30.099999999999998,32.5,26.441666666666666,431.0,414.0,C,C
gruntjs,grunt,14.0,15.3,63.3,71.0,25.7,14.0,14.0,71.0,82.4,87.1,61.6,52.8,35.4,14.8,54.7,31.175,41.2,40.9,39.425,37.166666666666664,719.5,745.5,B,B
yeoman,generator,35.5,32.4,33.2,65.2,32.4,33.2,24.9,44.5,49.0,63.3,1.5,64.2,45.0,32.6,47.9,33.75,39.5,41.575,47.425,40.916666666666664,812.0,709.0,A,B
BrowserSync,browser-sync,25.3,28.6,57.5,32.0,28.1,22.9,18.2,67.7,82.3,75.8,64.6,47.9,79.0,23.1,35.8,34.224999999999994,43.1,35.85,46.45,38.84166666666666,760.0,790.0,B,B
facebook,flux,0.0,0.0,68.1,46.5,13.7,0.0,0.0,62.1,87.8,94.4,38.9,27.4,68.5,6.0,77.9,18.95,36.5,28.65,44.95,30.849999999999998,582.5,644.0,C,B
inversify,InversifyJS,30.7,21.8,81.2,32.0,37.7,28.9,36.0,49.6,80.5,74.9,1.6,41.2,41.2,29.4,80.5,38.05,43.9,41.425000000000004,48.075,42.516666666666666,840.5,804.0,A,A
mqttjs,MQTT.js,27.4,26.6,81.9,33.0,43.8,40.0,40.3,60.7,76.7,85.5,7.7,73.0,52.5,42.7,63.4,46.2,49.3,42.225,57.900000000000006,48.775000000000006,948.0,889.0,A,A
babel,eslint-plugin-babel,0.0,0.0,42.3,43.2,13.8,0.0,0.0,32.5,29.1,35.2,39.8,26.1,58.1,0.0,64.4,11.575,24.8,21.375,37.15,23.366666666666664,307.5,292.0,D,D
electron,electron,30.8,31.5,81.8,40.4,42.5,48.1,43.7,77.7,99.4,98.4,48.9,64.1,60.7,46.5,58.9,53.0,56.0,46.125,57.55,52.225,986.5,985.0,A,A
mikeal,watch,2.6,0.0,48.9,69.5,11.1,0.0,0.0,52.5,50.5,47.9,65.1,46.5,35.5,0.0,56.1,15.9,29.2,30.25,34.525,26.891666666666666,450.0,439.5,C,C
TooTallNate,keypress,0.0,0.0,24.1,78.2,9.3,0.0,0.0,33.6,28.0,30.6,38.0,37.9,25.2,0.0,27.2,10.725000000000001,19.9,25.575000000000003,22.575,19.625,175.0,161.5,F,F
hparra,gulp-rename,2.6,0.0,38.4,60.7,11.2,0.0,0.0,41.1,38.3,35.1,62.2,28.9,41.3,0.0,62.2,13.075,26.2,25.425,33.1,23.866666666666664,330.0,343.0,D,D
gulp-sourcemaps,gulp-sourcemaps,0.0,0.0,33.2,27.4,9.4,0.0,0.0,45.6,47.9,44.1,58.1,32.1,44.0,0.0,46.4,13.75,23.5,15.15,30.625,19.841666666666665,181.0,252.0,F,D
apollographql,apollo-client,31.4,31.0,68.7,38.4,45.3,46.3,42.5,64.8,88.9,92.5,41.9,35.9,70.6,45.3,79.9,49.724999999999994,54.3,42.375,57.925000000000004,50.00833333333333,964.0,968.0,A,A
broccolijs,broccoli-funnel,0.0,0.0,31.2,45.2,13.5,1.2,0.0,23.6,13.5,22.1,31.4,27.4,58.3,0.0,59.1,9.575,21.7,19.1,36.2,21.625,240.5,208.5,D,D
patorjk,figlet.js,0.6,20.4,58.8,21.2,21.3,34.8,17.6,49.6,60.1,50.4,45.7,42.2,58.4,8.8,25.3,30.825000000000003,32.6,25.25,33.675,29.916666666666668,562.0,553.5,C,C
andyearnshaw,Intl.js,0.0,0.0,64.6,25.8,13.6,0.0,0.0,40.8,54.5,57.1,7.3,44.2,34.4,0.0,77.8,13.6,26.3,22.599999999999998,39.099999999999994,25.099999999999994,388.0,348.0,D,D
koajs,static,0.0,1.8,62.7,71.7,14.9,9.2,0.0,33.0,48.3,43.2,10.8,29.9,24.1,0.0,52.7,14.275,25.2,34.05,26.675000000000004,25.0,386.0,305.0,D,D
apache,echarts,19.5,27.7,85.6,63.0,47.2,41.2,41.3,75.3,97.8,98.6,46.2,58.8,66.1,42.6,84.3,51.25,58.0,48.949999999999996,62.94999999999999,54.383333333333326,996.0,995.0,A,A
pksunkara,inflect,0.0,0.0,64.0,27.4,13.3,0.0,0.0,35.4,22.1,33.1,45.9,40.4,28.1,0.0,17.0,12.175,19.4,22.85,21.375,18.8,157.5,152.5,F,F
ericelliott,cuid,0.9,10.0,70.3,70.4,15.2,6.2,0.0,48.0,64.4,46.1,42.5,39.2,69.4,0.0,63.6,17.35,34.4,37.900000000000006,43.05,32.76666666666667,624.0,600.5,B,B
yeoman,environment,42.8,33.6,31.0,65.3,29.0,35.5,24.5,26.4,16.8,34.5,7.5,46.7,52.4,32.6,19.0,28.85,33.5,43.175,37.675,36.56666666666667,709.0,576.0,B,C
flatiron,nconf,19.5,13.2,35.6,60.8,16.5,14.2,3.5,54.5,67.1,59.4,38.5,53.0,35.2,8.7,66.4,22.175,33.7,32.275,40.825,31.758333333333336,602.0,580.0,B,C
kolodny,immutability-helper,0.9,0.0,60.2,63.8,15.4,0.0,0.0,47.0,70.2,54.4,35.7,27.6,64.2,0.0,61.1,15.6,31.3,31.225,38.225,28.350000000000005,506.0,522.5,C,C
josdejong,mathjs,28.9,33.1,87.1,35.4,40.9,38.4,35.7,59.4,84.9,83.2,35.4,33.9,58.1,38.7,64.9,43.599999999999994,49.4,46.125,48.9,46.208333333333336,899.0,891.5,A,A
broccolijs,broccoli-merge-trees,0.0,0.0,36.2,45.5,14.6,0.0,0.0,22.1,11.1,21.2,31.8,24.4,57.2,0.0,57.5,9.175,21.4,20.425,34.775,21.458333333333332,233.0,202.0,D,D
flatiron,prompt,0.0,0.0,51.1,60.8,14.6,0.0,0.0,48.8,56.2,52.6,42.3,44.1,35.8,0.0,66.9,15.85,29.0,27.975,36.7,26.84166666666667,448.5,436.5,C,C
jaredhanson,passport-oauth2,10.2,8.6,45.8,84.2,24.3,9.1,0.0,43.6,36.2,64.7,43.5,30.1,50.9,0.0,34.5,19.25,30.1,37.2,28.875,28.441666666666666,510.5,476.5,C,C
ForbesLindesay,sync-request,29.0,0.0,50.7,65.1,20.6,0.0,0.0,28.9,26.3,25.8,41.8,21.6,38.3,0.0,17.3,12.375,22.6,36.2,19.299999999999997,22.625,275.0,228.0,D,D
ljharb,tape,34.5,14.2,80.4,48.3,26.0,18.0,12.8,55.4,72.1,64.9,49.8,34.9,37.6,23.9,52.5,28.05,39.2,44.349999999999994,37.225,36.541666666666664,708.0,698.5,B,B
koajs,bodyparser,1.0,4.0,64.2,71.5,21.9,6.5,3.6,36.6,50.7,43.5,26.6,25.8,26.9,11.6,46.8,17.15,27.7,35.175,27.774999999999995,26.7,438.0,390.0,C,D
jashkenas,backbone,18.3,29.2,60.8,57.4,25.9,33.3,15.5,68.2,94.8,96.2,34.9,46.8,54.2,17.9,72.0,35.725,45.6,41.425,47.724999999999994,41.625,823.0,834.5,A,A
typicode,lowdb,31.5,29.5,68.9,42.6,29.6,20.9,8.5,66.2,90.3,79.7,53.3,41.7,44.2,13.6,31.6,31.299999999999997,39.7,43.125,32.775000000000006,35.733333333333334,687.0,713.0,B,B
ember-cli,ember-cli-htmlbars,33.9,25.6,37.8,61.5,29.1,27.1,27.4,30.4,14.4,31.9,33.9,41.4,62.7,27.0,51.4,28.5,36.2,39.699999999999996,45.625,37.94166666666666,738.0,635.5,B,B
mozilla,nunjucks,33.4,15.1,66.6,73.6,22.4,12.7,0.0,62.8,77.3,73.1,45.3,55.4,39.3,4.0,64.2,24.475,39.4,47.175,40.725,37.458333333333336,725.0,704.5,B,B
jshint,jshint,39.2,0.0,69.9,53.3,19.4,0.8,0.0,70.5,78.2,87.7,49.3,66.7,69.3,0.0,68.0,22.674999999999997,40.9,40.6,51.0,38.09166666666667,742.0,741.5,B,B
benjamn,install,0.0,0.0,37.0,72.7,13.2,0.0,0.0,26.1,12.9,16.6,40.8,34.0,51.2,0.0,6.6,9.825,19.3,27.425,22.950000000000003,20.066666666666666,184.5,151.0,F,F
chenglou,react-motion,0.0,1.9,54.8,60.0,13.2,3.3,0.0,57.3,91.1,82.5,34.6,20.9,75.5,0.0,73.9,18.45,35.4,29.174999999999997,42.575,30.066666666666666,565.0,616.0,C,B
ChainSafe,web3.js,35.9,29.1,72.7,43.4,44.0,42.9,40.1,64.7,88.5,95.9,25.0,49.4,61.9,43.7,70.8,47.925,52.8,45.275,56.449999999999996,49.883333333333326,961.0,945.5,A,A
adaltas,node-http-status,28.3,9.8,56.8,37.5,20.9,15.5,17.0,27.8,30.6,27.8,7.4,45.2,22.5,17.1,55.8,20.299999999999997,27.6,33.099999999999994,35.150000000000006,29.516666666666666,549.0,388.0,C,D
Medium,phantomjs,0.0,0.0,27.1,52.7,12.6,0.0,0.0,52.4,52.4,69.4,37.7,50.0,35.1,0.0,60.8,16.25,27.1,19.950000000000003,36.475,24.225000000000005,343.0,374.0,D,D
webpack-contrib,extract-text-webpack-plugin,0.0,0.0,48.1,62.4,12.8,0.0,0.0,61.8,67.3,71.3,69.5,39.1,85.2,0.0,58.0,18.65,35.4,27.625,45.574999999999996,30.616666666666664,578.0,616.0,C,B
jxson,front-matter,1.0,0.0,58.0,81.5,17.5,3.6,0.0,37.2,37.8,35.5,37.3,38.2,24.5,0.0,59.0,14.575000000000001,26.8,35.125,30.425,26.708333333333332,439.5,363.0,C,D
reactstrap,reactstrap,24.5,30.3,81.9,16.3,35.1,28.6,31.4,62.0,80.2,84.3,50.9,32.8,78.0,35.5,65.5,39.275,47.9,38.25000000000001,52.95,43.491666666666674,850.0,864.0,A,A
babel,ember-cli-babel,23.1,23.4,42.4,43.3,29.6,31.8,27.3,34.3,18.3,44.3,34.0,40.8,60.3,27.9,72.2,30.749999999999996,37.6,33.05,50.3,38.03333333333333,741.0,664.0,B,B
twitter,hogan.js,0.0,0.0,69.2,61.3,12.9,0.0,0.0,54.8,70.0,69.7,35.9,43.5,26.8,3.4,54.2,16.925,30.0,32.625,31.975,27.175,467.0,471.5,C,C
klughammer,node-randomstring,0.0,0.0,40.1,49.8,13.0,0.0,0.0,36.1,34.3,35.6,33.7,40.8,22.5,0.0,41.5,12.275,21.1,22.475,26.2,20.316666666666666,191.0,191.0,F,F
jquery,jquery-ui,23.4,16.3,57.8,61.3,33.7,18.2,21.4,66.4,81.3,96.1,35.2,52.9,26.1,20.2,67.2,34.925000000000004,42.1,39.699999999999996,41.6,38.74166666666667,757.0,759.5,B,B
imagemin,imagemin-pngquant,0.0,1.0,34.3,56.8,13.0,4.5,0.0,35.3,25.7,36.3,48.6,30.8,37.6,1.1,49.8,13.2,23.4,23.025,29.825,22.016666666666666,253.0,248.5,D,D
getsentry,raven-js,29.1,28.7,73.2,48.2,41.1,46.1,38.6,66.8,75.4,86.2,34.5,71.2,74.9,44.0,71.1,48.15,54.2,44.8,65.3,52.75,992.0,966.0,A,A
showdownjs,showdown,25.1,5.8,81.2,42.6,20.9,4.5,0.0,69.5,84.7,87.0,35.0,71.3,55.6,11.3,42.5,23.725,38.3,38.675000000000004,45.175,35.858333333333334,689.0,676.0,B,B
angular,angular.js,0.0,0.0,60.1,64.7,9.9,0.0,0.0,63.4,98.0,99.3,6.9,49.2,59.6,0.0,48.8,18.325,33.5,31.200000000000003,39.400000000000006,29.64166666666667,554.0,576.0,C,C
apocas,dockerode,35.6,20.8,63.9,56.8,27.8,13.5,16.8,54.8,67.6,68.9,32.0,50.9,31.3,20.6,73.2,28.224999999999998,40.0,44.275,44.0,38.833333333333336,759.0,720.5,B,B
dcodeIO,bytebuffer.js,0.0,0.0,27.5,45.3,9.9,0.0,0.0,33.9,38.9,50.3,6.7,39.7,12.9,0.0,29.8,10.95,17.4,18.2,20.6,16.583333333333332,119.0,132.0,F,F
vuejs,vue-class-component,17.8,7.9,46.9,47.0,19.5,5.1,8.6,52.6,72.2,68.5,38.6,31.2,73.7,4.3,46.5,21.45,33.8,29.900000000000002,38.925,30.09166666666667,567.5,582.0,C,C
nickmerwin,node-coveralls,0.0,0.0,61.1,75.0,9.5,0.0,0.0,41.1,46.9,60.4,11.1,46.0,52.5,0.0,70.2,12.65,29.8,34.025,42.175,29.616666666666664,552.0,463.5,C,C
hughsk,envify,1.9,0.0,35.4,88.3,10.1,0.0,0.0,36.0,44.5,28.5,39.4,31.6,24.9,0.0,39.8,11.525,23.1,31.4,24.074999999999996,22.333333333333332,268.0,242.0,D,D
olado,doT,9.5,5.0,53.6,51.9,13.2,4.7,0.0,58.7,69.6,81.0,31.7,52.4,30.1,0.0,20.2,19.150000000000002,27.9,30.0,25.674999999999997,24.941666666666666,382.0,398.5,D,D
tediousjs,node-mssql,27.3,31.4,69.9,25.8,34.3,40.2,29.6,47.6,59.0,69.3,8.1,54.1,42.3,31.8,64.0,37.925000000000004,41.7,38.6,48.05,41.525,822.0,755.0,A,B
tj,connect-redis,38.5,22.0,39.7,83.3,24.6,12.9,14.2,56.1,61.8,66.4,34.4,62.0,27.2,25.9,39.9,26.95,37.6,45.875,38.75,37.19166666666667,721.5,664.0,B,B
kaorun343,vue-property-decorator,26.1,0.0,59.5,23.8,10.3,0.0,0.0,42.6,71.3,67.0,8.2,24.1,30.9,0.0,38.8,13.225000000000001,24.2,27.349999999999998,23.449999999999996,21.34166666666667,228.0,270.5,D,D
contra,gulp-concat,0.0,0.0,31.6,5.2,9.7,0.0,0.0,43.5,41.0,44.8,57.1,31.1,37.6,0.0,59.1,13.3,22.0,9.200000000000001,31.950000000000003,18.150000000000002,145.0,215.5,F,D
standard,standard,19.1,29.7,84.4,33.9,32.7,32.8,31.1,64.6,95.2,91.4,47.1,24.5,32.0,35.1,65.6,40.3,45.7,41.775,39.3,40.45833333333333,798.0,837.5,B,A
koajs,router,21.8,23.8,71.2,71.3,22.2,17.9,14.3,29.6,42.7,51.9,8.3,15.4,24.8,15.2,69.1,21.0,32.8,47.025,31.125,33.050000000000004,635.0,558.0,B,C
yuanchuan,node-watch,32.8,21.4,56.6,41.8,15.5,9.8,16.9,34.0,27.0,24.8,35.5,48.8,26.9,14.4,34.0,19.049999999999997,27.8,38.150000000000006,31.025,29.40833333333333,544.0,394.0,C,D
prettier,tslint-config-prettier,0.0,0.0,65.2,22.6,8.4,0.0,0.0,32.8,49.8,23.7,38.2,19.5,70.1,0.0,63.0,10.299999999999999,25.5,21.950000000000003,38.15,23.46666666666667,310.0,315.0,D,D
rollup,rollup-plugin-node-resolve,0.0,0.0,57.6,37.0,8.4,0.0,0.0,34.0,32.6,39.2,46.8,17.2,69.4,0.0,48.3,10.6,24.9,23.65,33.725,22.65833333333333,277.0,294.0,D,D
ethereumjs,ethereumjs-tx,0.0,0.0,57.7,38.9,8.5,0.0,0.0,42.6,40.8,60.1,44.1,25.3,42.1,0.0,68.7,12.775,26.6,24.15,34.025000000000006,23.650000000000002,317.0,357.5,D,D
oblador,react-native-vector-icons,31.7,32.0,82.1,46.2,37.2,33.4,38.8,68.2,87.2,90.6,55.0,40.0,74.5,35.0,55.8,44.400000000000006,51.9,48.0,51.325,47.90833333333334,936.0,930.5,A,A
pvorb,node-sha1,0.0,0.0,38.1,78.7,8.5,0.0,0.0,28.6,15.2,14.4,40.5,44.1,33.7,0.0,10.2,9.275,18.8,29.200000000000003,22.0,20.158333333333335,188.0,144.0,F,F
ianschmitz,jest-environment-jsdom-fourteen,0.0,0.0,38.4,22.3,8.6,0.0,0.0,22.5,10.8,10.7,63.4,5.2,49.3,0.0,2.4,7.775,14.4,15.175,14.225,12.391666666666667,67.0,95.0,F,F
ant-design,babel-plugin-import,24.3,9.9,41.3,37.8,18.1,14.2,17.3,49.5,63.5,67.5,41.1,25.8,44.9,15.8,63.6,24.775000000000002,33.9,28.325,37.525,30.208333333333332,570.0,584.5,C,C
geowarin,friendly-errors-webpack-plugin,0.0,0.0,59.8,50.5,8.6,0.0,0.0,40.2,39.9,37.4,62.4,21.3,78.6,0.0,45.0,12.200000000000001,28.0,27.575,36.225,25.333333333333332,396.0,402.5,D,C
vuejs,babel-helper-vue-jsx-merge-props,0.0,0.0,23.2,47.4,8.1,0.0,0.0,22.2,11.3,13.7,54.7,9.3,32.4,0.0,12.9,7.574999999999999,14.4,17.65,13.649999999999999,12.958333333333334,74.0,95.0,F,F
jadejs,jade,22.0,0.0,55.2,0.0,18.7,0.0,0.0,74.7,90.9,89.4,55.9,62.6,71.6,2.6,62.8,23.35,36.5,19.3,49.89999999999999,30.849999999999998,582.5,644.0,C,B
terinjokes,gulp-uglify,0.0,0.0,45.4,54.0,8.2,0.0,0.0,50.2,49.5,51.0,60.1,40.2,47.5,0.0,19.6,14.600000000000001,25.0,24.85,26.825,22.09166666666667,257.0,297.5,D,D
gruntjs,grunt-contrib-copy,0.0,0.0,49.8,71.2,8.2,0.0,0.0,45.6,39.2,54.0,52.8,36.4,37.2,0.0,54.3,13.45,27.3,30.25,31.975,25.225000000000005,394.0,381.5,D,D
fluent-ffmpeg,node-fluent-ffmpeg,35.3,12.7,68.8,49.1,23.4,17.9,1.9,49.8,74.9,78.9,0.9,44.6,37.4,11.4,73.2,23.25,36.6,41.475,41.65,35.458333333333336,680.0,647.5,B,B
vpulim,node-soap,0.0,10.3,83.4,36.0,8.3,13.5,0.0,54.3,62.6,86.3,0.8,67.5,44.6,5.2,69.8,19.025,33.5,32.425,46.775000000000006,32.74166666666667,622.0,576.0,B,C
systemjs,systemjs,20.0,15.6,68.5,40.2,25.3,16.6,16.7,66.7,83.3,81.8,40.6,60.9,38.7,16.8,41.6,31.325000000000003,38.6,36.075,39.5,35.63333333333333,684.0,681.0,B,B
gruntjs,grunt-contrib-clean,0.0,0.0,50.6,71.3,8.4,3.2,0.0,39.2,34.1,32.3,53.4,37.1,59.9,7.5,57.7,12.700000000000001,28.8,30.475,40.55,27.90833333333333,491.0,429.0,C,C
gruntjs,grunt-contrib-watch,1.3,0.0,53.1,71.3,8.6,0.0,0.0,54.1,57.8,66.0,56.7,36.0,39.0,2.1,60.1,15.675,30.5,31.424999999999997,34.3,27.13333333333333,458.0,486.0,C,C
redux-utilities,redux-actions,17.5,0.0,39.2,37.9,13.2,10.3,0.0,51.1,73.6,62.3,35.3,33.2,56.3,5.7,69.5,18.650000000000002,31.6,23.65,41.175,27.825,486.0,535.0,C,C
tschaub,gh-pages,32.2,32.4,56.3,63.4,23.8,36.0,27.6,54.8,63.6,52.8,66.4,36.5,51.1,27.4,52.7,35.55,43.4,46.075,41.925000000000004,41.18333333333334,814.0,796.5,A,B
redux-form,redux-form,1.4,4.4,78.2,12.8,8.7,2.4,0.0,63.2,83.1,87.5,38.3,43.8,74.2,0.0,75.8,18.575000000000003,35.3,24.200000000000003,48.45,30.408333333333335,577.0,613.5,C,B
patrick-steele-idem,child-process-promise,0.0,0.0,39.8,69.7,8.0,0.0,0.0,26.4,22.9,20.5,32.1,30.2,41.6,0.0,21.3,8.6,19.4,27.375,23.275000000000002,19.75,180.0,152.5,F,F
node-modules,urllib,35.2,15.5,53.6,57.9,25.6,30.7,25.7,43.5,39.1,42.4,31.2,61.3,34.7,31.5,43.8,31.375000000000004,37.0,40.550000000000004,42.825,38.25000000000001,748.0,653.0,B,B
bitcoinjs,bip39,18.8,2.6,49.7,38.5,13.8,4.8,14.4,45.3,46.3,68.4,41.5,25.0,51.5,10.7,60.7,19.575,31.2,27.4,36.975,27.98333333333333,493.0,518.0,C,C
discordjs,discord.js,30.2,27.2,62.4,18.0,44.4,45.6,42.6,70.6,93.0,94.8,51.1,43.6,68.2,45.5,57.3,50.8,51.6,34.45,53.65,46.300000000000004,903.0,925.5,A,A
ElemeFE,element,20.7,16.7,59.3,44.7,41.3,30.5,32.8,58.1,97.7,98.3,0.7,35.9,62.7,27.5,67.2,40.675,45.2,35.35,48.325,41.45,819.0,826.5,A,A
Level,level,16.3,20.8,77.0,44.2,21.5,13.4,14.5,47.4,53.2,43.3,41.0,52.2,28.1,13.9,59.2,24.2,34.3,39.575,38.35000000000001,34.04166666666667,654.0,596.0,B,C
gruntjs,grunt-contrib-uglify,0.0,0.0,49.3,71.1,12.7,5.3,0.0,56.5,53.1,66.7,57.0,49.1,63.7,6.5,77.5,18.625,35.5,30.099999999999998,49.199999999999996,32.64166666666666,619.0,619.0,B,B
rollup,rollup-plugin-commonjs,0.0,0.0,42.5,36.5,12.7,0.0,0.0,34.2,33.9,44.5,44.9,13.5,70.8,0.0,49.8,11.725000000000001,24.6,19.75,33.525,21.666666666666668,242.0,285.5,D,D
robrich,gulp-if,0.0,0.0,41.5,54.6,12.7,0.0,0.0,32.0,37.6,18.9,44.3,27.1,35.0,0.0,20.9,11.175,19.7,24.025,20.75,18.650000000000002,154.0,156.5,F,F
grpc,grpc-node,24.5,28.0,71.5,24.2,36.4,42.8,36.7,44.0,67.8,72.6,0.5,35.1,29.0,34.5,50.9,39.974999999999994,39.4,37.05,37.375,38.13333333333333,744.0,704.5,B,B
aheckmann,gm,0.7,0.0,53.0,70.7,13.8,0.3,0.0,57.0,74.1,73.4,32.5,48.0,33.6,0.0,59.0,17.775,30.9,31.1,35.15,28.008333333333336,495.0,503.5,C,C
DiegoRBaquero,node-os,0.0,0.0,28.0,40.0,9.8,0.0,0.0,16.4,9.7,9.9,36.0,10.1,31.9,0.0,2.5,6.55,12.0,17.0,11.125,11.558333333333332,59.0,65.5,F,F
helloIAmPau,node-spinner,0.0,0.0,41.7,13.6,7.5,0.0,0.0,24.9,23.6,16.7,31.0,28.5,30.2,0.0,48.8,8.1,16.9,13.825000000000001,26.875,16.266666666666666,115.0,126.0,F,F
Level,leveldown,0.0,7.3,45.4,44.2,7.5,0.3,0.0,46.6,40.3,53.4,36.5,56.4,42.0,5.3,53.2,13.6,26.8,24.225,39.225,25.683333333333337,407.0,363.0,C,D
lazd,gulp-replace,0.0,0.0,40.5,59.1,7.6,0.0,0.0,38.5,33.5,37.9,43.8,38.9,52.5,0.0,39.7,11.525,24.2,24.9,32.775,23.066666666666663,292.0,270.5,D,D
karma-runner,karma-mocha,0.7,0.0,41.8,64.3,8.0,0.0,0.0,36.9,28.8,39.6,43.0,36.4,72.2,7.4,60.0,11.225,28.2,26.7,44.0,27.308333333333334,473.0,410.5,C,C
sindresorhus,deep-assign,0.0,0.0,56.9,77.8,7.1,0.0,0.0,27.6,22.6,22.0,51.6,14.0,37.7,0.0,20.6,8.675,20.8,33.675,18.075000000000003,20.141666666666666,187.0,180.5,F,F
Semantic-Org,Semantic-UI-React,30.4,15.8,64.7,63.9,34.3,26.8,27.2,63.2,83.7,95.1,42.7,31.1,79.6,27.4,55.8,37.875,47.6,43.699999999999996,48.474999999999994,43.349999999999994,848.0,857.5,A,A
reactjs,react-router-redux,0.0,0.0,38.3,33.1,12.5,0.0,0.0,48.0,76.2,73.6,16.2,26.1,68.4,0.0,68.8,15.125,28.9,17.85,40.824999999999996,24.599999999999998,359.0,433.5,D,C
koajs,koa-body,0.8,19.9,73.1,71.3,17.3,4.6,2.0,39.1,45.1,44.7,37.4,29.1,53.5,3.2,61.8,15.75,32.0,41.27499999999999,36.9,31.308333333333326,592.0,543.0,C,C
bahamas10,node-clear,0.0,0.0,23.0,78.4,12.4,0.0,0.0,25.0,15.7,12.1,34.7,37.5,31.6,0.0,2.5,9.35,16.5,25.35,17.9,17.533333333333335,132.0,118.0,F,F
babel,gulp-babel,0.0,0.0,55.6,43.0,12.4,0.0,0.0,42.6,51.2,46.4,46.5,26.2,66.0,0.0,55.9,13.75,28.0,24.65,37.025,25.141666666666666,391.0,402.5,D,C
Trott,slug,28.7,24.6,55.3,62.0,21.5,30.5,19.1,20.3,25.4,20.4,33.1,2.2,48.7,28.0,45.2,22.85,31.8,42.65,31.025000000000002,32.175000000000004,611.0,538.5,B,C
elastic,elasticsearch-js-legacy,0.0,0.0,36.2,49.9,7.2,0.0,0.0,9.7,12.8,21.6,2.9,1.4,35.6,0.0,56.2,4.225,16.0,21.525,23.300000000000004,16.35,116.0,110.5,F,F
enricomarino,is,0.0,0.0,58.6,77.2,7.2,0.0,0.0,32.1,20.0,19.4,47.0,42.0,40.5,0.0,18.5,9.825000000000001,22.0,33.95,25.25,23.008333333333336,288.0,215.5,D,D
jgthms,bulma,29.1,31.9,65.7,42.5,31.9,31.4,29.5,65.5,97.4,94.9,45.4,24.4,66.3,27.8,40.2,39.575,45.9,42.300000000000004,39.675000000000004,40.51666666666667,801.0,840.5,A,A
koajs,mount,0.0,0.0,60.9,71.1,7.3,0.0,0.0,24.1,35.1,28.7,2.8,29.9,27.8,0.0,41.8,7.8500000000000005,20.7,33.0,24.875,21.90833333333333,251.0,176.5,D,F
gruntjs,grunt-contrib-concat,0.0,9.7,46.8,71.1,12.2,2.7,14.6,46.4,41.8,52.2,52.9,38.6,61.4,9.8,56.2,18.974999999999998,32.6,31.9,41.5,30.791666666666668,580.0,553.5,C,C
aseemk,requireDir,0.0,0.0,38.5,63.0,6.8,0.0,0.0,27.7,33.3,29.2,2.7,45.5,30.0,0.0,28.0,8.625,18.7,25.375,25.875,19.958333333333332,182.0,143.0,F,F
yeoman,yosay,0.0,1.5,41.5,65.0,7.4,3.0,1.6,26.6,20.9,24.4,30.4,30.6,31.4,4.3,40.1,9.65,20.7,27.0,26.6,21.083333333333332,215.0,176.5,D,F
felixge,node-require-all,0.0,0.0,37.6,78.8,6.9,0.0,0.0,31.4,25.0,26.5,32.9,41.3,30.8,0.0,38.1,9.575,21.5,29.1,27.55,22.075,255.5,205.0,D,D
sindresorhus,gulp-autoprefixer,23.2,1.4,60.8,77.8,13.5,2.9,8.1,37.3,38.4,26.4,56.4,28.1,41.0,4.8,32.5,15.45,28.1,40.8,26.6,27.616666666666664,481.0,406.5,C,C
hokaccha,node-jwt-simple,0.0,0.0,36.7,70.9,6.9,0.0,0.0,43.7,51.7,48.7,33.8,40.8,53.2,0.0,44.8,12.65,26.4,26.900000000000002,34.7,24.75,367.5,353.0,D,D
scniro,gulp-clean-css,0.8,0.7,37.6,33.6,10.9,0.6,0.0,36.6,37.3,29.3,52.2,27.4,43.8,0.0,20.0,12.025,20.0,18.175,22.799999999999997,17.666666666666668,135.0,165.0,F,F
