owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
mariocasciaro,object-path,28.8,7.6,0.0,60.8,46.6,6.2,18.7,0.0,0.0,46.3,46.4,38.7,70.9,29.2,38.8,69.8,0.0,46.5,30.4,30.0,52.03333333333333,17.683333333333334,28.75,36.375,27.602777777777778,428.0,C,444.5,C,-0.28992365378171475,C,-0.21080637687272558,C
SheetJS,sheetjs,31.4,39.9,14.6,24.7,46.4,10.3,23.6,7.3,0.0,67.6,96.2,97.1,42.4,34.9,38.5,45.4,10.1,59.9,67.9,37.0,78.66666666666667,27.391666666666666,31.4,37.574999999999996,32.12222222222222,577.0,C,636.5,B,0.1077168208375936,C,0.34461542307799586,C
jaredhanson,passport-strategy,32.9,7.0,0.0,40.4,84.1,6.6,19.7,0.0,0.0,31.1,15.5,19.3,59.3,30.5,16.1,45.8,0.0,2.5,13.8,21.7,31.399999999999995,12.774999999999999,32.875,19.7,21.78333333333333,205.0,D,185.0,F,-0.8019438100985259,D,-0.8693779396714382,D
gulpjs,vinyl-fs,36.0,33.6,0.0,54.0,56.2,6.5,19.6,0.0,0.0,51.8,45.3,51.3,62.8,48.0,43.6,48.5,11.8,70.7,34.4,34.5,53.166666666666664,18.191666666666666,35.95,44.75,32.96388888888889,600.0,B,586.5,C,0.18177033270584853,C,0.1462504945241668,C
oclif,config,19.4,8.1,16.2,22.6,30.8,24.2,24.9,29.5,18.2,22.7,10.3,22.1,25.0,33.5,47.7,54.7,29.6,58.8,18.9,28.5,19.133333333333333,22.933333333333334,19.425,44.15,28.83611111111111,478.0,C,395.0,D,-0.1814095967866486,C,-0.329825334005023,C
SeleniumHQ,selenium,50.0,40.8,33.7,93.1,32.2,47.5,51.9,47.5,43.1,74.4,95.3,97.0,46.1,59.3,53.1,66.9,45.5,46.9,79.9,56.2,79.56666666666666,55.516666666666666,49.94999999999999,54.650000000000006,53.37222222222223,983.0,A,978.5,A,1.9773846947390759,A,1.8680580743714035,A
wnr,element-resize-detector,37.2,30.6,0.0,48.9,69.2,6.3,18.9,0.0,0.0,38.3,50.9,42.6,40.9,18.7,30.4,59.3,0.0,31.8,33.3,28.0,44.833333333333336,15.933333333333334,37.175,27.45,26.852777777777778,398.0,D,372.5,D,-0.35591193168412,C,-0.36949831971578884,C
browserify,browserify,41.0,17.5,0.6,81.4,64.5,15.0,30.2,7.6,7.2,69.9,85.5,82.8,52.6,58.5,39.6,42.8,3.6,72.3,61.1,41.4,73.73333333333333,29.683333333333334,41.0,44.3,38.327777777777776,725.0,B,737.5,B,0.6537087202226799,B,0.6937376973327349,B
mathiasbynens,base64,29.7,7.0,0.0,46.3,65.4,6.3,19.0,0.0,0.0,35.7,33.6,40.6,45.0,23.6,13.8,38.8,0.0,2.6,26.8,21.4,39.73333333333333,14.683333333333332,29.675,16.25,20.20277777777778,167.0,F,176.5,F,-0.9410079957521129,D,-0.8931817310978978,D
mscdex,ssh2,45.2,47.5,16.2,58.8,58.2,20.6,37.1,17.4,7.3,54.5,70.9,74.5,35.1,37.4,23.0,35.1,14.6,19.2,55.3,35.8,60.26666666666667,30.51666666666667,45.175,26.574999999999996,34.08888888888888,621.0,B,607.5,B,0.2807527495594557,C,0.24940025737215768,C
airbnb,enzyme,43.4,22.8,12.5,76.5,62.0,10.2,24.0,6.5,0.0,61.6,89.6,89.9,54.1,12.9,41.1,50.7,13.4,59.0,63.2,39.1,77.93333333333332,27.10833333333333,43.45,34.0,34.85277777777778,637.5,B,679.0,B,0.34796303260820277,C,0.5112419630632125,B
epeli,underscore.string,12.2,10.1,0.0,38.8,0.0,6.4,19.1,0.0,0.0,60.3,64.7,68.1,52.3,56.0,37.9,56.1,0.0,57.7,46.4,29.2,61.800000000000004,20.225,12.225,42.45,24.96666666666667,318.0,D,416.5,C,-0.5218602305572057,D,-0.27428315400995096,C
sindresorhus,user-home,40.1,30.6,0.0,54.3,75.6,6.4,19.1,0.0,0.0,29.1,18.4,12.7,63.3,22.2,17.5,40.7,0.0,11.7,12.5,23.3,31.599999999999998,12.675,40.125,18.650000000000002,23.816666666666666,275.0,D,226.5,D,-0.6230422566742272,D,-0.7424243853969875,D
angular,components,48.8,36.0,27.1,67.3,64.6,47.5,51.9,47.7,42.9,72.8,92.7,96.7,59.4,42.6,56.1,78.1,46.0,44.1,79.0,56.3,83.03333333333333,56.38333333333334,48.75,52.699999999999996,52.611111111111114,978.0,A,980.5,A,1.9104188127195978,A,1.8759926715135562,A
vuejs,vue-style-loader,19.6,5.1,0.0,26.8,46.7,7.5,22.4,0.0,0.0,34.6,21.9,32.5,71.6,12.3,35.7,56.1,0.0,51.1,20.6,24.4,42.0,16.1,19.65,29.875,21.875,206.0,D,255.5,D,-0.7938785761326762,D,-0.6551438168333028,D
stevemao,left-pad,27.1,18.0,0.0,25.8,64.7,7.5,22.4,0.0,0.0,48.4,50.5,48.2,70.1,24.9,32.7,45.3,0.0,52.8,35.4,28.9,56.300000000000004,19.675,27.125,30.75,25.849999999999998,357.0,D,407.0,C,-0.44414070324992866,C,-0.29808694543641046,C
remarkjs,react-markdown,46.1,36.1,24.6,79.3,44.2,27.1,42.2,28.4,10.8,58.7,82.1,78.5,45.6,28.6,46.2,45.1,24.1,69.3,62.6,44.5,68.83333333333333,37.55833333333334,46.05,41.775,41.794444444444444,803.0,A,804.0,A,0.9587212047493531,B,0.9397102087394832,B
Hacker0x01,react-datepicker,49.0,36.6,29.3,85.5,44.5,46.2,52.1,45.9,40.6,65.8,75.8,90.9,44.8,51.5,58.2,61.4,43.4,69.9,71.0,54.8,70.60000000000001,52.3,48.975,56.550000000000004,52.60833333333334,977.0,A,965.5,A,1.91017441169033,A,1.7569737143812587,A
