owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
caolan,async,41.7,45.1,32.8,8.5,80.4,30.9,29.3,32.7,30.7,83.9,94.7,91.9,93.3,55.6,61.5,83.9,29.9,70.6,72.5,54.5,93.30000000000001,46.5,41.7,60.0,49.4,938.0,A,962.0,A,1.603199426369846,A,1.733138529058106,A
thlorenz,convert-source-map,43.2,22.1,10.6,62.3,77.6,9.0,13.9,4.4,8.8,44.3,19.1,30.2,94.4,33.4,32.1,39.8,5.4,51.1,19.4,32.1,47.9,18.75,43.15,32.425000000000004,31.441666666666666,566.0,C,523.0,C,0.04952717808275158,C,-0.0423501610319244,C
cosmiconfig,cosmiconfig,43.9,39.8,24.1,79.5,32.4,31.8,39.5,31.1,24.7,56.5,66.6,46.2,92.0,21.4,52.3,61.3,26.5,69.0,48.2,46.1,68.26666666666667,40.891666666666666,43.95,44.550000000000004,43.13055555555556,827.0,A,829.5,A,1.0607959825362854,B,1.0673302702743448,B
dougwilson,nodejs-depd,28.9,16.3,0.0,36.3,63.1,6.1,18.3,0.0,0.0,49.4,26.1,37.8,98.1,35.8,16.0,46.6,0.0,1.5,23.3,25.1,54.0,18.075,28.924999999999997,20.975,22.65833333333333,227.0,D,274.0,D,-0.7103663484576651,D,-0.5971903766850589,D
facebook,regenerator,41.4,27.9,33.8,57.1,46.7,32.0,33.5,34.5,28.1,57.6,66.9,82.9,33.3,47.4,42.4,35.4,28.7,63.0,60.6,43.4,61.03333333333334,39.28333333333333,41.375,43.625,41.42777777777778,795.0,B,784.0,B,0.9134794955757298,B,0.8533204728081355,B
sindresorhus,strip-json-comments,41.0,28.7,4.8,56.4,74.2,11.8,16.1,4.3,14.9,48.7,36.3,27.9,93.8,36.8,32.2,37.5,10.2,49.0,25.3,33.4,52.666666666666664,21.991666666666667,41.025,33.375,32.13055555555555,578.5,C,563.0,C,0.1091266703604311,C,0.06069159330365751,C
jonschlinkert,isobject,32.2,10.3,0.0,37.1,81.3,3.6,10.8,0.0,0.0,36.1,15.3,14.4,90.1,24.5,28.8,44.9,0.0,41.5,11.1,25.2,39.93333333333333,12.683333333333334,32.175,27.725,24.194444444444446,284.0,D,277.0,D,-0.577469093499774,D,-0.5892640878900144,D
jshttp,mime-types,32.6,30.7,3.7,39.4,56.9,9.0,17.4,9.7,0.0,59.6,50.1,43.6,99.2,45.4,31.1,39.5,8.8,45.1,34.2,33.1,64.3,22.85,32.675,34.699999999999996,30.075,522.0,C,554.5,C,-0.06871052433909694,C,0.036912726918523396,C
node-fetch,node-fetch,36.5,26.6,17.2,92.7,9.6,14.6,24.8,17.3,1.7,70.9,77.6,81.6,82.1,42.2,41.8,38.5,9.3,77.6,57.9,41.0,80.43333333333332,31.05833333333333,36.525,41.9,36.49444444444444,677.0,B,732.5,B,0.4866702282968618,C,0.6630895417270609,B
pillarjs,path-to-regexp,31.7,31.4,2.9,40.0,52.5,6.5,11.9,5.8,1.8,71.7,76.3,66.5,95.5,48.5,46.1,73.2,4.7,60.4,49.8,39.0,79.43333333333334,24.733333333333334,31.700000000000003,46.699999999999996,34.37777777777777,629.0,B,677.5,B,0.30354598186302323,C,0.5045637658261652,B
jshttp,cookie,41.9,43.7,24.2,42.7,57.0,16.4,16.3,17.9,15.0,61.3,49.9,49.0,96.0,50.5,37.3,38.9,17.4,55.6,38.4,39.2,64.96666666666667,28.541666666666668,41.900000000000006,40.6,37.01388888888889,688.0,B,681.5,B,0.5316101680385,B,0.5204163434162551,B
evanw,node-source-map-support,22.3,4.0,0.0,21.3,63.8,5.0,11.4,3.7,0.0,40.6,58.5,59.6,6.2,38.0,37.1,47.9,0.0,63.5,41.0,26.3,41.43333333333333,14.133333333333333,22.275,37.35,24.58611111111111,295.0,D,312.5,D,-0.543583898293513,D,-0.5020749111445216,D
paulmillr,chokidar,29.3,31.7,8.7,40.7,36.2,18.6,28.9,11.2,15.6,75.0,80.0,71.7,97.8,50.3,47.9,54.2,18.1,71.3,56.8,42.7,83.16666666666667,34.71666666666667,29.325000000000003,48.474999999999994,37.50555555555555,702.0,B,763.5,B,0.5741469024463596,B,0.7978364512428223,B
tooTallNate,proxy-agents,34.4,37.7,18.5,2.7,78.5,38.6,48.6,31.7,35.6,38.5,41.2,56.2,3.2,53.6,35.8,26.4,35.2,45.6,45.3,36.8,33.53333333333334,37.358333333333334,34.35,40.2,37.302777777777784,696.0,B,629.5,B,0.5566035035097853,B,0.3301854123351799,C
isaacs,once,27.6,7.7,1.1,14.6,87.0,12.6,25.7,2.3,9.8,44.3,21.7,19.1,99.3,37.0,35.8,80.2,6.6,20.7,17.8,30.1,46.699999999999996,21.124999999999996,27.6,36.125,28.28333333333333,454.0,C,448.0,C,-0.2237172683677399,C,-0.20087593693282,C
browserslist,browserslist,25.5,28.8,19.4,38.9,15.0,36.4,47.5,27.8,33.9,67.9,83.0,74.2,94.7,19.8,49.6,49.7,28.9,70.0,64.5,44.8,83.96666666666665,48.291666666666664,25.525,42.1,38.638888888888886,732.0,B,812.5,A,0.6721976800644778,B,0.9642885159387623,B
mrmlnc,fast-glob,48.0,47.2,19.1,82.4,43.5,32.1,41.0,34.4,21.0,54.7,59.4,40.9,91.9,26.5,30.3,40.1,29.9,20.9,44.1,41.3,64.06666666666666,40.11666666666667,48.050000000000004,29.35,39.172222222222224,743.0,B,739.0,B,0.7183392224730045,B,0.686868408112195,B
sindresorhus,path-is-absolute,42.7,29.4,0.0,67.5,73.7,7.4,22.1,0.0,0.0,35.3,11.9,12.0,99.0,18.4,16.3,43.8,0.0,5.1,10.4,25.4,40.96666666666667,15.766666666666667,42.650000000000006,16.825,25.08055555555556,319.5,D,283.5,D,-0.5008068433522745,D,-0.5734115102999249,D
sindresorhus,ansi-escapes,41.4,6.3,1.4,84.2,73.8,8.8,21.7,4.0,0.6,44.2,32.2,27.6,91.6,25.4,29.8,41.4,7.0,41.0,22.9,31.0,50.46666666666667,19.191666666666666,41.425,28.700000000000003,29.772222222222222,511.0,C,482.0,C,-0.09490546247727064,C,-0.12953933777741708,C
jquery,esprima,29.3,13.6,0.0,42.3,61.3,7.2,21.5,0.0,0.0,71.7,74.2,77.4,93.6,41.6,50.5,81.6,18.2,51.6,52.9,39.7,81.73333333333333,25.808333333333334,29.299999999999997,48.24999999999999,34.452777777777776,630.0,B,699.0,B,0.3100346362642225,C,0.560047787391479,B
npm,ini,42.5,15.7,25.1,67.8,61.4,28.2,29.1,30.4,25.1,59.9,39.7,57.8,92.8,49.4,42.1,38.7,32.2,55.3,41.9,43.2,63.43333333333334,37.00833333333333,42.5,43.9,41.13611111111111,788.5,B,777.0,B,0.8882458395710673,B,0.8374678952180462,B
salesforce,tough-cookie,45.8,31.6,30.3,76.0,45.4,34.7,39.2,38.0,26.7,58.4,43.8,50.7,91.5,47.6,52.4,51.7,29.8,75.8,43.1,47.8,62.0,41.474999999999994,45.825,51.225,46.175000000000004,876.0,A,850.5,A,1.3241872871182894,B,1.2020771797901058,B
jonschlinkert,is-plain-object,35.1,12.1,0.0,47.2,81.2,6.9,20.8,0.0,0.0,38.2,18.2,18.6,89.2,26.9,26.2,45.4,0.0,33.1,14.6,26.6,42.0,15.7,35.125,26.35,25.725000000000005,352.0,D,324.5,D,-0.4450524796086386,C,-0.47829604475938725,C
alexei,sprintf.js,27.0,7.1,6.7,59.2,34.9,19.8,26.2,17.1,16.0,39.2,58.1,62.4,3.3,33.0,36.2,46.6,8.0,53.9,46.8,30.5,41.266666666666666,25.141666666666666,26.975,35.375,29.16388888888889,491.0,C,465.5,C,-0.14753565928699566,C,-0.16917078175264097,C
mafintosh,pump,24.6,8.8,0.0,19.7,69.8,5.9,17.8,0.0,0.0,48.5,44.6,30.8,88.7,30.0,19.9,33.7,0.0,26.0,27.1,24.7,54.70000000000001,18.125000000000004,24.575,22.425,21.708333333333332,202.0,D,262.0,D,-0.7925559708728523,D,-0.6288955318652383,D
