owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
jergason,recursive-readdir,726,613,181,189,658,N/A,148,165,N/A,N/A,N/A,953,622,708,845,229,267,421,722,654,381,657,180,N/A,539,N/A,N/A,N/A,34,N/A,266
blakeembrey,change-case,416,616,463,191,76,N/A,252,325,268,180,244,651,384,707,751,220,400,509,571,274,664,319,346,232,133,158,283,122,33,305,254
webpack-contrib,webpack-bundle-analyzer,171,302,305,210,656,N/A,101,139,213,215,272,56,489,65,374,412,308,904,753,267,425,317,834,622,346,157,232,260,25,123,261
isaacs,node-touch,837,866,231,209,655,N/A,N/A,N/A,N/A,N/A,N/A,969,620,706,666,106,144,432,868,696,896,938,151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265
remy,nodemon,64,122,225,217,897,148,347,310,235,274,50,162,112,257,75,153,551,777,768,34,364,363,66,130,126,243,241,133,113,304,203
matthew-andrews,isomorphic-fetch,257,385,286,216,654,N/A,N/A,482,N/A,N/A,N/A,650,571,704,569,273,210,339,305,711,614,772,599,454,524,N/A,N/A,N/A,483,N/A,202
que-etc,resize-observer-polyfill,450,526,369,215,669,N/A,N/A,N/A,N/A,N/A,N/A,505,570,655,729,955,651,695,888,710,888,771,818,375,N/A,N/A,N/A,N/A,N/A,N/A,264
node-modules,detect-port,718,815,429,214,581,N/A,N/A,N/A,N/A,N/A,51,781,517,261,371,335,486,275,340,286,486,580,671,468,N/A,N/A,474,N/A,N/A,N/A,269
babel,babylon,451,403,891,213,580,N/A,N/A,N/A,N/A,N/A,N/A,82,201,41,906,533,586,867,895,709,793,51,787,179,N/A,N/A,N/A,N/A,N/A,N/A,227
emotion-js,emotion,129,183,519,222,966,195,362,412,221,402,37,303,78,64,372,870,765,979,893,199,548,56,876,14,79,199,171,351,418,400,215
slevithan,xregexp,361,359,279,223,579,N/A,98,138,N/A,N/A,N/A,523,568,653,369,905,537,788,341,708,578,272,198,404,362,N/A,473,N/A,37,N/A,214
auth0,jwt-decode,370,344,447,256,987,156,136,68,56,114,228,183,200,673,457,112,475,650,591,108,400,416,489,502,218,126,56,73,36,122,224
