owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
sindresorhus,boxen,0.07,0.01,9.40,1.48,1.07,0.02,0.16,0.22,10.00,0.35,0.13,0.04,0.42,7.00,1.76,4.27,4.55,1.00,0.00,1.76,1.50,0.00,1.61,0.19,2.00,0.05,0.13,0.06,8.60,0.56,0.07,0.01,0.02,0.65,,,8.50,10.00,6.01,0.00,1.50,0.02,0.10,0.05,,5.12,,,0.82,,1.61,0.01,0.00
maxogden,extract-zip,0.02,0.02,5.40,1.32,1.43,0.03,0.72,0.16,8.00,2.44,1.57,0.04,1.20,5.00,1.69,2.44,2.73,0.00,0.00,3.53,4.50,0.09,0.49,0.05,3.00,0.11,0.11,0.13,6.70,0.40,0.02,0.02,0.01,0.81,,,5.70,,,0.00,0.98,0.01,0.10,0.01,,5.93,,,0.82,,0.49,0.13,0.00
dominictarr,rc,0.05,0.01,6.80,0.39,0.49,0.03,0.48,0.00,8.00,0.34,0.41,0.03,1.43,6.00,3.16,4.63,3.64,0.00,0.00,2.94,4.50,0.07,2.44,0.07,0.00,0.06,0.14,0.34,9.10,0.71,0.05,0.01,0.03,1.05,,,4.20,8.12,7.41,0.00,1.89,0.00,0.08,,,7.44,,,0.82,,2.44,0.00,0.00
protobufjs,protobuf.js,0.44,0.18,2.50,0.54,1.38,0.39,3.79,0.44,7.00,0.89,0.62,0.26,6.79,6.00,0.51,1.83,10.00,1.00,0.26,2.94,3.00,1.17,0.00,0.00,2.00,0.16,0.66,0.47,5.70,0.95,0.44,0.18,0.25,1.11,0.12,0.02,3.70,0.01,8.20,0.00,0.49,0.07,0.48,0.10,,7.05,0.27,0.54,1.23,0.35,0.01,0.53,0.00
kriskowal,q,0.68,0.15,8.00,0.40,0.27,0.33,2.74,1.38,10.00,0.62,0.13,0.19,2.56,5.00,2.72,3.78,6.36,0.00,0.00,2.35,2.00,0.21,4.36,0.39,0.00,0.12,0.44,0.89,9.20,1.51,0.68,0.15,0.60,1.01,,,5.70,1.48,7.37,0.00,1.32,0.04,0.18,,,8.76,,,0.82,,4.37,0.01,0.00
chimurai,http-proxy-middleware,0.47,0.10,8.20,1.17,0.76,0.22,5.28,2.72,9.00,0.43,0.04,0.18,1.59,7.00,2.72,2.56,1.82,0.00,0.17,4.41,1.00,0.20,4.68,0.28,4.00,0.10,0.19,0.05,8.70,2.78,0.47,0.10,0.18,0.97,0.02,0.00,7.10,0.13,2.69,0.01,0.25,0.02,0.23,0.14,,5.65,,0.00,0.96,0.09,4.68,0.91,1.71
jantimon,html-webpack-plugin,0.48,0.17,9.30,0.81,0.55,0.43,4.07,1.54,10.00,0.71,1.25,0.28,5.80,5.00,1.18,3.54,3.64,10.00,0.00,3.24,2.50,0.07,3.87,2.32,1.00,0.11,1.07,0.71,9.40,0.79,0.48,0.17,0.18,1.02,0.06,0.16,5.70,1.82,4.28,0.00,0.96,0.15,0.25,0.00,,6.07,0.00,,0.68,0.00,3.87,2.14,0.00
reactjs,react-transition-group,0.46,0.08,6.10,0.37,0.62,0.34,4.93,0.56,9.00,0.49,0.70,0.22,2.70,7.00,2.28,3.41,4.55,0.00,4.74,3.82,2.00,0.41,1.01,0.28,3.00,0.29,0.49,0.24,8.00,0.32,0.46,0.08,0.12,0.97,,,5.00,0.63,4.10,0.00,2.00,0.03,0.17,0.06,,4.49,,,0.82,,1.02,7.62,0.00
auth0,node-jsonwebtoken,0.79,0.15,7.70,0.44,0.35,0.27,5.37,1.30,9.00,0.91,0.24,0.12,4.11,6.00,1.76,2.32,8.18,0.00,0.00,4.41,3.00,0.29,0.00,0.00,0.00,0.14,0.55,0.69,8.80,1.35,0.79,0.15,0.38,1.06,0.00,,7.50,3.99,5.96,0.00,1.91,0.02,0.17,,,6.82,0.00,,0.68,,0.01,0.05,0.00
react-bootstrap,dom-helpers,0.02,0.01,5.90,0.83,1.28,0.03,0.23,0.04,9.00,0.61,0.50,0.12,0.69,8.00,2.06,1.22,0.91,0.00,1.90,2.35,1.00,0.05,1.03,0.03,3.00,0.10,0.13,0.21,7.30,0.16,0.02,0.01,0.02,0.78,,,3.70,0.15,6.03,0.00,0.35,0.02,0.12,,,5.65,,,0.82,,1.03,3.57,0.00
mde,ejs,0.34,0.10,8.10,0.32,0.35,0.22,3.28,1.82,9.00,1.77,0.20,0.10,1.92,6.00,2.35,3.78,2.73,0.00,0.00,2.65,2.00,0.20,3.27,0.52,0.00,0.09,0.75,1.71,9.20,1.75,0.34,0.10,0.18,0.99,,,7.10,0.40,7.98,0.00,0.49,0.36,0.18,0.09,,5.79,,,0.82,,3.27,0.25,0.29
TooTallNate,node-bindings,0.02,0.01,5.50,1.09,1.53,0.02,0.69,0.00,8.00,2.26,1.29,0.00,0.51,5.00,1.84,2.44,2.73,0.00,0.00,4.71,5.50,0.06,0.00,0.00,0.00,0.09,0.05,0.10,7.70,0.08,0.02,0.01,0.02,0.71,,,4.20,3.55,6.47,0.00,1.29,0.00,,0.00,,7.80,,,0.82,,0.00,0.00,0.00
hij1nx,EventEmitter2,0.13,0.03,8.20,1.39,0.43,0.05,0.92,0.80,9.00,0.64,0.28,0.07,1.57,8.00,2.43,2.56,3.64,0.00,0.00,2.35,2.50,0.07,0.29,0.08,1.00,0.10,0.46,1.05,9.00,3.25,0.13,0.03,0.06,0.76,0.00,,5.00,,,0.00,1.20,0.01,0.10,0.04,,8.26,,,0.82,0.00,0.29,0.01,1.43
sindresorhus,pretty-bytes,0.05,0.01,8.90,0.31,0.01,0.01,0.28,0.14,10.00,0.21,0.02,0.01,0.39,5.00,1.76,2.93,3.64,0.00,0.00,2.35,2.50,0.01,3.65,0.09,2.00,0.04,0.10,0.06,9.10,0.48,0.05,0.01,0.02,0.63,,,8.50,10.00,6.01,0.00,1.62,0.00,0.10,0.02,,6.40,,,0.82,,3.64,0.01,0.00
webpack-contrib,sass-loader,0.18,0.05,9.90,0.27,0.16,0.28,5.32,2.08,10.00,0.21,0.03,0.22,4.04,8.00,3.16,2.93,3.64,10.00,0.09,4.41,2.00,0.02,4.20,2.87,4.00,0.11,0.54,0.52,9.60,1.51,0.18,0.05,0.08,0.95,0.32,0.40,6.20,0.78,6.35,0.01,0.47,0.08,0.71,0.21,,6.40,0.54,0.27,0.82,0.18,4.20,2.16,0.00
AriaMinaei,pretty-error,0.07,0.01,6.10,0.80,0.49,0.04,0.33,0.18,7.00,0.65,0.20,0.01,0.28,6.00,2.43,2.07,1.82,0.00,0.13,2.65,3.00,0.04,3.76,0.03,1.00,0.05,0.06,0.08,9.00,0.87,0.07,0.01,0.03,0.98,,,4.20,0.71,5.83,0.00,0.47,0.01,0.13,,,6.60,,,0.82,,3.76,0.04,0.00
handlebars-lang,handlebars.js,0.80,0.26,8.80,1.60,1.42,0.26,3.24,1.72,9.00,0.62,0.25,0.21,6.40,7.00,0.88,3.17,3.64,4.00,1.59,2.65,3.00,0.16,1.35,0.54,0.00,0.13,1.09,2.00,8.40,0.08,0.80,0.26,0.67,1.00,0.02,0.00,7.50,0.06,4.91,0.00,1.55,0.11,0.30,0.00,,8.83,0.00,,0.68,,1.36,1.28,2.57
browserify,commonjs-assert,0.01,0.01,9.20,1.71,2.72,0.01,0.20,0.00,9.00,1.05,0.72,0.02,0.44,5.00,2.87,5.00,1.82,0.00,0.00,3.24,2.50,0.01,0.00,0.00,1.00,0.08,0.09,0.18,9.60,0.56,0.01,0.01,0.01,1.21,,,5.00,0.67,6.86,0.00,0.61,0.01,0.10,0.00,,6.55,,,0.82,,0.00,0.02,0.00
JedWatson,classnames,0.79,0.07,9.80,0.82,0.46,0.07,1.70,2.26,10.00,1.07,0.50,0.13,2.63,7.00,2.72,3.41,2.73,10.00,0.00,4.12,3.00,0.01,1.18,1.41,3.00,0.16,0.27,0.52,9.70,0.71,0.79,0.07,0.18,0.80,1.02,0.96,5.70,0.90,6.19,0.00,2.35,0.02,0.10,,,5.90,0.81,0.27,0.68,0.35,1.19,0.10,0.29
motdotla,dotenv-expand,0.04,0.01,9.80,1.99,1.48,0.02,0.40,0.06,10.00,2.07,1.24,0.05,0.97,6.00,1.99,2.32,0.91,10.00,0.13,3.24,3.00,0.00,3.41,0.21,3.00,0.08,0.16,0.32,9.00,1.11,0.04,0.01,0.01,0.72,0.28,1.78,5.70,2.30,6.38,0.00,1.58,0.01,0.12,,,5.07,,,0.82,0.09,3.41,0.61,0.86
mafintosh,tar-fs,0.02,0.01,9.80,3.30,1.93,0.04,0.48,0.00,10.00,2.75,0.98,0.02,0.55,7.00,2.50,3.54,1.82,1.00,0.00,2.94,3.00,0.00,0.45,0.04,0.00,0.05,0.14,0.23,9.10,0.40,0.02,0.01,0.01,0.84,0.00,0.02,4.20,8.33,5.70,0.00,1.51,0.01,0.08,,,6.50,,,0.82,0.00,0.45,0.00,0.00
webpack-contrib,mini-css-extract-plugin,0.21,0.05,9.30,0.47,0.17,0.39,5.87,0.92,10.00,0.47,0.02,0.34,4.48,7.00,3.38,3.90,3.64,10.00,0.00,4.71,2.00,0.10,4.03,1.03,6.00,0.10,0.45,0.16,9.60,1.98,0.21,0.05,0.12,1.01,0.32,0.34,6.20,0.78,6.35,0.01,0.43,0.23,0.55,0.18,,3.62,0.54,0.41,0.96,0.44,4.03,2.48,0.00
webpack,webpack-dev-server,0.35,0.18,9.70,0.17,0.07,0.69,3.85,0.20,10.00,0.11,0.00,1.45,0.46,7.00,0.96,0.37,0.91,10.00,0.00,3.24,0.00,0.08,4.79,3.27,5.00,0.30,1.64,1.16,9.60,1.11,0.35,0.18,0.18,0.84,0.84,2.55,7.50,0.44,6.89,0.06,1.16,0.41,0.80,0.31,,7.36,,0.14,1.10,0.26,4.79,2.09,2.86
bripkens,connect-history-api-fallback,0.08,0.02,7.90,0.19,0.39,0.02,0.42,0.00,10.00,0.69,0.01,0.02,0.35,5.00,2.28,1.83,2.73,0.00,1.59,2.94,2.50,0.02,4.86,0.21,1.00,0.09,0.07,0.10,8.40,0.63,0.08,0.02,0.04,0.82,,,4.20,0.96,5.67,0.00,0.43,0.00,0.12,,,6.90,,,0.82,,4.86,1.52,0.00
webpack-contrib,file-loader,0.09,0.03,10.00,0.87,0.49,0.16,2.98,1.18,10.00,0.62,0.18,0.09,2.03,7.00,3.46,4.76,3.64,0.00,1.77,4.71,3.00,0.00,4.31,2.27,2.00,0.08,0.33,0.34,9.60,2.78,0.09,0.03,0.05,0.85,,,6.20,0.78,6.35,0.00,0.98,0.03,0.65,0.08,,7.61,,,0.82,,4.31,3.95,0.00
jashkenas,underscore,1.24,0.71,9.50,0.77,0.53,0.28,2.95,7.52,10.00,1.25,0.15,0.31,3.88,6.00,1.03,1.34,1.82,0.00,1.29,2.35,1.50,0.09,0.90,0.85,1.00,0.13,1.64,4.01,9.30,0.00,1.24,0.71,1.25,0.83,,0.04,8.50,0.20,7.82,0.00,1.77,0.18,0.18,,,9.35,,,0.82,,0.92,1.12,3.14
github,fetch,1.18,0.36,9.90,0.38,0.17,0.28,3.32,0.06,10.00,0.36,0.07,0.17,4.02,5.00,1.40,2.93,8.18,10.00,0.00,2.65,2.50,0.01,3.61,0.33,1.00,0.18,0.45,0.68,7.80,1.19,1.18,0.36,0.93,1.02,0.44,0.24,8.50,4.45,4.67,0.02,2.69,0.02,0.17,0.13,,5.94,0.27,0.00,0.68,0.09,3.63,0.11,3.14
prettier,eslint-plugin-prettier,0.14,0.03,9.70,0.52,0.43,0.13,3.28,0.72,10.00,0.26,0.09,0.25,1.13,6.00,2.94,2.07,3.64,10.00,0.00,5.29,0.50,0.02,0.83,4.27,4.00,0.54,0.21,0.15,9.00,1.11,0.14,0.03,0.03,1.18,0.40,0.34,6.20,0.36,3.79,0.01,1.02,0.03,0.35,0.02,,4.37,1.08,0.27,0.55,0.18,0.83,0.86,1.43
winstonjs,winston,0.99,0.23,4.30,0.76,1.20,0.39,4.89,4.06,9.00,0.68,0.33,0.37,3.97,6.00,0.74,0.98,5.45,10.00,0.00,3.82,1.50,0.87,0.26,0.59,1.00,0.20,2.18,2.13,7.80,3.10,0.99,0.23,0.34,1.06,0.68,0.48,7.50,0.16,6.87,0.01,1.72,0.08,0.47,0.05,,8.54,0.27,0.14,0.82,0.53,0.27,0.77,6.29
nodejs,node-gyp,0.44,0.22,6.90,0.40,0.22,0.66,4.43,5.12,10.00,0.76,0.25,0.31,5.54,4.00,0.74,3.17,3.64,9.00,0.00,3.53,2.50,0.37,1.56,0.10,2.00,0.22,1.40,0.95,8.20,1.35,0.44,0.22,0.39,3.61,0.30,0.22,8.70,1.87,5.18,0.02,0.80,0.37,0.76,0.03,,7.79,0.27,0.68,1.37,0.70,1.57,0.00,0.86
jsx-eslint,eslint-plugin-jsx-a11y,0.15,0.08,8.00,0.80,0.37,0.24,3.58,3.94,10.00,0.30,0.04,0.30,2.79,7.00,3.46,4.51,3.64,10.00,0.00,2.94,1.00,0.18,3.48,2.13,4.00,0.13,0.74,0.58,8.90,1.75,0.15,0.08,0.07,0.97,0.00,0.08,7.50,0.03,5.38,0.02,1.66,0.11,0.22,0.12,,5.02,,0.00,0.96,0.00,3.48,0.07,0.29
expressjs,serve-index,0.02,0.02,7.90,0.36,0.39,0.02,0.30,0.80,7.00,2.97,0.52,0.05,0.79,0.00,3.38,4.15,0.91,0.00,0.00,2.65,3.00,0.05,4.86,0.05,0.00,0.03,0.07,0.03,9.60,0.63,0.02,0.02,0.03,1.19,0.00,,5.00,0.26,7.12,0.00,0.12,0.00,0.35,0.08,,6.36,,,0.82,0.00,4.86,0.02,0.00
zspecza,common-tags,0.09,0.01,8.50,0.89,0.85,0.07,0.25,0.62,10.00,0.94,0.04,0.16,0.46,5.00,1.62,5.12,2.73,0.00,1.38,1.47,0.50,0.03,0.00,0.00,1.00,0.09,0.12,0.23,7.40,1.75,0.09,0.01,0.02,1.22,,,5.70,0.51,6.88,0.00,0.92,0.05,0.15,0.06,,5.24,,,0.82,,0.00,3.99,0.86
felixge,node-stack-trace,0.02,0.01,4.80,5.79,7.73,0.00,0.15,0.04,7.00,2.02,1.41,0.04,0.21,8.00,1.40,1.71,6.36,0.00,0.65,2.35,1.50,0.04,0.01,0.00,2.00,0.11,0.08,0.16,6.40,0.71,0.02,0.01,0.01,0.35,,,4.20,2.58,6.83,0.00,1.43,0.01,0.02,0.00,,8.21,,,0.82,,0.01,2.90,0.00
ramda,ramda,1.07,0.18,8.30,1.46,0.09,0.37,3.34,1.92,10.00,1.89,0.47,0.35,5.08,7.00,1.10,1.34,7.27,4.00,0.26,2.65,2.00,0.28,0.28,0.43,1.00,0.12,1.87,2.55,9.50,0.08,1.07,0.18,0.40,1.55,0.08,0.08,6.20,0.10,6.10,0.00,2.65,0.59,0.30,0.07,,6.84,0.27,0.00,0.68,0.18,0.29,1.13,0.29
syntax-tree,unist-util-visit,0.01,0.00,10.00,0.18,0.06,0.00,0.15,0.24,10.00,0.05,0.02,0.02,0.23,5.00,4.41,2.93,0.91,0.00,0.00,5.29,2.00,0.00,0.33,0.09,5.00,0.06,0.08,0.05,10.00,1.83,0.01,0.00,0.01,0.97,,,8.70,1.25,4.63,0.00,0.63,0.01,0.73,0.05,,5.45,,,0.82,,0.33,0.03,0.00
sindresorhus,gzip-size,0.01,0.00,8.80,0.00,0.00,0.01,0.04,0.02,10.00,0.01,0.01,0.01,0.14,9.00,1.40,1.10,3.64,0.00,0.00,2.35,2.00,0.00,3.43,0.09,0.00,0.03,0.09,0.15,8.80,0.79,0.01,0.00,0.01,1.46,,,8.50,0.26,5.40,0.00,1.64,0.00,0.10,0.01,,6.37,,,0.82,,3.43,0.01,0.00
survivejs,webpack-merge,0.12,0.02,9.90,1.25,0.75,0.08,0.95,0.34,9.00,0.80,0.00,0.04,0.58,9.00,3.38,2.56,1.82,0.00,0.00,2.94,1.50,0.01,1.91,1.17,1.00,0.08,0.20,0.29,9.60,1.11,0.12,0.02,0.02,1.03,,,6.20,0.33,5.10,0.00,0.76,0.01,0.17,,,5.46,,,0.82,,1.91,1.25,0.29
indutny,elliptic,0.07,0.04,4.90,0.50,0.39,0.07,1.24,0.02,7.00,1.14,0.24,0.05,1.32,2.00,2.65,4.76,2.73,0.00,1.42,2.35,3.00,0.24,3.05,0.10,0.00,0.05,0.15,0.05,7.20,0.79,0.07,0.04,0.08,0.90,,0.04,2.80,3.50,6.15,0.00,1.03,0.02,0.12,,,6.27,,,0.82,,3.05,0.30,0.00
cssnano,cssnano,0.21,0.04,8.40,0.57,0.25,0.30,3.46,7.04,10.00,0.18,0.03,0.51,1.48,8.00,2.43,1.71,0.91,10.00,0.09,2.65,0.50,0.16,4.10,0.48,2.00,0.11,0.66,0.27,9.40,0.40,0.21,0.04,0.07,0.74,0.62,1.20,5.00,0.01,4.70,0.01,0.78,0.47,0.40,0.27,,5.60,0.27,0.00,0.68,0.09,4.10,0.25,3.14
graphql,graphql-js,0.91,0.25,7.00,0.44,0.30,0.39,3.91,5.04,8.00,0.21,0.01,1.02,1.73,8.00,1.25,0.61,8.18,2.00,0.39,3.24,0.50,0.51,0.00,0.00,5.00,0.18,1.17,1.32,8.40,0.63,0.91,0.25,0.60,1.43,0.38,0.02,6.20,0.27,3.96,0.07,1.10,0.37,0.42,0.36,,5.45,1.08,0.41,0.68,0.70,0.01,3.69,0.00
kulshekhar,ts-jest,0.31,0.06,8.40,0.24,0.16,0.45,5.32,7.94,10.00,0.06,0.03,1.31,0.99,9.00,2.06,0.24,10.00,10.00,0.39,4.41,0.50,0.16,0.37,4.51,7.00,0.46,1.02,0.86,8.80,0.56,0.31,0.06,0.05,1.18,0.28,0.20,7.10,0.69,4.50,0.04,0.75,0.40,0.43,0.29,,4.65,0.00,0.27,1.10,0.18,0.38,3.94,2.86
aws,aws-sdk-js,0.34,0.20,8.20,0.70,0.69,0.78,3.53,9.86,9.00,0.70,0.24,0.44,2.98,8.00,0.29,0.98,1.82,10.00,0.00,2.94,1.50,0.28,0.00,0.00,1.00,0.10,1.16,1.16,9.30,1.59,0.34,0.20,0.35,1.21,0.40,1.82,10.00,3.98,3.14,0.06,0.54,0.49,0.80,4.26,,7.38,1.08,0.27,0.55,0.35,0.01,0.14,2.00
hughsk,flat,0.08,0.03,6.10,4.63,3.62,0.03,0.69,0.02,8.00,1.18,1.25,0.04,1.48,6.00,2.13,1.83,0.91,1.00,0.00,3.82,3.00,0.09,0.55,0.08,2.00,0.15,0.16,0.24,8.60,1.03,0.08,0.03,0.03,0.83,0.00,,4.20,4.46,7.36,0.00,3.43,0.00,0.10,0.00,,7.33,,0.00,0.96,0.00,0.55,0.09,0.00
alexreardon,memoize-one,0.13,0.01,9.80,1.12,0.35,0.04,0.27,0.14,9.00,0.39,0.25,0.21,0.53,3.00,3.82,1.71,0.91,0.00,0.73,2.35,0.50,0.03,0.46,0.09,2.00,0.05,0.09,0.11,8.90,1.51,0.13,0.01,0.02,0.67,,,4.20,0.55,5.01,0.00,0.22,0.00,0.18,0.05,,4.35,,,0.82,,0.46,1.91,0.00
expressjs,cors,0.27,0.06,8.00,0.38,0.53,0.04,0.89,1.12,9.00,0.35,0.17,0.03,1.04,5.00,2.35,2.20,1.82,0.00,0.00,3.24,2.50,0.05,2.04,0.48,0.00,0.06,0.24,0.32,9.20,1.03,0.27,0.06,0.13,1.07,0.00,,6.20,0.39,7.02,0.00,2.26,0.01,0.25,,,7.11,,0.00,0.96,0.00,2.05,0.02,1.71
remix-run,react-router,2.35,1.29,9.30,0.03,0.06,1.95,3.28,9.80,10.00,0.07,0.00,1.95,2.45,8.00,0.15,0.61,1.82,10.00,0.78,2.65,1.00,0.12,2.28,1.00,6.00,0.12,0.56,0.10,9.00,0.48,2.35,1.29,1.20,1.13,1.24,2.81,6.20,0.23,1.83,0.40,0.79,0.14,0.40,0.65,,6.22,2.43,0.68,0.27,1.40,2.31,3.50,1.71
crypto-browserify,createHash,0.00,0.00,6.00,1.05,0.99,0.01,0.12,0.10,10.00,0.33,0.01,0.04,0.09,9.00,2.72,2.20,4.55,0.00,0.00,3.24,1.50,0.01,0.00,0.00,1.00,0.05,0.02,0.05,8.70,0.08,0.00,0.00,0.01,0.60,,,5.00,,,0.00,0.57,0.00,0.10,,,5.77,,,0.82,,0.00,0.00,0.00
BerkeleyTrue,warning,0.01,0.00,10.00,0.38,0.09,0.01,0.08,0.08,8.00,0.78,0.03,0.04,0.25,6.00,2.28,2.44,1.82,0.00,2.07,2.06,1.00,0.01,0.85,0.10,4.00,0.21,0.06,0.06,7.30,0.32,0.01,0.00,0.01,3.34,,,5.70,0.79,2.93,0.00,1.03,0.00,0.15,0.01,,5.62,,,0.82,,0.85,1.96,1.14
then,is-promise,0.01,0.00,9.50,0.09,0.08,0.11,0.40,0.00,10.00,0.58,0.10,0.06,0.58,7.00,4.49,3.41,3.64,0.00,0.00,7.35,5.00,0.00,1.98,0.04,4.00,0.07,0.07,0.06,9.10,0.32,0.01,0.00,0.01,0.96,,,5.00,0.16,7.17,0.00,0.52,0.00,0.08,0.01,,7.18,,,0.82,,1.98,0.00,0.00
immerjs,immer,1.22,0.11,9.40,0.21,0.17,0.41,3.26,7.72,10.00,0.37,0.04,0.32,2.54,8.00,2.13,3.90,5.45,4.00,1.34,2.65,1.00,0.09,2.78,0.18,3.00,0.15,1.10,0.92,9.60,0.40,1.22,0.11,0.23,1.53,0.10,,6.20,0.01,4.32,0.01,1.02,0.08,0.47,0.26,,3.74,0.27,0.14,0.82,0.26,2.80,4.45,0.00
avoidwork,filesize.js,0.07,0.01,10.00,0.16,0.24,0.03,0.39,0.24,10.00,0.11,0.28,0.07,0.32,9.00,2.94,1.22,1.82,0.00,0.00,1.76,0.50,0.00,3.31,0.09,3.00,0.10,0.14,0.31,9.30,1.75,0.07,0.01,0.03,0.58,,,4.20,0.61,6.47,0.00,0.89,0.01,0.13,,,7.74,,,0.82,,3.31,0.22,0.00
jest-community,eslint-plugin-jest,0.05,0.03,9.20,0.82,0.29,0.26,1.88,5.58,10.00,0.05,0.17,0.95,0.88,9.00,2.65,0.85,2.73,10.00,0.00,2.06,0.50,0.07,2.38,1.18,5.00,0.26,0.81,0.16,9.70,1.27,0.05,0.03,0.02,1.15,0.78,0.78,3.70,0.15,4.37,0.04,1.30,0.17,1.26,0.63,,3.83,0.27,0.41,1.10,0.53,2.38,1.45,0.00
typicode,husky,1.42,0.13,9.70,0.41,0.30,0.54,6.90,1.70,10.00,1.20,0.48,0.18,5.54,6.00,1.69,2.32,2.73,10.00,0.13,5.59,3.00,0.03,0.41,4.63,3.00,0.06,0.73,0.19,9.40,0.63,1.42,0.13,0.23,0.81,0.64,1.10,5.70,0.66,5.13,0.01,0.66,0.03,0.13,0.17,,6.15,0.00,1.49,2.33,1.40,0.43,0.16,0.00
mscdex,busboy,0.12,0.03,9.40,1.56,0.49,0.10,2.17,1.06,8.00,3.17,0.88,0.03,1.34,1.00,2.94,3.17,0.91,0.00,0.00,3.24,3.50,0.05,0.90,0.04,2.00,0.08,0.09,0.10,9.60,0.56,0.12,0.03,0.06,1.13,0.00,,4.20,0.76,6.11,0.00,0.68,0.00,0.12,,,6.89,0.00,,0.68,,0.90,0.01,0.00
stefanpenner,es6-promise,0.33,0.08,8.70,0.58,0.51,0.11,1.65,0.40,10.00,0.30,0.25,0.14,1.78,7.00,3.38,1.95,2.73,0.00,4.09,3.82,2.00,0.05,1.04,0.41,0.00,0.11,0.47,0.99,8.60,0.56,0.33,0.08,0.20,0.62,,,4.20,5.58,6.52,0.00,1.89,0.06,0.17,,,6.52,,,0.82,,1.05,1.96,0.00
postcss,postcss-import,0.06,0.02,9.90,0.60,0.07,0.13,2.30,1.62,10.00,0.36,0.05,0.14,1.71,7.00,4.19,3.29,6.36,10.00,0.00,3.24,1.50,0.01,2.81,0.51,2.00,0.10,0.21,0.26,9.50,0.63,0.06,0.02,0.03,1.26,0.16,0.22,3.70,0.49,6.08,0.01,0.78,0.08,0.18,0.07,,6.08,0.54,0.14,0.68,0.18,2.81,0.02,0.00
MikeMcl,bignumber.js,0.29,0.09,9.40,0.28,0.16,0.10,1.53,0.24,9.00,0.60,0.24,0.02,0.99,5.00,2.28,2.56,2.73,5.00,0.00,2.35,2.50,0.04,0.49,0.25,1.00,0.06,0.17,0.24,9.40,0.71,0.29,0.09,0.12,1.63,,,4.20,0.05,6.51,0.00,0.24,0.01,0.13,0.00,,7.26,,,0.82,,0.50,0.00,0.00
felixge,node-dateformat,0.06,0.02,8.20,2.98,3.43,0.05,0.89,0.00,10.00,2.10,1.24,0.05,1.11,7.00,1.69,2.44,5.45,0.00,0.30,3.53,3.00,0.04,0.00,0.00,2.00,0.09,0.21,0.47,7.60,0.71,0.06,0.02,0.04,0.78,,,,2.58,6.83,0.00,1.99,0.03,,0.05,,8.40,,,0.82,,0.00,1.93,1.14
benjamn,recast,0.22,0.04,6.00,0.84,1.23,0.13,1.70,1.88,10.00,0.28,0.22,0.80,0.69,1.00,1.76,0.61,2.73,0.00,0.13,1.76,0.50,0.36,0.58,0.06,4.00,0.19,0.59,0.92,7.50,0.63,0.22,0.04,0.07,1.12,0.00,0.20,4.20,1.49,6.49,0.00,2.36,0.04,0.12,0.00,,7.35,,0.00,0.96,0.00,0.58,1.50,0.00
validatorjs,validator.js,1.02,0.29,7.10,0.73,0.23,0.42,3.50,8.50,6.00,0.71,0.02,0.80,4.73,5.00,1.32,1.22,8.18,6.00,0.00,2.94,2.00,0.65,0.00,0.00,7.00,0.27,1.58,0.44,9.10,1.11,1.02,0.29,0.34,0.65,0.52,0.02,6.20,0.01,6.41,0.03,3.07,0.12,0.66,0.02,,8.70,0.81,1.35,1.78,1.40,0.01,0.27,0.00
reduxjs,redux,2.75,1.95,9.30,0.23,0.10,0.40,2.75,1.20,10.00,0.25,0.00,0.64,2.45,7.00,0.66,0.73,8.18,10.00,2.84,2.35,1.00,0.08,1.17,0.78,6.00,0.10,0.88,0.57,9.00,1.27,2.75,1.95,1.90,1.44,0.62,1.38,8.70,0.18,4.62,0.02,1.73,0.10,0.23,0.19,,5.51,2.70,1.22,0.68,1.14,1.21,7.63,5.14
moment,moment-timezone,0.17,0.11,9.10,2.39,2.36,0.30,3.94,2.60,10.00,1.22,0.32,0.10,4.48,6.00,1.25,3.05,0.91,10.00,0.13,3.24,3.50,0.13,0.39,0.23,1.00,0.19,0.30,0.57,9.30,0.40,0.17,0.11,0.15,0.99,0.14,0.34,5.00,0.05,7.33,0.00,1.46,0.27,0.40,0.14,,7.61,0.54,,0.41,0.35,0.39,0.65,4.00
hapijs,joi,0.93,0.19,7.00,0.35,0.45,0.61,2.73,7.66,10.00,0.31,2.37,0.22,4.50,6.00,0.37,2.80,3.64,10.00,0.00,2.06,2.00,0.29,0.86,0.30,2.00,0.08,1.32,2.58,8.00,0.32,0.93,0.19,0.26,0.93,0.12,0.66,7.50,0.67,6.17,0.00,3.22,0.07,0.20,,,7.36,,0.41,1.37,0.35,0.87,0.05,0.00
