owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
npm,npm,0.80,0.39,3.80,0.02,0.01,10.00,4.16,5.14,10.00,0.45,0.21,1.45,7.02,4.00,0.07,0.73,3.64,0.00,0.00,3.24,3.00,3.88,0.00,0.00,0.00,0.13,3.11,0.42,8.10,0.08,0.80,0.39,1.27,1.19,,,3.70,3.11,5.29,0.00,0.42,2.50,1.06,0.63,,9.40,,,0.82,,0.01,0.00,0.00
shubhsherl,Ghost,0.00,0.00,,,,,0.00,0.00,1.00,0.48,0.17,0.12,0.05,10.00,,0.24,0.91,0.00,6.81,,1.00,0.02,0.00,0.00,0.00,0.29,1.87,3.55,,0.32,0.00,1.26,0.00,,,,,0.90,3.32,0.00,1.80,1.45,0.12,,,2.89,,,0.82,,0.00,0.00,0.00
suntoe,wnode,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,0.91,0.00,4.57,,,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,0.08,0.00,0.00,0.00,,,,4.20,1.33,5.99,0.00,0.00,,0.10,,,4.24,,,0.82,,0.00,0.00,0.00
smartprix,sm-webpack-config,0.00,0.00,7.30,0.11,0.37,0.05,0.01,0.10,10.00,0.69,0.35,0.00,0.05,9.00,0.29,0.73,0.91,0.00,0.00,0.59,1.50,0.01,0.00,0.00,0.00,0.03,0.02,0.08,3.60,1.75,0.00,0.00,0.00,0.18,,,2.50,0.26,4.43,0.00,0.24,0.01,0.10,,,4.61,,,0.82,,0.00,0.00,0.00
bdefore,redux-universal-starter,0.02,0.01,10.00,4.72,0.04,0.42,0.31,0.16,10.00,3.40,0.02,0.14,0.35,6.00,2.87,4.76,1.82,0.00,0.00,1.47,2.50,0.00,0.00,0.00,0.00,0.10,0.47,1.24,8.10,0.71,0.02,0.01,0.02,1.15,,,5.70,0.72,5.49,0.00,0.75,0.09,0.10,,,5.17,,,0.82,,0.00,0.00,1.14
codemotion,cogear.js,0.01,0.00,5.90,0.05,0.26,0.07,0.15,0.08,9.00,0.54,,0.02,0.00,10.00,2.13,0.00,2.73,0.00,0.00,2.35,0.00,0.02,0.00,0.00,1.00,0.06,0.02,0.06,8.90,1.03,0.01,0.00,0.02,0.68,,,4.20,,,0.00,0.05,0.00,0.18,,,3.30,,,0.82,,0.00,0.00,0.00
apache,couchdb-fauxton,0.02,0.03,6.70,0.83,0.86,0.13,0.71,0.74,10.00,0.25,0.12,0.31,1.20,7.00,1.76,0.73,9.09,3.00,0.04,1.47,0.50,0.11,0.00,0.00,1.00,0.24,0.44,0.52,7.30,0.79,0.02,0.03,0.06,0.78,0.04,0.04,8.70,10.00,5.04,0.00,1.22,0.70,0.17,0.03,,6.45,,0.27,1.23,0.18,0.00,0.00,1.14
idancali,react-native,0.00,0.00,,,,,0.00,0.00,,,,,0.00,,,,9.09,0.00,0.00,,,0.00,0.00,0.00,0.00,0.57,7.01,5.48,,1.19,0.00,3.03,0.00,,,,,0.74,3.33,0.00,1.76,1.61,0.10,,,4.23,,,0.82,,0.00,0.00,4.00
superdesk,superdesk-client-core,0.00,0.01,7.00,0.51,0.22,0.01,0.05,0.04,10.00,0.12,0.13,0.88,0.39,9.00,1.47,0.12,8.18,10.00,7.20,2.06,0.00,0.02,0.00,0.00,3.00,0.17,0.29,0.63,9.00,0.40,0.00,0.01,0.03,0.34,0.94,0.88,5.00,0.71,4.07,0.05,1.32,1.66,0.27,0.38,,5.05,1.35,0.54,0.68,0.35,0.00,0.00,1.43
maxijonson,tchin-react-components,0.00,0.00,,,,,0.00,0.00,3.00,0.00,0.00,0.00,0.02,0.00,,0.37,0.91,0.00,4.14,,1.50,0.00,0.00,0.00,0.00,0.03,0.01,0.02,,1.19,0.00,0.00,0.00,,,,4.20,0.32,2.05,0.00,0.00,,0.13,0.00,,2.84,,,0.82,,0.00,0.00,0.00
davanmonet,DaVanMonet,0.00,0.00,5.00,0.01,,0.00,0.00,0.00,10.00,0.87,0.88,0.12,0.07,5.00,0.00,1.34,0.91,0.00,4.14,0.00,0.00,0.00,0.00,0.00,1.00,0.12,0.02,0.05,0.00,1.43,0.00,0.00,0.01,,,,2.50,0.00,4.86,0.00,0.37,0.10,0.17,0.08,,3.95,,,0.82,,0.00,0.00,0.00
