owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
jashkenas,coffeescript,0.75,0.26,0.04,6.52,1.32,,0.07,1.77,0.01,0.17,0.11,0.15,8.50,2.29,0.32,0.20,7.82,1.83,0.26,0.00,0.66,0.08,9.25,,0.06,0.04,0.01,0.00,5.60,10.00,6.84
jaredhanson,passport-local,0.12,0.06,0.20,6.52,1.28,,,,,,,0.17,7.10,0.57,0.40,3.78,7.08,0.02,0.00,0.00,0.44,0.02,7.99,,,,0.00,,,,6.84
domenic,sinon-chai,0.05,0.01,0.05,6.52,1.39,,,1.63,,,,,4.20,0.00,0.63,1.97,5.70,0.50,0.91,0.00,1.32,0.01,7.77,0.05,0.00,,0.00,,0.00,,6.84
gotwarlost,istanbul,0.40,0.11,0.17,6.52,1.32,,0.00,,,,,0.18,4.20,0.00,1.27,0.42,5.16,0.01,0.00,0.00,0.29,0.04,7.37,,0.01,,,,5.00,,6.84
gruntjs,grunt-cli,0.03,0.03,0.09,6.52,1.32,,0.44,,,,0.00,0.12,3.70,0.00,0.40,0.59,7.96,0.00,0.00,0.00,1.99,0.01,7.28,0.01,0.01,,0.00,,5.00,,6.84
gruntjs,grunt,0.56,0.20,0.31,6.52,1.28,,0.08,0.06,0.00,0.86,0.00,0.42,7.50,3.71,0.40,0.59,7.96,0.00,0.00,0.00,0.81,0.04,8.04,0.03,0.03,0.04,0.01,0.01,2.50,6.67,6.84
yeoman,generator,0.05,0.04,0.00,6.52,1.39,0.69,1.57,0.74,0.13,0.87,0.88,0.37,3.70,0.00,0.48,0.43,7.66,1.02,0.13,0.02,0.74,0.02,7.47,0.30,0.06,0.13,0.13,0.07,7.80,10.00,6.84
BrowserSync,browser-sync,0.55,0.10,0.41,6.52,1.25,,2.30,0.03,0.02,1.81,0.77,0.28,5.00,2.57,0.56,0.14,5.73,2.74,2.16,0.00,0.07,0.04,6.63,0.09,0.04,0.09,0.02,0.02,4.30,7.78,6.84
facebook,flux,0.79,0.44,0.04,6.52,1.32,,,,,,,0.17,6.20,3.43,0.63,1.22,4.61,3.62,0.86,0.00,1.62,0.12,6.10,0.01,,,,,,,6.84
inversify,InversifyJS,0.49,0.09,0.00,6.52,1.39,,1.91,1.21,0.05,0.40,0.00,0.38,7.50,2.86,1.35,0.11,5.88,0.33,0.17,0.00,2.13,0.08,5.61,0.18,0.11,0.48,0.06,0.04,2.50,8.89,6.84
mqttjs,MQTT.js,0.37,0.18,0.00,6.52,1.32,0.56,0.87,0.07,0.31,0.20,0.03,0.27,6.20,1.43,4.05,0.12,5.95,2.53,0.22,0.07,1.25,0.03,8.36,0.38,0.57,1.04,0.31,0.22,8.30,10.00,6.84
babel,eslint-plugin-babel,0.02,0.01,0.04,6.52,1.32,,,,,,,0.15,5.00,0.00,0.32,0.55,5.42,0.57,0.43,0.00,1.54,0.02,5.47,0.02,,,,,,,6.84
electron,electron,5.05,1.87,0.10,6.43,6.89,0.97,0.99,0.38,6.39,0.17,0.12,3.55,8.70,4.86,0.79,0.91,4.37,1.46,0.04,1.21,0.51,0.25,6.97,3.41,5.42,2.74,6.28,0.96,7.80,10.00,6.32
mikeal,watch,0.06,0.02,0.44,6.43,1.32,,,,,,,0.03,4.20,0.00,0.71,4.52,5.82,0.00,0.00,0.00,3.01,0.00,8.68,,0.00,,,,0.00,,6.32
TooTallNate,keypress,0.02,0.01,0.04,6.43,1.32,,,,,,,0.08,2.80,0.00,0.08,3.55,6.47,0.00,0.00,0.00,0.88,0.00,7.50,,,,,,,,6.32
hparra,gulp-rename,0.03,0.01,0.33,6.43,1.32,,,,,,,0.10,4.20,0.00,0.32,0.59,6.68,0.02,0.00,0.00,2.72,0.01,6.53,0.00,0.00,,,,0.00,,6.32
gulp-sourcemaps,gulp-sourcemaps,0.05,0.02,0.22,6.43,1.32,,,,,,,0.20,3.70,0.00,0.48,0.07,5.55,0.07,0.00,0.00,0.88,0.01,6.36,0.01,,,,,,,6.32
apollographql,apollo-client,0.87,0.34,0.05,6.47,2.12,1.81,1.23,0.42,1.49,0.51,0.00,1.15,8.70,5.71,0.32,1.58,2.53,3.53,1.29,0.47,1.40,0.33,5.00,0.22,1.20,1.91,1.51,0.76,6.90,10.00,6.84
broccolijs,broccoli-funnel,0.00,0.00,0.01,6.47,1.32,,,,,,,0.18,2.50,0.00,0.48,0.26,6.19,0.53,1.34,0.00,1.54,0.01,5.95,0.01,,,0.00,,,,6.84
patorjk,figlet.js,0.11,0.02,0.07,6.46,1.32,,,,0.08,0.01,0.01,0.13,4.20,0.00,1.27,0.27,3.97,0.67,0.17,0.00,0.07,0.01,7.56,0.00,0.00,0.09,0.09,0.14,0.00,8.89,6.84
andyearnshaw,Intl.js,0.08,0.03,0.00,6.46,1.32,,,,,,,0.08,5.70,0.00,1.19,0.23,4.84,0.52,0.00,0.00,1.25,0.45,6.93,0.03,,,,,,,6.84
koajs,static,0.05,0.02,0.00,6.46,1.28,,,,,,0.00,0.13,8.70,0.00,0.56,0.92,7.06,0.02,0.00,0.00,1.91,0.00,6.73,,,,0.01,,,,6.84
apache,echarts,2.66,2.50,0.08,6.43,1.79,0.56,0.53,0.10,0.32,0.54,0.00,1.78,8.70,2.00,1.51,10.00,5.04,1.90,0.52,0.06,1.84,0.23,6.99,0.27,4.45,1.35,0.43,0.28,3.80,6.67,6.84
pksunkara,inflect,0.01,0.01,0.07,6.43,1.32,,,,,,,0.00,4.20,0.00,2.06,0.16,5.24,0.00,0.00,0.00,0.15,0.00,7.77,,,,,,,,6.84
ericelliott,cuid,0.15,0.02,0.06,6.43,1.36,,,,,,2.74,0.17,5.00,0.57,1.90,1.24,6.44,3.92,0.65,0.00,1.54,0.02,7.39,0.00,0.00,,0.00,,0.00,,6.84
yeoman,environment,0.01,0.01,0.00,6.42,1.61,1.11,2.13,1.21,0.13,0.77,1.35,0.35,3.70,0.00,0.32,0.43,7.66,0.96,1.03,0.03,0.07,0.01,5.97,0.26,0.04,0.13,0.13,0.12,10.00,8.89,6.84
flatiron,nconf,0.18,0.03,0.04,6.42,1.28,,0.01,0.00,0.00,1.15,,0.20,4.20,0.00,,0.23,9.03,0.03,0.00,0.00,1.62,0.02,8.37,0.02,0.00,0.00,0.02,0.00,10.00,3.33,6.84
kolodny,immutability-helper,0.23,0.03,0.02,6.42,1.32,,,,,,,0.12,4.20,0.00,1.19,2.18,5.75,1.50,1.34,0.00,2.43,0.01,5.00,0.07,0.00,,,,0.00,,6.84
josdejong,mathjs,0.63,0.16,0.02,6.40,1.25,0.42,0.68,0.22,0.17,0.85,0.38,0.40,10.00,4.57,1.03,0.64,4.41,1.08,0.26,0.03,0.81,0.19,7.08,,0.35,0.48,0.19,0.25,8.80,8.89,6.84
broccolijs,broccoli-merge-trees,0.00,0.00,0.01,6.40,1.32,,,,,,,0.12,3.70,0.00,0.48,0.26,6.19,0.30,1.55,0.00,1.69,0.01,6.31,,,,,,,,6.84
flatiron,prompt,0.09,0.02,0.05,6.40,1.32,,,,,,,0.15,3.70,0.00,1.27,0.23,9.03,0.01,0.00,0.00,3.09,0.01,8.28,,,,,,,,6.84
